ac name,ac no,type,district,winning candidate,party,total electors,total votes,poll%,margin,margin %,father/husband name,gender,age,UID
Nagarkurnool,81,GEN,Mahbubnagar,Dr. Kuchkulla Rajesh Reddy,Indian National Congress,466025,183494,39.40%,5248,2.90%,KUCHKULLA DAMODAR REDDY,male,50,TG2023AC81
Achampet,82,SC,Mahbubnagar,Chikkudu Vamshi Krishna,Indian National Congress,484598,192787,39.80%,49326,25.60%,CHINNA BALAIAH,male,57,TG2023AC82
Kalwakurthy,83,GEN,Mahbubnagar,Narayan Reddy Kasireddy,Indian National Congress,483781,202091,41.80%,5410,2.70%,Durga Reddy,male,59,TG2023AC83
Shadnagar,84,GEN,Mahbubnagar,K Shankaraiah,Indian National Congress,472754,194166,41.10%,7128,3.70%,RAMAIAH,male,54,TG2023AC84
Kollapur,85,GEN,Mahbubnagar,Jupally Krishna Rao,Indian National Congress,468700,191191,40.80%,29931,15.70%,JUPALLY SHESHAGIRI RAO,male,68,TG2023AC85
Devarakonda,86,ST,Nalgonda,Balu Naik Nenavath,Indian National Congress,503394,212268,42.20%,30021,14.10%,LASKARU,male,51,TG2023AC86
Nagarjuna Sagar,87,GEN,Nalgonda,Kunduru Jayaveer,Indian National Congress,466998,201032,43.00%,55849,27.80%,KUNDURU JANA REDDY,male,41,TG2023AC87
Miryalaguda,88,GEN,Nalgonda,Bathula Laxma Reddy,Indian National Congress,462964,193214,41.70%,48782,25.20%,BATHULA ESWAR REDDY,male,54,TG2023AC88
Huzurnagar,89,GEN,Nalgonda,Uttam Kumar Reddy Nalamada,Indian National Congress,495412,214455,43.30%,44888,20.90%,NALAMADA PURUSHOTHAM REDDY,male,59,TG2023AC89
Kodad,90,GEN,Nalgonda,Nalamada Padmavathi Reddy,Indian National Congress,483342,208105,43.10%,58172,28.00%,UTTAM KUMAR REDDY,female,55,TG2023AC90
Suryapet,91,GEN,Nalgonda,Guntakandla Jagadish Reddy,Bharat Rashtra Samithi,483788,205895,42.60%,4606,2.20%,RAM CHANDRA REDDY,male,58,TG2023AC91
Nalgonda,92,GEN,Nalgonda,Komati Reddy Venkat Reddy,Indian National Congress,489021,203126,41.50%,54332,26.70%,LATE K. PAPI REDDY,male,60,TG2023AC92
Munugode,93,GEN,Nalgonda,Komatireddy Raj Gopal Reddy,Indian National Congress,505400,232759,46.10%,40590,17.40%,Late K. PAPIREDDY,male,56,TG2023AC93
Bhongir,94,GEN,Nalgonda,Kumbam Anil Kumar Reddy,Indian National Congress,433990,195195,45.00%,26201,13.40%,KUMBAM SRINIVAS REDDY,male,62,TG2023AC94
Nakrekal,95,SC,Nalgonda,Vemula Veeresham,Indian National Congress,501301,218064,43.50%,68839,31.60%,KONDAIAH,male,46,TG2023AC95
Thungathurthi,96,SC,Nalgonda,Mandula Samel,Indian National Congress,510318,223815,43.90%,51094,22.80%,MANDULA RAMAIAH,male,62,TG2023AC96
Alair,97,GEN,Nalgonda,Ilaiah Beerla,Indian National Congress,466696,212102,45.40%,49636,23.40%,SOMARAJU,male,48,TG2023AC97
Jangoan,98,GEN,Warangal,Palla Rajeshwar Reddy,Bharat Rashtra Samithi,474473,202133,42.60%,15783,7.80%,P. RAGHAVA REDDY,male,60,TG2023AC98
