PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
Mandla,14,ST,Madhya Pradesh [2000 Onwards],Faggan Singh Kulaste,Bharatiya Janta Party,2101811,1535632,73.10%,103846,6.80%
Mandsour,23,GEN,Madhya Pradesh [2000 Onwards],Sudheer Gupta,Bharatiya Janta Party,1898060,1433492,75.50%,500655,34.90%
Mandya,20,GEN,Karnataka,H.D. Kumaraswamy,Janata Dal (Secular),1779243,1460267,82.10%,284620,19.50%
Mathura,17,GEN,Uttar Pradesh [2000 Onwards],Hemamalini Dharmendra Deol,Bharatiya Janta Party,1929550,957046,49.60%,293407,30.70%
Mathurapur,20,SC,West Bengal,Bapi Haldar,All India Trinamool Congress,1817068,1496024,82.00%,201057,13.40%
Maval,33,GEN,Maharashtra,Shrirang Appa Chandu Barne,Shiv Sena,2585018,1419401,54.90%,96615,6.80%
Mavelikkara,16,SC,Kerala,Kodikunnil Suresh,Indian National Congress,1331880,894971,67.20%,10868,1.20%
Mayiladuthurai,28,GEN,Tamil Nadu,Sudha R,Indian National Congress,1545568,1087708,70.40%,271183,24.90%
Mayurbhanj,5,ST,Orissa,Naba Charan Majhi,Bharatiya Janta Party,1542927,1174050,76.10%,219334,18.70%
Medak,6,GEN,Telangana,Madhavaneni Raghunandan Rao,Bharatiya Janta Party,1828210,1386239,75.80%,39139,2.80%
Medinipur,34,GEN,West Bengal,June Maliah,All India Trinamool Congress,1811243,1481563,81.80%,27191,1.80%
Meerut,10,GEN,Uttar Pradesh [2000 Onwards],Arun Govil,Bharatiya Janta Party,2000530,1182479,59.10%,10585,0.90%
Mirzapur,79,GEN,Uttar Pradesh [2000 Onwards],Anupriya Patel,Apna Dal (Soneylal),1906327,1105405,58.00%,37810,3.40%
Misrikh,32,SC,Uttar Pradesh [2000 Onwards],Ashok Kumar Rawat,Bharatiya Janta Party,1878195,1051983,56.00%,33406,3.20%
Mizoram,1,ST,Mizoram,Richard Vanlalhmangaiha,Zoram People’s Movement,856364,491336,57.40%,68288,13.90%
Mohanlalganj,34,SC,Uttar Pradesh [2000 Onwards],R.K. Chaudhary,Samajwadi Party,2187232,1377452,63.00%,70292,5.10%
Moradabad,6,GEN,Uttar Pradesh [2000 Onwards],Ruchi Vira,Samajwadi Party,2059578,1283185,62.30%,105762,8.20%
Morena,1,GEN,Madhya Pradesh [2000 Onwards],Shivmangal Singh Tomar,Bharatiya Janta Party,2006730,1187331,59.20%,52530,4.40%
Mumbai North,26,GEN,Maharashtra,Piyush Goyal,Bharatiya Janta Party,1811942,1035493,57.20%,357608,34.50%
Mumbai North Central,29,GEN,Maharashtra,Gaikwad Varsha Eknath,Indian National Congress,1744128,910562,52.20%,16514,1.80%
Mumbai North East,28,GEN,Maharashtra,Sanjay Dina Patil,Shiv Sena (Uddhav Balasaheb Thackrey),1636890,926469,56.60%,29861,3.20%
Mumbai North West,27,GEN,Maharashtra,Ravindra Dattaram Waikar,Shiv Sena,1735088,954939,55.00%,48,0.00%
Mumbai South,31,GEN,Maharashtra,Arvind Ganpat Sawant,Shiv Sena (Uddhav Balasaheb Thackrey),1536168,773113,50.30%,52673,6.80%
Mumbai South Central,30,GEN,Maharashtra,Anil Yeshwant Desai,Shiv Sena (Uddhav Balasaheb Thackrey),1474405,794524,53.90%,53384,6.70%
Munger,28,GEN,Bihar [2000 Onwards],Rajiv Ranjan Singh Alias Lalan Singh,Janata Dal (United),2042279,1139081,55.80%,80870,7.10%
Murshidabad,11,GEN,West Bengal,Abu Taher Khan,All India Trinamool Congress,1888097,1541559,81.70%,164215,10.70%
Muzaffarnagar,3,GEN,Uttar Pradesh [2000 Onwards],Harendra Singh Malik,Samajwadi Party,1817472,1078669,59.40%,24672,2.30%
Muzaffarpur,15,GEN,Bihar [2000 Onwards],Raj Bhushan Choudhary,Bharatiya Janta Party,1866106,1112460,59.60%,234927,21.10%
Mysore,21,GEN,Karnataka,Yaduveer Krishnadatta Chamaraja Wadiyar,Bharatiya Janta Party,2092222,1484473,71.00%,139262,9.40%
Nabarangpur,12,ST,Orissa,Balabhadra Majhi,Bharatiya Janta Party,1514140,1242475,82.10%,87536,7.00%
Nagaland,1,ST,Nagaland,S Supongmeren Jamir,Indian National Congress,1317536,760796,57.70%,50984,6.70%
Nagaon,9,GEN,Assam,Pradyut Bordoloi,Indian National Congress,1817204,1549998,85.30%,212231,13.70%
Nagapattinam,29,SC,Tamil Nadu,Selvaraj V,Communist Party Of India,1345120,973011,72.30%,208957,21.50%
Nagarkurnool,12,SC,Telangana,Dr.Mallu Ravi,Indian National Congress,1738254,1219223,70.10%,94414,7.70%
Nagaur,14,GEN,Rajasthan,Hanuman Beniwal,Rashtriya Loktantrik Party,2146725,1238473,57.70%,42225,3.40%
Nagina,5,SC,Uttar Pradesh [2000 Onwards],Chandrashekhar,Aazad Samaj Party (Kanshi Ram),1644909,1001303,60.90%,151473,15.10%
Nagpur,10,GEN,Maharashtra,Nitin Jairam Gadkari,Bharatiya Janta Party,2223281,1211321,54.50%,137603,11.40%
Nainital-Udham,4,GEN,Uttarakhand,Ajay Bhatt,Bharatiya Janta Party,2015809,1266016,62.80%,334548,26.40%
Nalanda,29,GEN,Bihar [2000 Onwards],Kaushalendra Kumar,Janata Dal (United),2288240,1144383,49.90%,169114,14.80%
Nalgonda,13,GEN,Telangana,Kunduru Raghuveer,Indian National Congress,1725465,1296324,75.10%,559905,43.20%
Namakkal,16,GEN,Tamil Nadu,Matheswaran V S,Dravida Munnetra Kazhagam,1452562,1146303,78.90%,29112,2.50%
Nanded,16,GEN,Maharashtra,Chavan Vasantrao Balwantrao,Indian National Congress,1851843,1128254,60.90%,59442,5.30%
Nandurbar,1,ST,Maharashtra,Adv Gowaal Kagada Padavi,Indian National Congress,1970327,1393669,70.70%,159120,11.40%
Nandyal,17,,Andhra Pradesh [2014 Onwards],Dr Byreddy Shabari,Telugu Desam,1721013,1404418,81.60%,111975,8.00%
Narasaraopet,14,,Andhra Pradesh [2014 Onwards],Lavu Srikrishna Devarayalu,Telugu Desam,1734858,1499569,86.40%,159729,10.70%
Narsapuram,9,,Andhra Pradesh [2014 Onwards],Bhupathi Raju Srinivasa Varma (B.J.P.VARMA),Bharatiya Janta Party,1472923,1230994,83.60%,276802,22.50%
Nashik,21,GEN,Maharashtra,Rajabhau (PARAG) PRAKASH WAJE,Shiv Sena (Uddhav Balasaheb Thackrey),2030124,1237204,60.90%,162001,13.10%
Navsari,25,GEN,Gujarat,C R Patil,Bharatiya Janta Party,2223550,1338216,60.20%,773551,57.80%
Nawada,39,GEN,Bihar [2000 Onwards],Vivek Thakur,Bharatiya Janta Party,2006124,869870,43.40%,67670,7.80%
Nellore,22,,Andhra Pradesh [2014 Onwards],Prabhakar Reddy Vemireddy,Telugu Desam,1712274,1375649,80.30%,245902,17.90%
New Delhi,4,GEN,Delhi [1977 Onwards],Bansuri Swaraj,Bharatiya Janta Party,1525071,847468,55.60%,78370,9.20%
Nilgiris,19,SC,Tamil Nadu,Raja A,Dravida Munnetra Kazhagam,1428387,1018906,71.30%,240585,23.60%
Nizamabad,4,GEN,Telangana,Arvind Dharmapuri,Bharatiya Janta Party,1704867,1233581,72.40%,109241,8.90%
North East Delhi,2,GEN,Delhi [1977 Onwards],Manoj Tiwari,Bharatiya Janta Party,2463159,1552731,63.00%,138778,8.90%
North Goa,1,GEN,Goa,Shripad Yesso Naik,Bharatiya Janta Party,580577,456018,78.60%,116015,25.40%
North West Delhi,5,SC,Delhi [1977 Onwards],Yogender Chandoliya,Bharatiya Janta Party,2567423,1487207,57.90%,290849,19.60%
Ongole,16,,Andhra Pradesh [2014 Onwards],Magunta Sreenivasulu Reddy,Telugu Desam,1607832,1422214,88.50%,50199,3.50%
Osmanabad,40,GEN,Maharashtra,Omprakash Bhupalsinh Alias Pavan Rajenimbalkar,Shiv Sena (Uddhav Balasaheb Thackrey),1992737,1281052,64.30%,329846,25.70%
Outer Manipur,2,ST,Manipur,Alfred Kanngam S Arthur,Indian National Congress,1038027,796735,76.80%,85418,10.70%
Palakkad,8,GEN,Kerala,V K Sreekandan,Indian National Congress,1398143,1035836,74.10%,75283,7.30%
Palamau,13,SC,Jharkhand,Vishnu Dayal Ram,Bharatiya Janta Party,2243034,1390738,62.00%,288807,20.80%
Palghar,22,ST,Maharashtra,Dr. Hemant Vishnu Savara,Bharatiya Janta Party,2148514,1376074,64.10%,183306,13.30%
Pali,15,GEN,Rajasthan,P. P. Chaudhary,Bharatiya Janta Party,2343232,1353842,57.80%,245351,18.10%
Panchmahal,18,GEN,Gujarat,Rajpalsinh Mahendrasinh Jadav,Bharatiya Janta Party,1896743,1131497,59.70%,509342,45.00%
Parbhani,17,GEN,Maharashtra,Jadhav Sanjay ( BANDU ) HARIBHAU,Shiv Sena (Uddhav Balasaheb Thackrey),2123056,1331176,62.70%,134061,10.10%
Paschim Champaran,2,GEN,Bihar [2000 Onwards],Dr.Sanjay Jaiswal,Bharatiya Janta Party,1756078,1086256,61.90%,136568,12.60%
Pataliputra,31,GEN,Bihar [2000 Onwards],Misha Bharti,Rashtriya Janata Dal,2073685,1230099,59.30%,85174,6.90%
Patan,3,GEN,Gujarat,Dabhi Bharatsinhji Shankarji,Bharatiya Janta Party,2019916,1193125,59.10%,31876,2.70%
Pathanamthitta,17,GEN,Kerala,Anto Antony,Indian National Congress,1429700,919569,64.30%,66119,7.20%
Patiala,13,GEN,Punjab,Dr Dharamvira Gandhi,Indian National Congress,1806424,1151743,63.80%,14831,1.30%
Patna Sahib,30,GEN,Bihar [2000 Onwards],Ravi Shankar Prasad,Bharatiya Janta Party,2292045,1075496,46.90%,153846,14.30%
Peddapalle,2,SC,Telangana,Vamsi Krishna Gaddam,Indian National Congress,1596430,1095295,68.60%,131364,12.00%
Perambalur,25,GEN,Tamil Nadu,Arun Nehru,Dravida Munnetra Kazhagam,1446352,1129226,78.00%,389107,34.50%
Phulpur,51,GEN,Uttar Pradesh [2000 Onwards],Praveen Patel,Bharatiya Janta Party,2067043,1014824,49.10%,4332,0.40%
Pilibhit,26,GEN,Uttar Pradesh [2000 Onwards],Jitin Prasada,Bharatiya Janta Party,1831699,1160947,63.40%,164935,14.20%
Pollachi,21,GEN,Tamil Nadu,Eswarasamy K,Dravida Munnetra Kazhagam,1597467,1126045,70.40%,252042,22.40%
Ponnani,7,GEN,Kerala,Dr. M.P Abdussamad Samadani,Indian Union Muslim League,1470804,1026296,69.80%,235760,23.00%
Porbandar,11,GEN,Gujarat,Dr. Mansukh Mandaviya,Bharatiya Janta Party,1768212,928977,52.50%,383360,41.30%
Pratapgarh,39,GEN,Uttar Pradesh [2000 Onwards],Shiv Pal Singh Patel (DR. S P SINGH),Samajwadi Party,1833312,947288,51.70%,66206,7.00%
Puducherry,1,GEN,Pondicherry,Ve Vaithilingam,Indian National Congress,1023699,807940,78.90%,136516,16.90%
Pune,34,GEN,Maharashtra,Murlidhar Mohol,Bharatiya Janta Party,2061276,1104572,53.60%,123038,11.10%
Puri,17,GEN,Orissa,Sambit Patra,Bharatiya Janta Party,1586465,1196938,75.50%,104709,8.70%
Purnia,12,GEN,Bihar [2000 Onwards],Rajesh Ranjan Alias Pappu Yadav,Independent,1893698,1195844,63.20%,23847,2.00%
Purulia,35,GEN,West Bengal,Jyotirmay Singh Mahato,Bharatiya Janta Party,1823120,1434018,78.70%,17079,1.20%
Purvi Champaran,3,GEN,Bihar [2000 Onwards],Radha Mohan Singh,Bharatiya Janta Party,1790761,1073688,60.00%,88287,8.20%
Rae Bareli,36,GEN,Uttar Pradesh [2000 Onwards],Rahul Gandhi,Indian National Congress,1784314,1039219,58.20%,390030,37.50%
Raichur,6,ST,Karnataka,G. Kumar Naik.,Indian National Congress,2010103,1299619,64.70%,79781,6.10%
Raigad,32,GEN,Maharashtra,Tatkare Sunil Dattatrey,Nationalist Congress Party,1668372,1013272,60.70%,82784,8.20%
Raiganj,5,GEN,West Bengal,Kartick Chandra Paul,Bharatiya Janta Party,1790245,1368471,76.40%,68197,5.00%
Raigarh,2,ST,Chhattisgarh,Radheshyam Rathiya,Bharatiya Janta Party,1838547,1452965,79.00%,240391,16.50%
Raipur,8,GEN,Chhattisgarh,Brijmohan Agrawal,Bharatiya Janta Party,2375379,1586755,66.80%,575285,36.30%
Rajahmundry,8,,Andhra Pradesh [2014 Onwards],Daggubati Purandheshwari,Bharatiya Janta Party,1623149,1325297,81.70%,239139,18.00%
Rajampet,24,,Andhra Pradesh [2014 Onwards],P V Midhun Reddy,Yuvajana Sramika Rythu Congress Party,1665702,1332939,80.00%,76071,5.70%
Rajgarh,20,GEN,Madhya Pradesh [2000 Onwards],Rodmal Nagar,Bharatiya Janta Party,1875211,1428997,76.20%,146089,10.20%
Rajkot,10,GEN,Gujarat,Parshottambhai Rupala,Bharatiya Janta Party,2112273,1273542,60.30%,484260,38.00%
Rajmahal,1,ST,Jharkhand,Vijay Kumar Hansdak,Jharkhand Mukti Morcha,1704671,1218249,71.50%,178264,14.60%
Rajnandgaon,6,GEN,Chhattisgarh,Santosh Pandey,Bharatiya Janta Party,1868021,1445765,77.40%,44411,3.10%
Rajsamand,22,GEN,Rajasthan,Mahima Kumari Mewar,Bharatiya Janta Party,2060942,1213130,58.90%,392223,32.30%
Ramanathapuram,35,GEN,Tamil Nadu,Navaskani K,Indian Union Muslim League,1617688,1109853,68.60%,166782,15.00%
Rampur,7,GEN,Uttar Pradesh [2000 Onwards],Mohibbullah,Samajwadi Party,1731836,968079,55.90%,87434,9.00%
Ramtek,9,SC,Maharashtra,Shyamkumar (Babalu) Daulat Barve,Indian National Congress,2049085,1252512,61.10%,76768,6.10%
Ranaghat,13,SC,West Bengal,Jagannath Sarkar,Bharatiya Janta Party,1871658,1540632,82.00%,186899,12.10%
Ranchi,8,GEN,Jharkhand,Sanjay Seth,Bharatiya Janta Party,2197331,1447781,65.90%,120512,8.30%
Ratlam,24,ST,Madhya Pradesh [2000 Onwards],Anita Nagarsingh Chouhan,Bharatiya Janta Party,2094548,1532643,73.20%,207232,13.50%
Ratnagiri - Si,46,GEN,Maharashtra,Narayan Tatu Rane,Bharatiya Janta Party,1451630,914038,63.00%,47858,5.20%
Raver,4,GEN,Maharashtra,Khadse Raksha Nikhil,Bharatiya Janta Party,1821750,1171666,64.30%,272183,23.20%
Rewa,10,GEN,Madhya Pradesh [2000 Onwards],Janardan Mishra,Bharatiya Janta Party,1852126,918129,49.50%,193374,21.10%
Robertsganj,80,SC,Uttar Pradesh [2000 Onwards],Chhotelal,Samajwadi Party,1779189,1009545,56.70%,129234,12.80%
Rohtak,7,GEN,Haryana,Deepender Singh Hooda,Indian National Congress,1889844,1248446,66.00%,345298,27.70%
Sabarkantha,5,GEN,Gujarat,Shobhanaben Mahendrasinh Baraiya,Bharatiya Janta Party,1976349,1269358,64.20%,155682,12.30%
Sagar,5,GEN,Madhya Pradesh [2000 Onwards],Dr. Lata Wankhede,Bharatiya Janta Party,1745690,1150549,65.90%,471222,41.00%
Saharanpur,1,GEN,Uttar Pradesh [2000 Onwards],Imran Masood,Indian National Congress,1855310,1229455,66.30%,64542,5.20%
Salem,15,GEN,Tamil Nadu,Selvaganapathi T M,Dravida Munnetra Kazhagam,1658681,1304844,78.70%,70357,5.40%
Salempur,71,GEN,Uttar Pradesh [2000 Onwards],Ramashankar Rajbhar,Samajwadi Party,1776982,917362,51.60%,3573,0.40%
Samastipur,23,SC,Bihar [2000 Onwards],Shambhavi,Lok Janshakti Party(Ram Vilas),1818530,1094592,60.20%,187251,17.10%
Sambalpur,3,GEN,Orissa,Dharmendra Pradhan,Bharatiya Janta Party,1499728,1196747,79.80%,119836,10.00%
Sambhal,8,GEN,Uttar Pradesh [2000 Onwards],Zia Ur Rehman,Samajwadi Party,1898202,1194983,63.00%,121494,10.20%
Sangli,44,GEN,Maharashtra,Vishal (DADA) PRAKASHBAPU PATIL,Independent,1868174,1168744,62.60%,100053,8.60%
Sangrur,12,GEN,Punjab,Gurmeet Singh Meet Hayer,Aam Aadmi Party,1556601,1009665,64.90%,172560,17.10%
Sant Kabir Nagar,62,GEN,Uttar Pradesh [2000 Onwards],Laxmikant Pappu Nishad,Samajwadi Party,2071964,1091202,52.70%,92170,8.40%
Saran,20,GEN,Bihar [2000 Onwards],Rajiv Pratap Rudy,Bharatiya Janta Party,1795010,1021508,56.90%,13661,1.30%
Sarguja,1,ST,Chhattisgarh,Chintamani Maharaj,Bharatiya Janta Party,1819347,1455269,80.00%,64822,4.50%
Sasaram,34,SC,Bihar [2000 Onwards],Manoj Kumar,Indian National Congress,1910368,1097075,57.40%,19157,1.70%
Satara,45,GEN,Maharashtra,Shrimant Chh Udayanraje Pratapsinhamaharaj Bhonsle,Bharatiya Janta Party,1889740,1198004,63.40%,32771,2.70%
Satna,9,GEN,Madhya Pradesh [2000 Onwards],Ganesh Singh,Bharatiya Janta Party,1705260,1058972,62.10%,84949,8.00%
Secundrabad,8,GEN,Telangana,G. Kishan Reddy,Bharatiya Janta Party,2120401,1047659,49.40%,49944,4.80%
Shahdol,12,ST,Madhya Pradesh [2000 Onwards],Smt. Himadri Singh,Bharatiya Janta Party,1777185,1152013,64.80%,397340,34.50%
Shahjahanpur,27,SC,Uttar Pradesh [2000 Onwards],Arun Kumar Sagar,Bharatiya Janta Party,2331834,1247902,53.50%,55379,4.40%
Sheohar,4,GEN,Bihar [2000 Onwards],Lovely Anand,Janata Dal (United),1832745,1055602,57.60%,29143,2.80%
Shillong,1,ST,Meghalaya,Dr. Ricky Andrew J. Syngkon,Voice Of The People Party,1400411,1037911,74.10%,371910,35.80%
Shimla,4,SC,Himachal Pradesh,Suresh Kumar Kashyap,Bharatiya Janta Party,1346369,969965,72.00%,91451,9.40%
Shimoga,14,GEN,Karnataka,B.Y.Raghavendra,Bharatiya Janta Party,1752885,1377224,78.60%,243715,17.70%
Shirdi,38,SC,Maharashtra,Bhausaheb Rajaram Wakchaure,Shiv Sena (Uddhav Balasaheb Thackrey),1677335,1059864,63.20%,50529,4.80%
Shirur,36,GEN,Maharashtra,Dr. Amol Ramsing Kolhe,Nationalist Congress Party – Sharadchandra Pawar,2539702,1374464,54.10%,140951,10.30%
Shrawasti,58,GEN,Uttar Pradesh [2000 Onwards],Ram Shiromani Verma,Samajwadi Party,1980381,1046528,52.80%,76673,7.30%
Sidhi,11,GEN,Madhya Pradesh [2000 Onwards],Dr. Rajesh Mishra,Bharatiya Janta Party,2028451,1147264,56.60%,206416,18.00%
Sikar,5,GEN,Rajasthan,Amraram,Communist Party Of India (Marxist),2214900,1300856,58.70%,72896,5.60%
Sikkim,1,GEN,Sikkim,Indra Hang Subba,Sikkim Krantikari Morcha,464140,384893,82.90%,80830,21.00%
Silchar,8,GEN,Assam,Parimal Suklabaidya,Bharatiya Janta Party,1369578,1089426,79.50%,264311,24.30%
Singhbhum,10,ST,Jharkhand,Joba Majhi,Jharkhand Mukti Morcha,1447562,1007597,69.60%,168402,16.70%
Sirsa,3,SC,Haryana,Selja,Indian National Congress,1937689,1354632,69.90%,268497,19.80%
Sitamarhi,5,GEN,Bihar [2000 Onwards],Devesh Chandra Thakur,Janata Dal (United),1947996,1093992,56.20%,51356,4.70%
Sitapur,30,GEN,Uttar Pradesh [2000 Onwards],Rakesh Rathor,Indian National Congress,1759943,1102015,62.60%,89641,8.10%
Sivaganga,31,GEN,Tamil Nadu,Karti P Chidambaram,Indian National Congress,1633857,1053419,64.50%,205664,19.50%
