PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,ACs
Mainpuri,21,GEN,Uttar Pradesh [2000 Onwards],Mulayam Singh Yadav,Samajwadi Party,1399259,696701,49.8 %,173069,24.8%,AC View
Malappuram,6,GEN,Kerala,E. Ahamed,Muslim League Kerala State Committee,1019713,784713,77.0 %,115597,14.7%,AC View
Maldaha Dakshin,8,GEN,West Bengal,Abu Hasem Khan Choudhury,Indian National Congress,1052093,831309,79.0 %,136280,16.4%,AC View
Maldaha Uttar,7,GEN,West Bengal,Mausam Noor,Indian National Congress,1101096,922537,83.8 %,60141,6.5%,AC View
Malkajgiri,7,GEN,Andhra Pradesh,Sarvey Sathyanarayana,Indian National Congress,2343050,1205858,51.5 %,93326,7.7%,AC View
Mandi,2,GEN,Himachal Pradesh,Virbhadra Singh,Indian National Congress,1112524,713687,64.2 %,13997,2.0%,AC View
Mandla,14,ST,Madhya Pradesh [2000 Onwards],Basori Singh Masram,Indian National Congress,1528061,860093,56.3 %,65053,7.6%,AC View
Mandsour,23,GEN,Madhya Pradesh [2000 Onwards],Meenakshi Natrajan,Indian National Congress,1371067,765754,55.9 %,30819,4.0%,AC View
Mandya,20,GEN,Karnataka,N Cheluvaraya Swamy @ Swamygowda,Janata Dal (Secular),1499744,1031797,68.8 %,23500,2.3%,AC View
Mangaldoi,8,GEN,Assam,Ramen Deka,Bharatiya Janta Party,1416682,988448,69.8 %,55849,5.7%,AC View
Mathura,17,GEN,Uttar Pradesh [2000 Onwards],Jayant Chaudhary,Rashtriya Lok Dal,1341649,726769,54.2 %,169613,23.3%,AC View
Mathurapur,20,SC,West Bengal,Choudhury Mohan Jatua,All India Trinamool Congress,1227376,1049016,85.5 %,129963,12.4%,AC View
Maval,33,GEN,Maharashtra,Babar Gajanan Dharmshi,Shiv Sena,1604886,718520,44.8 %,80619,11.2%,AC View
Mavelikkara,16,SC,Kerala,Kodikkunnil Suresh,Indian National Congress,1142993,806273,70.5 %,48048,6.0%,AC View
Mayiladuthurai,28,GEN,Tamil Nadu,Maniyan O.S.,All India Anna Dravida Munnetra Kazhagam,1091519,800627,73.4 %,36854,4.6%,AC View
Mayurbhanj,5,ST,Orissa,Laxman Tudu,Biju Janata Dal,1173650,825506,70.3 %,66178,8.0%,AC View
Medak,6,GEN,Andhra Pradesh,Vijaya Shanthi .M,Telangana Rashtra Samithi,1389721,1062584,76.5 %,6077,0.6%,AC View
Medinipur,34,GEN,West Bengal,Prabodh Panda,Communist Party Of India,1262983,1043731,82.6 %,48017,4.6%,AC View
Meerut,10,GEN,Uttar Pradesh [2000 Onwards],Rajendra Agarwal,Bharatiya Janta Party,1508788,727732,48.2 %,47146,6.5%,AC View
Mirzapur,79,GEN,Uttar Pradesh [2000 Onwards],Bal Kumar Patel,Samajwadi Party,1405539,732859,52.1 %,19682,2.7%,AC View
Misrikh,32,SC,Uttar Pradesh [2000 Onwards],Ashok Kumar Rawat,Bahujan Samaj Party,1464770,607911,41.5 %,23292,3.8%,AC View
Mizoram,1,ST,Mizoram,C.L.Ruala,Indian National Congress,629374,332553,52.8 %,108955,32.8%,AC View
Mohanlalganj,34,SC,Uttar Pradesh [2000 Onwards],Sushila Saroj,Samajwadi Party,1500237,694220,46.3 %,76595,11.0%,AC View
Moradabad,6,GEN,Uttar Pradesh [2000 Onwards],Mohammed Azharuddin,Indian National Congress,1388525,761683,54.9 %,49107,6.4%,AC View
Morena,1,GEN,Madhya Pradesh [2000 Onwards],Narendra Singh Tomar,Bharatiya Janta Party,1339897,710660,53.0 %,100997,14.2%,AC View
Mumbai North,26,GEN,Maharashtra,Sanjay Brijkishorlal Nirupam,Indian National Congress,1608924,685035,42.6 %,5779,0.8%,AC View
Mumbai North Central,29,GEN,Maharashtra,Dutt Priya Sunil,Indian National Congress,1681985,664652,39.5 %,174555,26.3%,AC View
Mumbai North East,28,GEN,Maharashtra,Sanjay Dina Patil,Nationalist Congress Party,1572890,667955,42.5 %,2933,0.4%,AC View
Mumbai North West,27,GEN,Maharashtra,Ad.Kamat Gurudas Vasant,Indian National Congress,1604992,707303,44.1 %,38387,5.4%,AC View
Mumbai South,31,GEN,Maharashtra,Deora Milind Murli,Indian National Congress,1589811,641597,40.4 %,112682,17.6%,AC View
Mumbai South Central,30,GEN,Maharashtra,Eknath M. Gaikwad,Indian National Congress,1515899,598877,39.5 %,75706,12.6%,AC View
Munger,28,GEN,Bihar [2000 Onwards],Rajiv Ranjan Singh Alias Lalan Singh,Janata Dal (United),1564604,651035,41.6 %,189361,29.1%,AC View
Murshidabad,11,GEN,West Bengal,Abdul Mannan Hossain,Indian National Congress,1192899,1052242,88.2 %,35647,3.4%,AC View
Muzaffarnagar,3,GEN,Uttar Pradesh [2000 Onwards],Kadir Rana,Bahujan Samaj Party,1370117,744973,54.4 %,20598,2.8%,AC View
Muzaffarpur,15,GEN,Bihar [2000 Onwards],Captain Jai Narayan Prasad Nishad,Janata Dal (United),1339949,621870,46.4 %,47809,7.7%,AC View
Mysore,21,GEN,Karnataka,Adagur H Vishwanath,Indian National Congress,1653991,974410,58.9 %,7691,0.8%,AC View
Nabarangpur,12,ST,Orissa,Pradeep Kumar Majhi,Indian National Congress,1215653,792063,65.2 %,29977,3.8%,AC View
Nagaland,1,ST,Nagaland,C.M. Chang,Nagaland Peoples Front,1321878,1189670,90.0 %,483021,40.6%,AC View
Nagapattinam,29,SC,Tamil Nadu,Vijayan A K S,Dravida Munetra Kazhagam,982352,764572,77.8 %,47962,6.3%,AC View
Nagarkurnool,12,SC,Andhra Pradesh,Dr. Manda Jagannath,Indian National Congress,1460484,1027695,70.4 %,47767,4.6%,AC View
Nagaur,14,GEN,Rajasthan,Dr. Jyoti Mirdha,Indian National Congress,1486307,610003,41.0 %,155137,25.4%,AC View
Nagina,5,SC,Uttar Pradesh [2000 Onwards],Yashvir Singh,Samajwadi Party,1196566,643784,53.8 %,59688,9.3%,AC View
Nagpur,10,GEN,Maharashtra,Muttemwar Vilasrao Baburaoji,Indian National Congress,1738920,755714,43.5 %,24399,3.2%,AC View
Nainital-Udhamsingh Nagar,4,GEN,Uttarakhand,K.C. Singh Baba,Indian National Congress,1284092,753947,58.7 %,88412,11.7%,AC View
Nalanda,29,GEN,Bihar [2000 Onwards],Kaushalendra Kumar,Janata Dal (United),1719503,568233,33.1 %,152677,26.9%,AC View
Nalgonda,13,GEN,Andhra Pradesh,Gutha Sukender Reddy,Indian National Congress,1455016,1083684,74.5 %,152982,14.1%,AC View
Namakkal,16,GEN,Tamil Nadu,Gandhiselvan.S,Dravida Munetra Kazhagam,1075526,846216,78.7 %,102431,12.1%,AC View
Nanded,16,GEN,Maharashtra,Khatgaonkar Patil Bhaskarrao Bapurao,Indian National Congress,1439015,774850,53.9 %,74614,9.6%,AC View
Nandurbar,1,ST,Maharashtra,Gavit Manikrao Hodlya,Indian National Congress,1455543,766408,52.7 %,79949,10.4%,AC View
Nandyal,34,GEN,Andhra Pradesh,S.P.Y.Reddy,Indian National Congress,1358711,996163,73.3 %,90847,9.1%,AC View
Narasaraopet,31,GEN,Andhra Pradesh,Modugula Venugopala Reddy,Telugu Desam,1360431,1086317,79.9 %,1607,0.1%,AC View
Narsapuram,26,GEN,Andhra Pradesh,Bapiraju Kanumuru,Indian National Congress,1173138,995129,84.8 %,114690,11.5%,AC View
Nashik,21,GEN,Maharashtra,Sameer Bhujbal,Nationalist Congress Party,1448414,656930,45.4 %,22032,3.4%,AC View
Navsari,25,GEN,Gujarat,C. R. Patil,Bharatiya Janta Party,1623415,757579,46.7 %,132643,17.5%,AC View
Nawada,39,GEN,Bihar [2000 Onwards],Bhola Singh,Bharatiya Janta Party,1397512,581583,41.6 %,34917,6.0%,AC View
Nellore,39,GEN,Andhra Pradesh,Mekapati Rajamohan Reddy,Indian National Congress,1450938,1006949,69.4 %,54993,5.5%,AC View
New Delhi,4,GEN,Delhi [1977 Onwards],Ajay Makan,Indian National Congress,1373146,765180,55.7 %,187809,24.5%,AC View
Nilgiris,19,SC,Tamil Nadu,Raja A,Dravida Munetra Kazhagam,1003168,709771,70.8 %,86021,12.1%,AC View
Nizamabad,4,GEN,Andhra Pradesh,Madhu Yaskhi Goud,Indian National Congress,1333271,889962,66.8 %,60390,6.8%,AC View
North East Delhi,2,GEN,Delhi [1977 Onwards],Jai Prakash Agarwal,Indian National Congress,1677058,877919,52.4 %,222243,25.3%,AC View
North Goa,1,GEN,Goa,Shripad Yesso Naik,Bharatiya Janta Party,486983,292408,60.0 %,6353,2.2%,AC View
North West Delhi,5,SC,Delhi [1977 Onwards],Krishna Tirath,Indian National Congress,1798181,857564,47.7 %,184433,21.5%,AC View
Nowgong,10,GEN,Assam,Rajen Gohain,Bharatiya Janta Party,1411331,998937,70.8 %,45380,4.5%,AC View
Ongole,33,GEN,Andhra Pradesh,Magunta Srinivasulu Reddy,Indian National Congress,1375558,1026948,74.7 %,78523,7.6%,AC View
Osmanabad,40,GEN,Maharashtra,Patil Padamsinha Bajirao,Nationalist Congress Party,1608852,924810,57.5 %,6787,0.7%,AC View
Outer Manipur,2,ST,Manipur,Thangso Baite,Indian National Congress,909496,753388,82.8 %,119798,15.9%,AC View
Palakkad,8,GEN,Kerala,M.B. Rajesh,Communist Party Of India (MARXIST),1074818,790872,73.6 %,1820,0.2%,AC View
Palamau,13,SC,Jharkhand,Kameshwar Baitha,Jharkhand Mukti Morcha,1417375,651271,46.0 %,23538,3.6%,AC View
Palghar,22,ST,Maharashtra,Jadhav Baliram Sukur,Bahujan Vikas Aaghadi,1523061,732599,48.1 %,12360,1.7%,AC View
Pali,15,GEN,Rajasthan,Badri Ram Jakhar,Indian National Congress,1682713,724620,43.1 %,196717,27.1%,AC View
Panchmahal,18,GEN,Gujarat,Chauhan Prabhatsinh Pratapsinh,Bharatiya Janta Party,1423385,606673,42.6 %,2081,0.3%,AC View
Parbhani,17,GEN,Maharashtra,Adv. Dudhgaonkar Ganeshrao Nagorao,Shiv Sena,1610088,870761,54.1 %,65418,7.5%,AC View
Paschim Champaran,2,GEN,Bihar [2000 Onwards],Dr. Sanjay Jaiswal,Bharatiya Janta Party,1220868,515490,42.2 %,47343,9.2%,AC View
Pataliputra,31,GEN,Bihar [2000 Onwards],Ranjan Prasad Yadav,Janata Dal (United),1526241,628364,41.2 %,23541,3.7%,AC View
Patan,3,GEN,Gujarat,Jagdish Thakor,Indian National Congress,1417623,633160,44.7 %,18504,2.9%,AC View
Pathanamthitta,17,GEN,Kerala,Anto Antony Punnathaniyil,Indian National Congress,1213370,798232,65.8 %,111206,13.9%,AC View
Patiala,13,GEN,Punjab,Preneet Kaur,Indian National Congress,1344864,935959,69.6 %,97389,10.4%,AC View
Patna Sahib,30,GEN,Bihar [2000 Onwards],Shatrughan Sinha,Bharatiya Janta Party,1641976,552538,33.7 %,166770,30.2%,AC View
Peddapalli,2,SC,Andhra Pradesh,Dr.G.Vivekanand,Indian National Congress,1315642,904183,68.7 %,49017,5.4%,AC View
Perambalur,25,GEN,Tamil Nadu,"Napoleon,d.",Dravida Munetra Kazhagam,1049033,834811,79.6 %,77604,9.3%,AC View
Phulpur,51,GEN,Uttar Pradesh [2000 Onwards],Kapil Muni Karwariya,Bahujan Samaj Party,1426451,551913,38.7 %,14578,2.6%,AC View
Pilibhit,26,GEN,Uttar Pradesh [2000 Onwards],Varun Gandhi,Bharatiya Janta Party,1310007,837650,63.9 %,281501,33.6%,AC View
Pollachi,21,GEN,Tamil Nadu,Sugumar.K,All India Anna Dravida Munnetra Kazhagam,1017811,773303,76.0 %,46025,6.0%,AC View
Pondicherry,1,GEN,Pondicherry,Narayanasamy,Indian National Congress,762440,608533,79.8 %,91772,15.1%,AC View
Ponnani,7,GEN,Kerala,E.T. Muhammed Basheer,Muslim League Kerala State Committee,997075,770205,77.3 %,82684,10.7%,AC View
Porbandar,11,GEN,Gujarat,Radadiya Vitthalbhai Hansrajbhai,Indian National Congress,1385818,660768,47.7 %,39503,6.0%,AC View
Pratapgarh,39,GEN,Uttar Pradesh [2000 Onwards],Rajkumari Ratna Singh,Indian National Congress,1435159,641017,44.7 %,29779,4.6%,AC View
Pune,34,GEN,Maharashtra,Kalmadi Suresh,Indian National Congress,1806953,734482,40.7 %,25701,3.5%,AC View
Puri,17,GEN,Orissa,Pinaki Misra,Biju Janata Dal,1322817,910198,68.8 %,211305,23.2%,AC View
Purnia,12,GEN,Bihar [2000 Onwards],Uday Singh Alias Pappu Singh,Bharatiya Janta Party,1305396,704866,54.0 %,186227,26.4%,AC View
Purulia,35,GEN,West Bengal,Narahari Mahato,All India Forward Bloc,1257799,905208,72.0 %,19301,2.1%,AC View
Purvi Champaran,3,GEN,Bihar [2000 Onwards],Radha Mohan Singh,Bharatiya Janta Party,1187264,482094,40.6 %,79290,16.4%,AC View
Rae Bareli,36,GEN,Uttar Pradesh [2000 Onwards],Sonia Gandhi,Indian National Congress,1379507,666699,48.3 %,372165,55.8%,AC View
Raichur,6,ST,Karnataka,Pakkirappa.S.,Bharatiya Janta Party,1486326,682388,45.9 %,30636,4.5%,AC View
Raigad,32,GEN,Maharashtra,Anant Geete,Shiv Sena,1359830,769264,56.6 %,146521,19.0%,AC View
Raiganj,5,GEN,West Bengal,Deepa Dasmunsi,Indian National Congress,1108382,900271,81.2 %,105203,11.7%,AC View
Raigarh,2,ST,Chhattisgarh,Vishnu Deo Sai,Bharatiya Janta Party,1432746,935750,65.3 %,55848,6.0%,AC View
Raipur,8,GEN,Chhattisgarh,Ramesh Bais,Bharatiya Janta Party,1578868,741969,47.0 %,57901,7.8%,AC View
Rajahmundry,25,GEN,Andhra Pradesh,Aruna Kumar Vundavalli,Indian National Congress,1260974,1021131,81.0 %,2147,0.2%,AC View
Rajampet,41,GEN,Andhra Pradesh,Annayyagari Sai Prathap,Indian National Congress,1311449,997835,76.1 %,110377,11.1%,AC View
Rajgarh,20,GEN,Madhya Pradesh [2000 Onwards],Narayansingh Amlabe,Indian National Congress,1261062,651383,51.7 %,24388,3.7%,AC View
Rajkot,10,GEN,Gujarat,Kuvarjibhai Mohanbhai Bavalia,Indian National Congress,1455072,649750,44.7 %,24735,3.8%,AC View
Rajmahal,1,ST,Jharkhand,Devidhan Besra,Bharatiya Janta Party,1167993,644495,55.2 %,8983,1.4%,AC View
Rajnandgaon,6,GEN,Chhattisgarh,Madhusudan Yadav,Bharatiya Janta Party,1411051,830578,58.9 %,119074,14.3%,AC View
Rajsamand,22,GEN,Rajasthan,Gopal Singh,Indian National Congress,1489231,591390,39.7 %,45890,7.8%,AC View
Ramanathapuram,35,GEN,Tamil Nadu,Sivakumar @ J.K. Ritheesh. K,Dravida Munetra Kazhagam,1133391,779721,68.8 %,69915,9.0%,AC View
Rampur,7,GEN,Uttar Pradesh [2000 Onwards],Jaya Prada Nahata,Samajwadi Party,1154544,606179,52.5 %,30931,5.1%,AC View
Ramtek,9,SC,Maharashtra,Wasnik Mukul Balkrishna,Indian National Congress,1502900,765020,50.9 %,16701,2.2%,AC View
Ranaghat,13,SC,West Bengal,Sucharu Ranjan Haldar,All India Trinamool Congress,1329436,1148874,86.4 %,101823,8.9%,AC View
Ranchi,8,GEN,Jharkhand,Subodh Kant Sahay,Indian National Congress,1625148,723932,44.6 %,13350,1.8%,AC View
Ratlam,24,ST,Madhya Pradesh [2000 Onwards],Kantilal Bhuria,Indian National Congress,1251597,637626,50.9 %,57668,9.0%,AC View
Ratnagiri - Sindhudurg,46,GEN,Maharashtra,Dr.Nilesh Narayan Rane,Indian National Congress,1252255,719855,57.5 %,46750,6.5%,AC View
Raver,4,GEN,Maharashtra,Haribhau Madhav Jawale,Bharatiya Janta Party,1418691,720215,50.8 %,28218,3.9%,AC View
Rewa,10,GEN,Madhya Pradesh [2000 Onwards],Deoraj Singh Patel,Bahujan Samaj Party,1248727,603761,48.4 %,4021,0.7%,AC View
Robertsganj,80,SC,Uttar Pradesh [2000 Onwards],Pakauri Lal,Samajwadi Party,1214735,595313,49.0 %,50259,8.4%,AC View
Rohtak,7,GEN,Haryana,Deepender Singh,Indian National Congress,1274972,835610,65.5 %,445736,53.3%,AC View
Sabarkantha,5,GEN,Gujarat,Chauhan Mahendrasinh,Bharatiya Janta Party,1452240,717642,49.4 %,17160,2.4%,AC View
Sagar,5,GEN,Madhya Pradesh [2000 Onwards],Bhupendra Singh,Bharatiya Janta Party,1185166,570342,48.1 %,131168,23.0%,AC View
Saharanpur,1,GEN,Uttar Pradesh [2000 Onwards],Jagdish Singh Rana,Bahujan Samaj Party,1298132,821119,63.3 %,84873,10.3%,AC View
Salem,15,GEN,Tamil Nadu,Semmalai S,All India Anna Dravida Munnetra Kazhagam,1171839,895888,76.5 %,46491,5.2%,AC View
Salempur,71,GEN,Uttar Pradesh [2000 Onwards],Ramashankar Rajbhar,Bahujan Samaj Party,1621136,635226,39.2 %,18305,2.9%,AC View
Samastipur,23,SC,Bihar [2000 Onwards],Maheshwar Hazari,Janata Dal (United),1312948,584752,44.5 %,104376,17.8%,AC View
Sambalpur,3,GEN,Orissa,Amarnath Pradhan,Indian National Congress,1233251,800562,64.9 %,14874,1.9%,AC View
Sambhal,8,GEN,Uttar Pradesh [2000 Onwards],Dr. Shafiqur Rahman Barq,Bahujan Samaj Party,1290810,682137,52.9 %,13464,2.0%,AC View
Sangli,44,GEN,Maharashtra,Pratik Prakashbapu Patil,Indian National Congress,1490571,778760,52.3 %,39783,5.1%,AC View
Sangrur,12,GEN,Punjab,Vijay Inder Singla,Indian National Congress,1251401,931247,74.4 %,40872,4.4%,AC View
Sant Kabir Nagar,62,GEN,Uttar Pradesh [2000 Onwards],Bhisma Shankar Alias Kushal Tiwari,Bahujan Samaj Party,1694453,800935,47.3 %,29496,3.7%,AC View
Saran,20,GEN,Bihar [2000 Onwards],Lalu Prasad,Rashtriya Janata Dal,1268338,580830,45.8 %,51815,8.9%,AC View
Sarguja,1,ST,Chhattisgarh,Murarilal Singh,Bharatiya Janta Party,1306822,805197,61.6 %,159548,19.8%,AC View
Sasaram,34,SC,Bihar [2000 Onwards],Meira Kumar,Indian National Congress,1402789,599031,42.7 %,42954,7.2%,AC View
Satara,45,GEN,Maharashtra,Bhonsle Shrimant Chh. Udyanraje Pratapsinhmaharaj,Nationalist Congress Party,1546146,816703,52.8 %,297515,36.4%,AC View
Satna,9,GEN,Madhya Pradesh [2000 Onwards],Ganesh Singh,Bharatiya Janta Party,1207500,659947,54.7 %,4418,0.7%,AC View
Secundrabad,8,GEN,Andhra Pradesh,Anjan Kumar Yadav M,Indian National Congress,1574818,865489,55.0 %,170167,19.7%,AC View
Shahdol,12,ST,Madhya Pradesh [2000 Onwards],Rajesh Nandini Singh,Indian National Congress,1272377,629477,49.5 %,13415,2.1%,AC View
Shahjahanpur,27,SC,Uttar Pradesh [2000 Onwards],Mithlesh,Samajwadi Party,1627964,792516,48.7 %,70579,8.9%,AC View
Sheohar,4,GEN,Bihar [2000 Onwards],Rama Devi,Bharatiya Janta Party,1269056,573012,45.2 %,125684,21.9%,AC View
Shillong,1,ST,Meghalaya,Vincent H Pala,Indian National Congress,771965,480424,62.2 %,107868,22.5%,AC View
Shimla,4,SC,Himachal Pradesh,Virender Kashyap,Bharatiya Janta Party,1106608,616777,55.7 %,27327,4.4%,AC View
Shimoga,14,GEN,Karnataka,B.Y. Raghavendra,Bharatiya Janta Party,1435908,954752,66.5 %,52893,5.5%,AC View
Shirdi,38,SC,Maharashtra,Wakchaure Bhausaheb Rajaram,Shiv Sena,1317890,663964,50.4 %,132751,20.0%,AC View
Shirur,36,GEN,Maharashtra,Adhalrao Shivaji Dattatray,Shiv Sena,1630466,839734,51.5 %,178611,21.3%,AC View
Shrawasti,58,GEN,Uttar Pradesh [2000 Onwards],Vinay Kumar Alias Vinnu,Indian National Congress,1405884,605386,43.1 %,42029,6.9%,AC View
Sidhi,11,GEN,Madhya Pradesh [2000 Onwards],Govind Prasad Mishra,Bharatiya Janta Party,1358291,675867,49.8 %,45740,6.8%,AC View
Sikar,5,GEN,Rajasthan,Mahadev Singh,Indian National Congress,1507740,725873,48.1 %,149426,20.6%,AC View
Sikkim,1,GEN,Sikkim,Prem Das Rai,Sikkim Democratic Front,300584,257159,85.6 %,84868,33.0%,AC View
Silchar,2,GEN,Assam,Kabindra Purkayastha,Bharatiya Janta Party,978510,688547,70.4 %,41470,6.0%,AC View
Singhbhum,10,ST,Jharkhand,Madhu Kora,Independent,957406,579926,60.6 %,89673,15.5%,AC View
Sirsa,3,SC,Haryana,Ashok Tanwar,Indian National Congress,1309507,981472,75.0 %,35499,3.6%,AC View
Sitamarhi,5,GEN,Bihar [2000 Onwards],Arjun Roy,Janata Dal (United),1355817,576772,42.5 %,110566,19.2%,AC View
Sitapur,30,GEN,Uttar Pradesh [2000 Onwards],Kaisar Jahan,Bahujan Samaj Party,1230078,704998,57.3 %,19632,2.8%,AC View
Sivaganga,31,GEN,Tamil Nadu,Chidambaram P,Indian National Congress,1092438,776037,71.0 %,3354,0.4%,AC View
Siwan,18,GEN,Bihar [2000 Onwards],Om Prakash Yadav,Independent,1282480,642234,50.1 %,63430,9.9%,AC View
Solapur,42,SC,Maharashtra,Shinde Sushilkumar Sambhajirao,Indian National Congress,1594138,743336,46.6 %,99632,13.4%,AC View
Sonipat,6,GEN,Haryana,Jitender Singh,Indian National Congress,1099978,712449,64.8 %,161284,22.6%,AC View
South Delhi,7,GEN,Delhi [1977 Onwards],Ramesh Kumar,Indian National Congress,1542412,731332,47.4 %,93219,12.7%,AC View
South Goa,2,GEN,Goa,Cosme Francisco Caitano Sardinha,Indian National Congress,533811,272223,51.0 %,12516,4.6%,AC View
Srerampur,27,GEN,West Bengal,Kalyan Banerjee,All India Trinamool Congress,1395570,1081979,77.5 %,137190,12.7%,AC View
Srikakulam,19,GEN,Andhra Pradesh,Killi Krupa Rani,Indian National Congress,1226125,921680,75.2 %,82987,9.0%,AC View
Srinagar,2,GEN,Jammu & Kashmir,Farooq Abdullah,Jammu & Kashmir National Conference,1106729,282769,25.6 %,30242,10.7%,AC View
Sriperumbudur,5,GEN,Tamil Nadu,Baalu T R,Dravida Munetra Kazhagam,1201237,794505,66.1 %,25036,3.2%,AC View
Sultanpur,38,GEN,Uttar Pradesh [2000 Onwards],Dr.Sanjay Singh,Indian National Congress,1430955,707853,49.5 %,98779,14.0%,AC View
Sundargarh,2,ST,Orissa,Hemanand Biswal,Indian National Congress,1248955,768000,61.5 %,11624,1.5%,AC View
Supaul,8,GEN,Bihar [2000 Onwards],Vishwa Mohan Kumar,Janata Dal (United),1279549,697682,54.5 %,166075,23.8%,AC View
Surat,24,GEN,Gujarat,Shrimati Darshana Vikram Jardosh,Bharatiya Janta Party,1420969,695809,49.0 %,74798,10.7%,AC View
Surendranagar,9,GEN,Gujarat,Koli Patel Somabhai Gandalal,Indian National Congress,1475820,586318,39.7 %,4831,0.8%,AC View
Tamluk,30,GEN,West Bengal,Adhikari Suvendu,All India Trinamool Congress,1271230,1148299,90.3 %,172958,15.1%,AC View
Tehri Garhwal,1,GEN,Uttarakhand,Vijay Bahuguna,Indian National Congress,1159691,585576,50.5 %,52939,9.0%,AC View
Tenkasi,37,SC,Tamil Nadu,Lingam P,Communist Party Of India,1063614,748010,70.3 %,34677,4.6%,AC View
Tezpur,9,GEN,Assam,Joseph Toppo,Asom Gana Parisad,1210132,843506,69.7 %,30153,3.6%,AC View
Thane,25,GEN,Maharashtra,Dr.Sanjeev Ganesh Naik,Nationalist Congress Party,1806803,749910,41.5 %,49020,6.5%,AC View
Thanjavur,30,GEN,Tamil Nadu,Palanimanickam.S.S,Dravida Munetra Kazhagam,1054118,808675,76.7 %,101787,12.6%,AC View
Theni,33,GEN,Tamil Nadu,Aaron Rashid.J.M,Indian National Congress,1074931,800576,74.5 %,6302,0.8%,AC View
Thiruvallur,1,SC,Tamil Nadu,Venugopal.P,All India Anna Dravida Munnetra Kazhagam,1204209,850021,70.6 %,31673,3.7%,AC View
Thiruvananthapuram,20,GEN,Kerala,Shashi Tharoor,Indian National Congress,1122047,740023,66.0 %,99998,13.5%,AC View
Thoothukkudi,36,GEN,Tamil Nadu,Jeyadurai.S.R,Dravida Munetra Kazhagam,949153,656365,69.2 %,76649,11.7%,AC View
Thrissur,10,GEN,Kerala,P C Chacko,Indian National Congress,1174161,817245,69.6 %,25151,3.1%,AC View
Tikamgarh,6,SC,Madhya Pradesh [2000 Onwards],Virendra Kumar,Bharatiya Janta Party,1209553,525441,43.4 %,41862,8.0%,AC View
Tiruchirappalli,24,GEN,Tamil Nadu,Kumar.P,All India Anna Dravida Munnetra Kazhagam,1067193,719031,67.4 %,4335,0.6%,AC View
Tirunelveli,38,GEN,Tamil Nadu,Ramasubbu S,Indian National Congress,1059687,701402,66.2 %,21303,3.0%,AC View
Tirupati,40,SC,Andhra Pradesh,Chinta Mohan,Indian National Congress,1464896,1064727,72.7 %,19276,1.8%,AC View
Tiruppur,18,GEN,Tamil Nadu,Sivasami C,All India Anna Dravida Munnetra Kazhagam,993758,742273,74.7 %,85346,11.5%,AC View
Tiruvannamalai,11,GEN,Tamil Nadu,Venugopal.D,Dravida Munetra Kazhagam,1052587,842279,80.0 %,148300,17.6%,AC View
Tonk-Sawai Madhopur,12,GEN,Rajasthan,Namo Narain,Indian National Congress,1510047,802459,53.1 %,317,0.0%,AC View
Tripura East,2,ST,Tripura,Baju Ban Riyan,Communist Party Of India (MARXIST),988466,824246,83.4 %,295581,35.9%,AC View
Tripura West,1,GEN,Tripura,Khagen Das,Communist Party Of India (MARXIST),1093799,941508,86.1 %,248549,26.4%,AC View
Tumkur,19,GEN,Karnataka,G.S. Basavaraj,Bharatiya Janta Party,1388773,899917,64.8 %,21445,2.4%,AC View
Tura,2,ST,Meghalaya,Agatha K. Sangma,Nationalist Congress Party,505774,342205,67.7 %,17945,5.2%,AC View
Udaipur,19,ST,Rajasthan,Raghuvir Singh Meena,Indian National Congress,1564137,758687,48.5 %,164925,21.7%,AC View
Udhampur,5,GEN,Jammu & Kashmir,Ch. Lal Singh,Indian National Congress,1363060,611779,44.9 %,13394,2.2%,AC View
Udupi Chikmagalur,15,GEN,Karnataka,D.V.Sadananda Gowda,Bharatiya Janta Party,1224335,835648,68.3 %,27018,3.2%,AC View
Ujiarpur,22,GEN,Bihar [2000 Onwards],Aswamedh Devi,Janata Dal (United),1229327,564247,45.9 %,25312,4.5%,AC View
Ujjain,22,SC,Madhya Pradesh [2000 Onwards],Guddu Premchand,Indian National Congress,1253686,667635,53.3 %,15841,2.4%,AC View
Uluberia,26,GEN,West Bengal,Sultan Ahmed,All India Trinamool Congress,1251590,1009905,80.7 %,98936,9.8%,AC View
Unnao,33,GEN,Uttar Pradesh [2000 Onwards],Annutandon,Indian National Congress,1818980,904542,49.7 %,302092,33.4%,AC View
Uttara Kannada,12,GEN,Karnataka,Anantkumar Hegde,Bharatiya Janta Party,1286556,760547,59.1 %,22769,3.0%,AC View
Vadakara,3,GEN,Kerala,Mullappally Ramachandran,Indian National Congress,1071171,866349,80.9 %,56186,6.5%,AC View
Vadodara,20,GEN,Gujarat,Balkrishna Khanderao Shukla (Balu Shukla),Bharatiya Janta Party,1524060,747196,49.0 %,136028,18.2%,AC View
Vaishali,16,GEN,Bihar [2000 Onwards],Raghuvansh Prasad Singh,Rashtriya Janata Dal,1278891,624863,48.9 %,22308,3.6%,AC View
Valmiki Nagar,1,GEN,Bihar [2000 Onwards],Baidyanath Prasad Mahto,Janata Dal (United),1275653,598456,46.9 %,183675,30.7%,AC View
Valsad,26,ST,Gujarat,Kishanbhai Vestabhai Patel,Indian National Congress,1380245,774452,56.1 %,7169,0.9%,AC View
