pc name,no,type,state,winning candidate,party,electors,votes,turnout,margin,margin %,acs,UID
Adilabad,35,GEN,Andhra Pradesh,Madhusudhan Reddy Takkala,Telangana Rashtra Samithi,1140834,830601,72.8 %,40974,4.9%,AC View,AP2004PC35
Adoor,17,GEN,Kerala,Chengara Surendran,Communist Party Of India,960122,682227,71.1 %,54534,8.0%,AC View,KL2004PC17
Agra,69,GEN,Uttar Pradesh [2000 Onwards],Raj Babbar,Samajwadi Party,1430713,642675,44.9 %,57342,8.9%,AC View,UP2004PC69
Ahmedabad,10,GEN,Gujarat,Harin Pathak,Bharatiya Janta Party,1382793,548391,39.7 %,77605,14.2%,AC View,GJ2004PC10
Ahmednagar,39,GEN,Maharashtra,Gadakh Tukaram Gangadhar,Nationalist Congress Party,1295593,686554,53.0 %,75077,10.9%,AC View,MH2004PC39
Ajmer,12,GEN,Rajasthan,Rasa Singh Rawat,Bharatiya Janta Party,1203803,529138,44.0 %,127976,24.2%,AC View,RJ2004PC12
Akbarpur,23,GEN,Uttar Pradesh [2000 Onwards],Maya Wati,Bahujan Samaj Party,1446088,741543,51.3 %,58269,7.9%,AC View,UP2004PC23
Akola,19,GEN,Maharashtra,Dhotre Sanjay Shamrao,Bharatiya Janta Party,1271055,734524,57.8 %,106371,14.5%,AC View,MH2004PC19
Aligarh,72,GEN,Uttar Pradesh [2000 Onwards],Bijendra Singh,Indian National Congress,1341254,633500,47.2 %,2791,0.4%,AC View,UP2004PC72
Alipurduars,2,ST,West Bengal,Joachim Baxla,Revolutionary Socialist Party,1045042,837257,80.1 %,145124,17.3%,AC View,WB2004PC02
Allahabad,52,GEN,Uttar Pradesh [2000 Onwards],Raman Singh,Samajwadi Party,1558094,656450,42.1 %,28383,4.3%,AC View,UP2004PC52
Alleppey,15,GEN,Kerala,Dr. K. S. Manoj,Communist Party Of India (MARXIST),971154,728156,75.0 %,1009,0.1%,AC View,KL2004PC15
Almora,3,SC,Uttarakhand,Bachi Singh Rawat,Bharatiya Janta Party,1012756,504756,49.8 %,10052,2.0%,AC View,UK2004PC03
Alwar,8,GEN,Rajasthan,Dr. Karan Singh Yadav,Indian National Congress,1262622,540451,42.8 %,8371,1.5%,AC View,RJ2004PC08
Amalapuram,9,SC,Andhra Pradesh,G.V. Harsha Kumar,Indian National Congress,904207,702715,77.7 %,41485,5.9%,AC View,AP2004PC09
Ambala,1,SC,Haryana,Selja,Indian National Congress,1199338,847673,70.7 %,234935,27.7%,AC View,HR2004PC01
Amethi,21,GEN,Uttar Pradesh [2000 Onwards],Rahul Gandhi,Indian National Congress,1324991,589559,44.5 %,290853,49.3%,AC View,UP2004PC21
Amravati,21,GEN,Maharashtra,Anant Gudhe,Shiv Sena,1204881,675653,56.1 %,14234,2.1%,AC View,MH2004PC21
Amreli,7,GEN,Gujarat,Nilaben Virjibhai Thummar,Indian National Congress,1025515,475548,46.4 %,2030,0.4%,AC View,GJ2004PC07
Amritsar,2,GEN,Punjab,Navjot Singh Sidhu,Bharatiya Janta Party,1292902,711808,55.1 %,109532,15.4%,AC View,PB2004PC02
Amroha,2,GEN,Uttar Pradesh [2000 Onwards],Harish Nagpal,Independent,1342541,885155,65.9 %,17884,2.0%,AC View,UP2004PC02
Anakapalli,6,GEN,Andhra Pradesh,Chalapathirao Pappala,Telugu Desam,1023113,781746,76.4 %,15414,2.0%,AC View,AP2004PC06
Anand,20,GEN,Gujarat,Solanki Bharatsinh Madhavsinh,Indian National Congress,1145550,591698,51.7 %,61085,10.3%,AC View,GJ2004PC20
Anantapur,25,GEN,Andhra Pradesh,Anantha Venkata Rami Reddy,Indian National Congress,1280923,873370,68.2 %,73404,8.4%,AC View,AP2004PC25
Anantnag,3,GEN,Jammu & Kashmir,Mehbooba Mufti,Jammu & Kashmir Peoples Democratic Party,998905,146632,14.7 %,38938,26.6%,AC View,JK2004PC03
Andaman & Nicobar Islands,1,GEN,Andaman & Nicobar Islands,Manoranjan Bhakta,Indian National Congress,241645,153804,63.7 %,30500,19.8%,AC View,AN2004PC01
Aonla,7,GEN,Uttar Pradesh [2000 Onwards],Kunwar Sarvraj Singh,Janata Dal (United),1145865,536458,46.8 %,6871,1.3%,AC View,UP2004PC07
Arakkonam,6,SC,Tamil Nadu,"Velu, R.",Pattali Makkal Katchi,1160259,773529,66.7 %,102196,13.2%,AC View,TN2004PC06
Arambagh,28,GEN,West Bengal,Anil Basu,Communist Party Of India (MARXIST),1187610,961186,80.9 %,592502,61.6%,AC View,WB2004PC28
Araria,22,GEN,Bihar [2000 Onwards],Sukdeo Paswan,Bharatiya Janta Party,1184962,652439,55.1 %,27744,4.3%,AC View,BR2004PC22
Arrah,33,GEN,Bihar [2000 Onwards],Kanti Singh,Rashtriya Janata Dal,1360794,787780,57.9 %,149743,19.0%,AC View,BR2004PC33
Arunachal East,2,GEN,Arunachal Pradesh,Tapir Gao,Bharatiya Janta Party,289606,162704,56.2 %,44994,27.7%,AC View,AR2004PC02
Arunachal West,1,GEN,Arunachal Pradesh,Kiren Rijiju,Bharatiya Janta Party,394428,220618,55.9 %,47424,21.5%,AC View,AR2004PC01
Asansol,38,SC,West Bengal,Bikash Chowdhury,Communist Party Of India (MARXIST),1092141,724790,66.4 %,124318,17.2%,AC View,WB2004PC38
Aska,10,GEN,Orissa,Hari Har Swain,Biju Janata Dal,1254942,682598,54.4 %,132602,19.4%,AC View,OR2004PC10
Aurangabad,37,GEN,Bihar [2000 Onwards],Nikhil Kumar,Indian National Congress,1401973,767159,54.7 %,7460,1.0%,AC View,BR2004PC37
Aurangabad,33,GEN,Maharashtra,Chandrakant Khaire,Shiv Sena,1636117,911532,55.7 %,121923,13.4%,AC View,MH2004PC33
Autonomous District,3,ST,Assam,Biren Singh Engti,Indian National Congress,579284,401612,69.3 %,24129,6.0%,AC View,AS2004PC03
Azamgarh,41,SC,Uttar Pradesh [2000 Onwards],Ramakant Yadav,Bahujan Samaj Party,1425023,711356,49.9 %,6968,1.0%,AC View,UP2004PC41
Badagara,3,GEN,Kerala,P. Satheedevi,Communist Party Of India (MARXIST),1092826,826054,75.6 %,130589,15.8%,AC View,KL2004PC03
Bagaha,1,GEN,Bihar [2000 Onwards],Kailash Baitha,Janata Dal (United),1160275,570814,49.2 %,65375,11.5%,AC View,BR2004PC01
Bagalkot,27,GEN,Karnataka,Gaddigoudar Parvatagouda Chandanagouda,Bharatiya Janta Party,1324829,866238,65.4 %,167383,19.3%,AC View,KA2004PC27
Baghpat,77,GEN,Uttar Pradesh [2000 Onwards],Ajit Singh,Rashtriya Lok Dal,1570374,656864,41.8 %,220638,33.6%,AC View,UP2004PC77
Bahraich,27,SC,Uttar Pradesh [2000 Onwards],Rubab Sayeda,Samajwadi Party,1423646,549535,38.6 %,26334,4.8%,AC View,UP2004PC27
Balaghat,12,ST,Madhya Pradesh [2000 Onwards],Gauri Shankar Chaturbhuj Bisen,Bharatiya Janta Party,1000341,608869,60.9 %,88089,14.5%,AC View,MP2004PC12
Balasore,2,ST,Orissa,Mahamegha Bahan Aira Kharbela Swain,Bharatiya Janta Party,1330406,948450,71.3 %,236955,25.0%,AC View,OR2004PC02
Balia,19,GEN,Bihar [2000 Onwards],Suraj Singh,Lok Jan Shakti Party,1181597,632330,53.5 %,76227,12.1%,AC View,BR2004PC19
Ballia,39,GEN,Uttar Pradesh [2000 Onwards],Chandra Shekhar,Samajwadi Janata Party (RASHTRIYA),1430300,619531,43.3 %,81054,13.1%,AC View,UP2004PC39
Balrampur,28,GEN,Uttar Pradesh [2000 Onwards],Brij Bhushan Sharan Singh,Bharatiya Janta Party,1316006,698106,53.1 %,52613,7.5%,AC View,UP2004PC28
Balurghat,6,GEN,West Bengal,Ranen Barman,Revolutionary Socialist Party,1129369,920808,81.5 %,71146,7.7%,AC View,WB2004PC06
Banaskantha,14,GEN,Gujarat,Chavda Harisinhaji Pratapsinhaji,Indian National Congress,1311847,642570,49.0 %,6928,1.1%,AC View,GJ2004PC14
Banda,55,GEN,Uttar Pradesh [2000 Onwards],Shyama Charan Gupt,Samajwadi Party,1283915,526286,41.0 %,56304,10.7%,AC View,UP2004PC55
Bangalore North,12,GEN,Karnataka,Dr. H.T. Sangliana,Bharatiya Janta Party,2133579,1157337,54.2 %,30358,2.6%,AC View,KA2004PC12
Bangalore South,13,GEN,Karnataka,Ananth Kumar,Bharatiya Janta Party,1620352,800632,49.4 %,62271,7.8%,AC View,KA2004PC13
Banka,26,GEN,Bihar [2000 Onwards],Giridhari Yadav,Rashtriya Janata Dal,1213614,713888,58.8 %,4669,0.7%,AC View,BR2004PC26
Bankura,35,GEN,West Bengal,Acharia Basudeb,Communist Party Of India (MARXIST),1020046,691958,67.8 %,230329,33.3%,AC View,WB2004PC35
Bansgaon,33,GEN,Uttar Pradesh [2000 Onwards],Mahaveer Prasad,Indian National Congress,1441224,632098,43.9 %,16441,2.6%,AC View,UP2004PC33
Banswara,16,GEN,Rajasthan,Dhan Singh Rawat,Bharatiya Janta Party,1373808,665376,48.4 %,21683,3.3%,AC View,RJ2004PC16
Bapatla,16,GEN,Andhra Pradesh,Daggubati Purandareswari,Indian National Congress,948929,733677,77.3 %,94082,12.8%,AC View,AP2004PC16
Bara Banki,25,GEN,Uttar Pradesh [2000 Onwards],Kamla Prasad,Bahujan Samaj Party,1214993,540219,44.5 %,20922,3.9%,AC View,UP2004PC25
Baramati,43,GEN,Maharashtra,Pawar Sharadchandra Govindrao,Nationalist Congress Party,1846635,892726,48.3 %,422975,47.4%,AC View,MH2004PC43
Baramulla,1,GEN,Jammu & Kashmir,Abdul Rashid Shaheen,Jammu & Kashmir National Conference,940998,334122,35.5 %,9895,3.0%,AC View,JK2004PC01
Barasat,13,SC,West Bengal,Subrata Bose,All India Forward Bloc,1388017,1148662,82.8 %,12160,1.1%,AC View,WB2004PC13
Bareilly,8,GEN,Uttar Pradesh [2000 Onwards],Santosh Gangwar,Bharatiya Janta Party,1556024,822839,52.9 %,59644,7.2%,AC View,UP2004PC08
Barh,18,GEN,Bihar [2000 Onwards],Vijay Krishna,Rashtriya Janata Dal,1242851,864069,69.5 %,37688,4.4%,AC View,BR2004PC18
Barmer,23,GEN,Rajasthan,Manvendra Singh,Bharatiya Janta Party,1639188,1046857,63.9 %,271888,26.0%,AC View,RJ2004PC23
Baroda,22,GEN,Gujarat,Jayaben Thakkar,Bharatiya Janta Party,1656867,651977,39.4 %,6603,1.0%,AC View,GJ2004PC22
Barpeta,6,GEN,Assam,A. F. Golam Osmani,Indian National Congress,1075749,762614,70.9 %,68125,8.9%,AC View,AS2004PC06
Barrackpore,19,SC,West Bengal,Tarit Baran Topdar,Communist Party Of India (MARXIST),981008,792471,80.8 %,165071,20.8%,AC View,WB2004PC19
Basirhat,14,SC,West Bengal,Ajay Chakraborty,Communist Party Of India,1107129,906003,81.8 %,182084,20.1%,AC View,WB2004PC14
Bastar,9,GEN,Chhattisgarh,Baliram Kashyap,Bharatiya Janta Party,1039442,450417,43.3 %,54373,12.1%,AC View,CG2004PC09
Basti,30,GEN,Uttar Pradesh [2000 Onwards],Lal Mani Prasad,Bahujan Samaj Party,1416526,576389,40.7 %,25374,4.4%,AC View,UP2004PC30
Bayana,10,SC,Rajasthan,Ramswaroop Koli,Bharatiya Janta Party,1197119,489456,40.9 %,59624,12.2%,AC View,RJ2004PC10
Beed,34,GEN,Maharashtra,Jaisingrao Gaikwad Patil,Nationalist Congress Party,1319891,882532,66.9 %,47412,5.4%,AC View,MH2004PC34
Begusarai,30,GEN,Bihar [2000 Onwards],Rajiv Ranjan Singh,Janata Dal (United),1280963,678647,53.0 %,20491,3.0%,AC View,BR2004PC30
Belgaum,25,GEN,Karnataka,Angadi Suresh Chanabasappa,Bharatiya Janta Party,1354182,892332,65.9 %,84753,9.5%,AC View,KA2004PC25
Bellary,5,SC,Karnataka,G. Karunakara Reddy,Bharatiya Janta Party,1423161,949652,66.7 %,31679,3.3%,AC View,KA2004PC05
Berhampore,10,GEN,West Bengal,Adhir Ranjan Chowdhury,Indian National Congress,1220502,987380,80.9 %,98901,10.0%,AC View,WB2004PC10
Berhampur,11,GEN,Orissa,Chandra Sekhar Sahu,Indian National Congress,1195391,719853,60.2 %,51657,7.2%,AC View,OR2004PC11
Bettiah,2,GEN,Bihar [2000 Onwards],Raghunath Jha,Rashtriya Janata Dal,1278163,569868,44.6 %,24671,4.3%,AC View,BR2004PC02
Betul,17,GEN,Madhya Pradesh [2000 Onwards],Khandelwal Vijay Kumar (MUNNI BHAIA),Bharatiya Janta Party,1122830,547321,48.7 %,157540,28.8%,AC View,MP2004PC17
Bhadrachalam,5,ST,Andhra Pradesh,Midiyam Babu Rao,Communist Party Of India (MARXIST),1193297,822860,69.0 %,53806,6.5%,AC View,AP2004PC05
Bhadrak,3,GEN,Orissa,Arjun Charan Sethi,Biju Janata Dal,1350755,931990,69.0 %,94769,10.2%,AC View,OR2004PC03
Bhagalpur,27,GEN,Bihar [2000 Onwards],Sushil Kumar Modi,Bharatiya Janta Party,1388037,757266,54.6 %,117853,15.6%,AC View,BR2004PC27
Bhandara,24,GEN,Maharashtra,Patle Shishupal Natthu,Bharatiya Janta Party,1006061,679727,67.6 %,3009,0.4%,AC View,MH2004PC24
Bharatpur,9,SC,Rajasthan,Vishvendra Singh,Bharatiya Janta Party,1189295,575896,48.4 %,111349,19.3%,AC View,RJ2004PC09
Bhatinda,11,GEN,Punjab,Paramjit Kaur Gulshan,Shiromani Akali Dal,1285978,763164,59.4 %,62642,8.2%,AC View,PB2004PC11
Bhavnagar,8,SC,Gujarat,Rana Rajendrasinh Ghanashyamsinh (RAJUBHAI RANA),Bharatiya Janta Party,1236416,444803,36.0 %,80426,18.1%,AC View,GJ2004PC08
Bhilwara,20,ST,Rajasthan,Vijayendrapal Singh,Bharatiya Janta Party,1233703,618965,50.2 %,60652,9.8%,AC View,RJ2004PC20
Bhind,2,SC,Madhya Pradesh [2000 Onwards],Dr. Ramlakhan Singh,Bharatiya Janta Party,1388299,606013,43.7 %,6946,1.1%,AC View,MP2004PC02
Bhiwani,8,GEN,Haryana,Kuldeep Bishnoi,Indian National Congress,1192271,870670,73.0 %,24404,2.8%,AC View,HR2004PC08
Bhopal,19,GEN,Madhya Pradesh [2000 Onwards],Kailash Joshi,Bharatiya Janta Party,1847544,857893,46.4 %,306005,35.7%,AC View,MP2004PC19
Bhubaneswar,9,GEN,Orissa,Prasanna Kumar Patasani,Biju Janata Dal,1491536,853667,57.2 %,112279,13.2%,AC View,OR2004PC09
Bidar,1,GEN,Karnataka,Ramchandra Veerappa,Bharatiya Janta Party,1372985,814933,59.4 %,23621,2.9%,AC View,KA2004PC01
