pc name,no,type,state,winning candidate,party,electors,votes,turnout,margin,margin %,acs,UID
Karol Bagh,7,GEN,Delhi [1977 Onwards],Krishna Tirath,Indian National Congress,505236,249184,49.3 %,37629,15.1%,AC View,DL2004PC07
Karur,26,GEN,Tamil Nadu,"Palanisamy, K. C.",Dravida Munetra Kazhagam,1069359,742800,69.5 %,190876,25.7%,AC View,TN2004PC26
Kasaragod,1,GEN,Kerala,P. Karunakaran,Communist Party Of India (MARXIST),1160134,898746,77.5 %,108256,12.0%,AC View,KL2004PC01
Katihar,25,GEN,Bihar [2000 Onwards],Nikhil Kumar Choudhary,Bharatiya Janta Party,1158042,704422,60.8 %,2565,0.4%,AC View,BR2004PC25
Katwa,40,GEN,West Bengal,Mahboob Zahedi,Communist Party Of India (MARXIST),1169525,963689,82.4 %,143349,14.9%,AC View,WB2004PC40
Kendrapara,5,ST,Orissa,Archana Nayak,Biju Janata Dal,1186834,836194,70.5 %,86843,10.4%,AC View,OR2004PC05
Keonjhar,21,ST,Orissa,Ananta Nayak,Bharatiya Janta Party,1183472,814619,68.8 %,49209,6.0%,AC View,OR2004PC21
Khagaria,28,GEN,Bihar [2000 Onwards],Rabindra Ku. Rana,Rashtriya Janata Dal,1196971,675969,56.5 %,67123,9.9%,AC View,BR2004PC28
Khajuraho,6,SC,Madhya Pradesh [2000 Onwards],"Dr. Ramkrishna Kushmariya "" Baba Jee """,Bharatiya Janta Party,1552876,771830,49.7 %,111781,14.5%,AC View,MP2004PC06
Khalilabad,32,SC,Uttar Pradesh [2000 Onwards],Bhalchandra Yadava,Bahujan Samaj Party,1397045,700982,50.2 %,27023,3.9%,AC View,UP2004PC32
Khammam,40,GEN,Andhra Pradesh,Renuka Chowdhury,Indian National Congress,1298614,1020523,78.6 %,108888,10.7%,AC View,AP2004PC40
Khandwa,23,GEN,Madhya Pradesh [2000 Onwards],Nand Kumar Singh Chauhan ( NANDU BHAIYA),Bharatiya Janta Party,1217726,605099,49.7 %,102737,17.0%,AC View,MP2004PC23
Khargone,24,ST,Madhya Pradesh [2000 Onwards],Krishna Murari Moghe,Bharatiya Janta Party,1287299,651747,50.6 %,58617,9.0%,AC View,MP2004PC24
Khed,41,SC,Maharashtra,Adhalarao Patil Shivajirao,Shiv Sena,1319319,731759,55.5 %,20810,2.8%,AC View,MH2004PC41
Kheri,11,GEN,Uttar Pradesh [2000 Onwards],Ravi Prakash Verma,Samajwadi Party,1437563,706706,49.2 %,11760,1.7%,AC View,UP2004PC11
Khunti,11,ST,Jharkhand,Sushila Kerketta,Indian National Congress,904846,490772,54.2 %,51226,10.4%,AC View,JH2004PC11
Khurja,73,GEN,Uttar Pradesh [2000 Onwards],Ashok Kumar Pradhan,Bharatiya Janta Party,1457828,601160,41.2 %,41150,6.8%,AC View,UP2004PC73
Kishanganj,23,SC,Bihar [2000 Onwards],Taslimuddin,Rashtriya Janata Dal,1278476,813315,63.6 %,160497,19.7%,AC View,BR2004PC23
Kodarma,5,GEN,Jharkhand,Babulal Marandi,Bharatiya Janta Party,1325734,825697,62.3 %,154944,18.8%,AC View,JH2004PC05
Kokrajhar,5,ST,Assam,Sansuma Khunggur Bwiswmuthiary,Independent,1216553,966915,79.5 %,484129,50.1%,AC View,AS2004PC05
Kolaba,3,GEN,Maharashtra,Barrister A. R. Antulay,Indian National Congress,1250272,791940,63.3 %,31870,4.0%,AC View,MH2004PC03
Kolar,10,GEN,Karnataka,K.H. Muniyappa,Indian National Congress,1262765,907296,71.9 %,11635,1.3%,AC View,KA2004PC10
Kolhapur,48,GEN,Maharashtra,Mandlik Sadashivrao Dadoba,Nationalist Congress Party,1162212,811534,69.8 %,14753,1.8%,AC View,MH2004PC48
Kopargaon,40,GEN,Maharashtra,E. V. Alias Balasaheb Vikhe Patil,Indian National Congress,1077519,666950,61.9 %,87331,13.1%,AC View,MH2004PC40
Koppal,4,SC,Karnataka,K. Virupaxappa,Indian National Congress,1413496,892586,63.2 %,43623,4.9%,AC View,KA2004PC04
Koraput,12,ST,Orissa,Giridhar Gamang,Indian National Congress,1139590,735544,64.5 %,43267,5.9%,AC View,OR2004PC12
Kota,14,GEN,Rajasthan,Raghuveer Singh Koshal,Bharatiya Janta Party,1327073,578740,43.6 %,71778,12.4%,AC View,RJ2004PC14
Kottayam,13,GEN,Kerala,K. Suresh Kurup,Communist Party Of India (MARXIST),963886,703486,73.0 %,42914,6.1%,AC View,KL2004PC13
Krishnagar,11,GEN,West Bengal,Jyotirmoyee Sikdar,Communist Party Of India (MARXIST),1117441,924304,82.7 %,20387,2.2%,AC View,WB2004PC11
Krishnagiri,14,GEN,Tamil Nadu,Sugavanam. E. G,Dravida Munetra Kazhagam,1252580,737744,58.9 %,119222,16.2%,AC View,TN2004PC14
Kurnool,26,GEN,Andhra Pradesh,Kotla Jayasurya Prakasha Reddy,Indian National Congress,1310724,818316,62.4 %,101098,12.4%,AC View,AP2004PC26
Kurukshetra,2,GEN,Haryana,Naveen Jindal,Indian National Congress,1161933,850680,73.2 %,160190,18.8%,AC View,HR2004PC02
Kutch,1,SC,Gujarat,Gadhavi Pushpadan Shambhudan,Bharatiya Janta Party,1006563,458980,45.6 %,28990,6.3%,AC View,GJ2004PC01
Ladakh,4,GEN,Jammu & Kashmir,Thupstan Chhewang,Independent,175768,127813,72.7 %,25713,20.1%,AC View,JK2004PC04
Lakhimpur,14,GEN,Assam,Dr. Arun Kumar Sarmah,Asom Gana Parisad,1126632,800101,71.0 %,28148,3.5%,AC View,AS2004PC14
Lakshadweep,1,ST,Lakshadweep,Dr. P. Pookunhikoya,Janata Dal (United),39033,31820,81.5 %,71,0.2%,AC View,LD2004PC01
Lalganj,42,GEN,Uttar Pradesh [2000 Onwards],Daroga Prasad Saroj,Samajwadi Party,1558349,763526,49.0 %,42731,5.6%,AC View,UP2004PC42
Latur,35,GEN,Maharashtra,Patil Rupatai Diliprao Nilangekar,Bharatiya Janta Party,1293202,820746,63.5 %,30891,3.8%,AC View,MH2004PC35
Lohardaga,12,ST,Jharkhand,Rameshwar Oraon,Indian National Congress,906666,467336,51.5 %,90255,19.3%,AC View,JH2004PC12
Lucknow,16,SC,Uttar Pradesh [2000 Onwards],Atal Bihari Vajpayee,Bharatiya Janta Party,1639922,578501,35.3 %,218375,37.7%,AC View,UP2004PC16
Ludhiana,9,SC,Punjab,Sharanjit Singh Dhillon,Shiromani Akali Dal,1560468,869922,55.8 %,29540,3.4%,AC View,PB2004PC09
Machhlishahr,43,GEN,Uttar Pradesh [2000 Onwards],Umakant Yadav,Bahujan Samaj Party,1474056,676977,45.9 %,55382,8.2%,AC View,UP2004PC43
Machilipatnam,12,GEN,Andhra Pradesh,Badiga Ramakrishna,Indian National Congress,993370,752413,75.7 %,50341,6.7%,AC View,AP2004PC12
Madhepura,21,SC,Bihar [2000 Onwards],Lalu Prasad,Rashtriya Janata Dal,1187490,695657,58.6 %,69987,10.1%,AC View,BR2004PC21
Madhubani,13,GEN,Bihar [2000 Onwards],Dr. Shakeel Ahmad,Indian National Congress,1257633,695136,55.3 %,87079,12.5%,AC View,BR2004PC13
Madras Central,2,GEN,Tamil Nadu,Dayanidhi Maran,Dravida Munetra Kazhagam,1045260,512784,49.1 %,134178,26.2%,AC View,TN2004PC02
Madras North,1,SC,Tamil Nadu,Kuppusami. C,Dravida Munetra Kazhagam,2000866,915786,45.8 %,253539,27.7%,AC View,TN2004PC01
Madras South,3,GEN,Tamil Nadu,"Baalu, T. R.",Dravida Munetra Kazhagam,1949904,934936,48.0 %,220740,23.6%,AC View,TN2004PC03
