[LINE 210] UID=MN1952PC394 | family_rows=1 | sources_rows=4
[LINE 211] UID=MP1952PC101 | family_rows=1 | sources_rows=1
[LINE 212] UID=RJ1952PC356 | family_rows=1 | sources_rows=3
[LINE 213] UID=RJ1952PC346 | family_rows=1 | sources_rows=4
[LINE 214] Existing error preserved | UID=OR1952PC184
[LINE 215] UID=OR1952PC184 | family_rows=1 | sources_rows=5
[LINE 216] UID=UP1952PC235 | family_rows=1 | sources_rows=1
[LINE 217] UID=UP1952PC235 | family_rows=1 | sources_rows=1
[LINE 218] UID=MH1952PC70 | family_rows=1 | sources_rows=4
[LINE 219] UID=UP1952PC253 | family_rows=1 | sources_rows=3
[LINE 220] UID=UP1952PC253 | family_rows=1 | sources_rows=1
[LINE 221] UID=MP1952PC325 | family_rows=1 | sources_rows=4
[LINE 222] UID=PB1952PC196 | family_rows=1 | sources_rows=3
[LINE 223] UID=UP1952PC239 | family_rows=1 | sources_rows=5
[LINE 224] UID=RJ1952PC351 | family_rows=4 | sources_rows=5
[LINE 225] UID=PB1952PC202 | family_rows=1 | sources_rows=3
[LINE 226] UID=MH1952PC61 | family_rows=1 | sources_rows=3
[LINE 227] UID=MH1952PC62 | family_rows=4 | sources_rows=4
[LINE 228] UID=TN1952PC120 | family_rows=1 | sources_rows=1
[LINE 229] UID=OR1952PC179 | family_rows=1 | sources_rows=3
[LINE 230] UID=OR1952PC179 | family_rows=4 | sources_rows=6
[LINE 231] UID=WB1952PC293 | family_rows=1 | sources_rows=4
[LINE 232] UID=MH1952PC88 | family_rows=2 | sources_rows=5
[LINE 233] UID=TN1952PC142 | family_rows=1 | sources_rows=3
[LINE 234] UID=PB1952PC204 | family_rows=1 | sources_rows=3
[LINE 235] UID=UP1952PC237 | family_rows=1 | sources_rows=3
[LINE 236] UID=UP1952PC238 | family_rows=1 | sources_rows=3
[LINE 237] UID=UP1952PC236 | family_rows=3 | sources_rows=4
[LINE 238] UID=PB1952PC345 | family_rows=1 | sources_rows=4
[LINE 239] UID=PB1952PC345 | family_rows=1 | sources_rows=3
[LINE 240] UID=TG1952PC320 | family_rows=1 | sources_rows=1
[LINE 241] UID=TG1952PC320 | family_rows=1 | sources_rows=4
[LINE 242] UID=PB1952PC194 | family_rows=1 | sources_rows=4
[LINE 243] UID=PB1952PC194 | family_rows=1 | sources_rows=3
[LINE 244] UID=OR1952PC187 | family_rows=1 | sources_rows=2
[LINE 245] UID=TG1952PC322 | family_rows=1 | sources_rows=3
[LINE 246] UID=OR1952PC190 | family_rows=1 | sources_rows=4
[LINE 247] UID=MH1952PC78 | family_rows=1 | sources_rows=3
[LINE 248] UID=KA1952PC333 | family_rows=1 | sources_rows=1
[LINE 249] UID=KA1952PC333 | family_rows=1 | sources_rows=4
[LINE 250] UID=MH1952PC76 | family_rows=1 | sources_rows=4
[LINE 251] UID=MH1952PC76 | family_rows=1 | sources_rows=3
[LINE 252] UID=RJ1952PC362 | family_rows=1 | sources_rows=3
[LINE 253] UID=RJ1952PC363 | family_rows=1 | sources_rows=5
[LINE 254] UID=KL1952PC377 | family_rows=1 | sources_rows=4
[LINE 255] UID=TN1952PC174 | family_rows=1 | sources_rows=3
[LINE 256] UID=TN1952PC145 | family_rows=4 | sources_rows=7
[LINE 257] UID=TN1952PC157 | family_rows=1 | sources_rows=5
[LINE 258] Existing error preserved | UID=TN1952PC132
[LINE 259] UID=TG1952PC306 | family_rows=1 | sources_rows=4
[LINE 260] Existing error preserved | UID=GJ1952PC392
[LINE 261] UID=GJ1952PC393 | family_rows=1 | sources_rows=5
[LINE 262] UID=UP1952PC247 | family_rows=4 | sources_rows=4
[LINE 263] UID=UP1952PC246 | family_rows=1 | sources_rows=3
[LINE 264] Existing error preserved | UID=UP1952PC246
[LINE 265] UID=GJ1952PC365 | family_rows=1 | sources_rows=2
[LINE 266] UID=TN1952PC139 | family_rows=1 | sources_rows=4
[LINE 267] UID=TN1952PC167 | family_rows=1 | sources_rows=3
[LINE 268] UID=TN1952PC167 | family_rows=1 | sources_rows=6
[LINE 269] UID=MP1952PC95 | family_rows=1 | sources_rows=2
[LINE 270] UID=TG1952PC305 | family_rows=1 | sources_rows=1
[LINE 271] UID=TG1952PC305 | family_rows=1 | sources_rows=2
[LINE 272] UID=UP1952PC234 | family_rows=1 | sources_rows=3
[LINE 273] UID=TN1952PC175 | family_rows=1 | sources_rows=5
[LINE 274] UID=WB1952PC279 | family_rows=1 | sources_rows=3
[LINE 275] UID=BR1952PC52 | family_rows=1 | sources_rows=3
[LINE 276] UID=BR1952PC52 | family_rows=1 | sources_rows=2
[LINE 277] UID=BR1952PC53 | family_rows=1 | sources_rows=1
[LINE 278] Existing error preserved | UID=BR1952PC53
[LINE 279] UID=HP1952PC390 | family_rows=1 | sources_rows=3
[LINE 280] UID=HP1952PC390 | family_rows=1 | sources_rows=4
[LINE 281] UID=MP1952PC100 | family_rows=1 | sources_rows=2
[LINE 282] Existing error preserved | UID=MP1952PC100
[LINE 283] UID=MP1952PC329 | family_rows=1 | sources_rows=3
[LINE 284] UID=KA1952PC337 | family_rows=1 | sources_rows=2
[LINE 285] UID=TN1952PC123 | family_rows=1 | sources_rows=3
[LINE 286] UID=UP1952PC228 | family_rows=1 | sources_rows=3
[LINE 287] UID=TN1952PC158 | family_rows=1 | sources_rows=3
[LINE 288] UID=TN1952PC158 | family_rows=1 | sources_rows=2
[LINE 289] UID=OR1952PC185 | family_rows=1 | sources_rows=2
[LINE 290] UID=TG1952PC319 | family_rows=1 | sources_rows=1
[LINE 291] UID=KL1952PC376 | family_rows=1 | sources_rows=3
[LINE 292] UID=UP1952PC223 | family_rows=2 | sources_rows=4
[LINE 293] UID=UP1952PC222 | family_rows=1 | sources_rows=3
[LINE 294] UID=UP1952PC221 | family_rows=1 | sources_rows=5
[LINE 295] UID=MH1952PC58 | family_rows=1 | sources_rows=3
[LINE 296] UID=MH1952PC59 | family_rows=3 | sources_rows=4
[LINE 297] UID=WB1952PC284 | family_rows=1 | sources_rows=1
[LINE 298] UID=WB1952PC284 | family_rows=1 | sources_rows=4
[LINE 299] UID=UP1952PC256 | family_rows=1 | sources_rows=3
[LINE 300] UID=UP1952PC256 | family_rows=1 | sources_rows=3
[LINE 301] UID=PB1952PC342 | family_rows=1 | sources_rows=1
[LINE 302] UID=BR1952PC39 | family_rows=1 | sources_rows=3
[LINE 303] UID=BR1952PC38 | family_rows=1 | sources_rows=3
[LINE 304] UID=BR1952PC37 | family_rows=1 | sources_rows=1
[LINE 305] UID=BR1952PC37 | family_rows=1 | sources_rows=3
[LINE 306] UID=UP1952PC216 | family_rows=1 | sources_rows=3
[LINE 307] UID=UP1952PC215 | family_rows=1 | sources_rows=3
[LINE 308] UID=MP1952PC332 | family_rows=1 | sources_rows=4
[LINE 309] UID=MP1952PC332 | family_rows=1 | sources_rows=4
[LINE 310] Existing error preserved | UID=WB1952PC281
[LINE 311] UID=BR1952PC30 | family_rows=1 | sources_rows=5
[LINE 312] Existing error preserved | UID=UP1952PC220
[LINE 313] UID=BR1952PC29 | family_rows=1 | sources_rows=4
[LINE 314] Existing error preserved | UID=BR1952PC31
[LINE 315] UID=BR1952PC31 | family_rows=1 | sources_rows=3
[LINE 316] UID=BR1952PC28 | family_rows=1 | sources_rows=3
[LINE 317] UID=BR1952PC27 | family_rows=1 | sources_rows=4
[LINE 318] UID=KA1952PC338 | family_rows=1 | sources_rows=3
[LINE 319] UID=KA1952PC338 | family_rows=1 | sources_rows=4
[LINE 320] UID=WB1952PC294 | family_rows=1 | sources_rows=4
[LINE 321] UID=RJ1952PC354 | family_rows=1 | sources_rows=1
[LINE 322] UID=KL1952PC370 | family_rows=1 | sources_rows=5
[LINE 323] UID=MP1952PC108 | family_rows=1 | sources_rows=3
[LINE 324] UID=UP1952PC212 | family_rows=1 | sources_rows=1
[LINE 325] UID=TG1952PC323 | family_rows=1 | sources_rows=3
[LINE 326] UID=TG1952PC323 | family_rows=1 | sources_rows=1
[LINE 327] UID=TG1952PC316 | family_rows=1 | sources_rows=5
[LINE 328] UID=TG1952PC316 | family_rows=1 | sources_rows=1
