ac no,ac name,type,district,winning candidate,party,total electors,total votes,poll %,margin,margin %,father/husband name,gender,age,UID
57,Kamakhyanagar,,Dhenkanal district,Satrughna Jena,	Bharatiya Janata Party,,84589,49.0,,,,,,OR2024AC57
58,Porjanga,,Dhenkanal district,Bibhuti Bhusan Pradhan,	Bharatiya Janata Party,,100595,56.94,,,Late. Padma Charan Pradhan,male,57.0,OR2024AC58
59,Pallahara,,Angul district,Ashok Mohanty,	Bharatiya Janata Party,,71560,48.64,,,GOLEKHA MOHANTY,male,57.0,OR2024AC59
60,Talcher,,Angul district,Braja Kishore Pradhan,Biju Janata Dal,,75621,58.82,,,PURNA CHANDRA PRADHAN,male,48.0,OR2024AC60
61,Anugul,,Angul district,Pratap Chandra Pradhan,	Bharatiya Janata Party,,88868,52.03,,,LATE BIJAYA KUMAR PRADHAN,male,54.0,OR2024AC61
62,Chhendipada,SC,Angul district,Agasti Behera,	Bharatiya Janata Party,,93629,52.58,,,DHANESWAR BEHERA,male,48.0,OR2024AC62
63,Athmallik,,Angul district,Nalini Kanta Pradhan,Biju Janata Dal,,93957,52.35,,,Late Sanatan Pradhan,male,66.0,OR2024AC63
64,Birmaharajpur,SC,Subarnapur district,Raghunath Jagadala,	Bharatiya Janata Party,,85680,48.19,,,KASTA JAGADALA,male,50.0,OR2024AC64
65,Subarnapur,,Subarnapur district,Niranjan Pujari,Biju Janata Dal,,98202,46.03,,,LATE RADHESHYAM PUJARI,male,63.0,OR2024AC65
66,Loisinga,SC,Balangir district,Mukesh Mahalinga,	Bharatiya Janata Party,,83313,44.32,,,,,,OR2024AC66
67,Patanagarh,,Balangir district,Kanak Vardhan Singh Deo,	Bharatiya Janata Party,,93823,41.64,,,Late Raj Raj Singh Deo,male,67.0,OR2024AC67
68,Bolangir,,Balangir district,Kalikesh Narayan Singh Deo,Biju Janata Dal,,85265,45.69,,,ANANGA UDAY SINGH DEO,male,49.0,OR2024AC68
69,Titilagarh,,Balangir district,Nabin Kumar Jain,	Bharatiya Janata Party,,97854,48.3,,,RADHESHYAM JAIN,male,57.0,OR2024AC69
70,Kantabanji,,Balangir district,Laxman Bag,	Bharatiya Janata Party,,90876,44.57,,,Late Shankar Bag,male,48.0,OR2024AC70
71,Nuapada,,Nuapada district,Rajendra Dholakia,Biju Janata Dal,,61822,33.65,,,Late Rasiklal Dholakia,male,68.0,OR2024AC71
72,Khariar,,Nuapada district,Adhiraj Mohan Panigrahi,Biju Janata Dal,,93246,46.89,,,LATE DINESH CHANDRA PANIGRAHI,male,46.0,OR2024AC72
73,Umerkote,ST,Nabarangpur district,Nityananda Gond,	Bharatiya Janata Party,,70170,43.35,,,LATE SAMARU GOND,male,46.0,OR2024AC73
74,Jharigam,ST,Nabarangpur district,Narsing Bhatra,	Bharatiya Janata Party,,76748,42.33,,,Paramananda Bhatra,male,46.0,OR2024AC74
75,Nabarangpur,ST,Nabarangpur district,Gouri Shankar Majhi,	Bharatiya Janata Party,,90895,45.35,,,LATE URDHAB MAJHI,male,46.0,OR2024AC75
76,Dabugam,ST,Nabarangpur district,Manohar Randhari,Biju Janata Dal,,77511,44.95,,,LATE DAMBARUDHAR RANDHARI,male,49.0,OR2024AC76
77,Lanjigarh,ST,Kalahandi district,Pradip Kumar Dishari,Biju Janata Dal,,60254,34.09,,,Late Padmanabh Dishari,male,49.0,OR2024AC77
78,Junagarh,,Kalahandi district,Dibya Shankar Mishra,Biju Janata Dal,,77037,38.64,,,LATE BIBHUTI BHUSAN MISHRA,male,55.0,OR2024AC78
79,Dharmagarh,,Kalahandi district,Sudhira Ranjan Pattajosi,	Bharatiya Janata Party,,87890,41.84,,,,,,OR2024AC79
80,Bhabanipatana,SC,Kalahandi district,Sagar Charan Das,Indian National Congress,,67085,37.39,,,Bhakta Charan Das,male,33.0,OR2024AC80
81,Narla,,Kalahandi district,Manorama Mohanty,Biju Janata Dal,,67532,36.47,,,DURGA PRASAD MOHANTY,female,44.0,OR2024AC81
82,Baliguda,ST,Kandhamal district,Chakramani Kanhar,Biju Janata Dal,,43586,35.88,,,DHANI KANHAR,male,44.0,OR2024AC82
83,Ghumusur Udayagiri,ST,Kandhamal district,Prafulla Chandra Pradhan,Indian National Congress,,53530,37.06,,,LATE BANIPHAS PRADHAN,male,68.0,OR2024AC83
84,Phulbani,ST,Kandhamal district,Uma Charan Mallick,	Bharatiya Janata Party,,53900,36.81,,,BAMAN MALLICK,male,61.0,OR2024AC84
85,Kantamal,,Boudh district,Kanhai Charan Danga,	Bharatiya Janata Party,,68356,48.28,,,KHEDU DANGA,male,70.0,OR2024AC85
86,Boudh,,Boudh district,Saroj Kumar Pradhan,	Bharatiya Janata Party,,62494,46.36,,,LATE DUKHISHYAM PRADHAN,male,51.0,OR2024AC86
87,Baramba,,Cuttack district,Bijaya Kumar Dalabehera,Ind,,86018,46.51,,,,,,OR2024AC87
88,Banki,,Cuttack district,Debi Ranjan Tripathy,Biju Janata Dal,,69214,41.31,,,,,,OR2024AC88
89,Athagarh,,Cuttack district,Ranendra Pratap Swain,Biju Janata Dal,,86006,49.46,,,LATE UPENDRA SWAIN,male,70.0,OR2024AC89
90,Cuttack City,,Cuttack district,Sofia Firdous,Indian National Congress,,53339,37.86,,,Sheikh Mairajul Haque,female,32.0,OR2024AC90
91,Choudwar-Cuttack,,Cuttack district,Souvic Biswal,Biju Janata Dal,,72325,51.71,,,Pravat Ranjan Biswal,male,31.0,OR2024AC91
92,Niali,SC,Cuttack district,Chhabi Malik,	Bharatiya Janata Party,,90191,47.71,,,,,,OR2024AC92
93,Cuttack Sadar,SC,Cuttack district,Prakash Chandra Sethi,	Bharatiya Janata Party,,79542,48.49,,,Purna Chandra Sethi,male,38.0,OR2024AC93
