AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Thandla,194,ST,Jhabua,Kalsingh Bhabar,Independent,210279,165148,78.5 %,5116,3.1%
Petlawad,195,ST,Jhabua,Nirmala Dilipsingh Bhuriya,Bharatiya Janta Party,221142,155615,70.4 %,17016,10.9%
Sardarpur,196,ST,Dhar,Welsingh Bhuriya,Bharatiya Janta Party,178406,127379,71.4 %,529,0.4%
Gandhwani,197,ST,Dhar,Umang Singhar,Indian National Congress,211379,128817,60.9 %,12326,9.6%
Kukshi,198,ST,Dhar,Surendrasingh Hani Baghel,Indian National Congress,205510,142051,69.1 %,42768,30.1%
Manawar,199,ST,Dhar,Ranjana Baghel,Bharatiya Janta Party,202584,146565,72.3 %,1639,1.1%
Dharampuri,200,ST,Dhar,Kalusingh Thakur,Bharatiya Janta Party,185135,128019,69.1 %,7573,5.9%
Dhar,201,GEN,Dhar,Neena Vikram Verma,Bharatiya Janta Party,239790,171354,71.5 %,11482,6.7%
Badnawar,202,GEN,Dhar,Bhanvarsingh Shekhawat,Bharatiya Janta Party,182318,144700,79.4 %,9812,6.8%
Depalpur,203,GEN,Indore,Manoj Nirbhaysingh Patel,Bharatiya Janta Party,203821,162485,79.7 %,30197,18.6%
Indore-1,204,GEN,Indore,Arya Sudarshan Gupta,Bharatiya Janta Party,294482,187901,63.8 %,54176,28.8%
Indore-2,205,GEN,Indore,Ramesh Mendola,Bharatiya Janta Party,286686,181771,63.4 %,91017,50.1%
Indore-3,206,GEN,Indore,Miss Usha Thakur (DIDI),Bharatiya Janta Party,188639,125796,66.7 %,13318,10.6%
Indore-4,207,GEN,Indore,Malini Laxman Singh Gaur,Bharatiya Janta Party,228948,152571,66.6 %,33823,22.2%
Indore-5,208,GEN,Indore,Mahendra Hardia,Bharatiya Janta Party,309886,204416,66.0 %,14418,7.1%
Dr.ambedkar Nagar -Mhow,209,GEN,Indore,Kailash Vijayvargiya,Bharatiya Janta Party,221726,171031,77.1 %,12216,7.1%
Rau,210,GEN,Indore,Jitu Patwari,Indian National Congress,233596,167151,71.6 %,18559,11.1%
Sanwer,211,SC,Indore,Rajesh Sonkar,Bharatiya Janta Party,212258,162809,76.7 %,17583,10.8%
Nagada - Khacharod,212,GEN,Ujjain,Dilip Singh Shekhawat,Bharatiya Janta Party,187552,147041,78.4 %,16115,11.0%
Mahidpur,213,GEN,Ujjain,Bhadursingh Chouhan,Bharatiya Janta Party,177020,135430,76.5 %,20634,15.2%
Tarana,214,SC,Ujjain,Anil Firojiya,Bharatiya Janta Party,160324,118045,73.6 %,16135,13.7%
Ghatiya,215,SC,Ujjain,Satish Malviya,Bharatiya Janta Party,182581,138035,75.6 %,17369,12.6%
Ujjain North,216,GEN,Ujjain,Paraschandra Jain,Bharatiya Janta Party,176983,123579,69.8 %,24849,20.1%
Ujjain South,217,GEN,Ujjain,Dr Mohan Yadav,Bharatiya Janta Party,210273,139266,66.2 %,9652,6.9%
Badnagar,218,GEN,Ujjain,Mukesh Pandya,Bharatiya Janta Party,169561,131674,77.7 %,13135,10.0%
Ratlam Rural,219,ST,Ratlam,Mathuralal,Bharatiya Janta Party,174571,135343,77.5 %,26969,19.9%
Ratlam City,220,GEN,Ratlam,Chetanya Kumar Kashyap,Bharatiya Janta Party,193359,130568,67.5 %,40305,30.9%
Sailana,221,ST,Ratlam,Sangeeta Vijay Charel,Bharatiya Janta Party,171073,138087,80.7 %,2079,1.5%
Jaora,222,GEN,Ratlam,Rajendra Pandey,Bharatiya Janta Party,196914,156445,79.4 %,29851,19.1%
Alote,223,SC,Ratlam,Jitendra Thavarchand Gehlot,Bharatiya Janta Party,187636,146138,77.9 %,7973,5.5%
Mandsour,224,GEN,Mandsaur,Yashpal Singh Sisodiya,Bharatiya Janta Party,224500,171025,76.2 %,24295,14.2%
Malhargarh,225,SC,Mandsaur,Jagdish Dewra,Bharatiya Janta Party,208610,176097,84.4 %,6571,3.7%
Suwasra,226,GEN,Mandsaur,Hardeep Singh Dung,Indian National Congress,230341,181374,78.7 %,7125,3.9%
Garoth,227,GEN,Mandsaur,Rajesh Yadav Dharmveer Singh,Bharatiya Janta Party,211993,159501,75.2 %,25755,16.1%
Manasa,228,GEN,Neemuch,Kailash Chawla,Bharatiya Janta Party,170954,133733,78.2 %,14028,10.5%
Neemuch,229,GEN,Neemuch,Dilip Singh Parihar,Bharatiya Janta Party,197859,146420,74.0 %,21667,14.8%
Jawad,230,GEN,Neemuch,Om Prakash Sakhlecha,Bharatiya Janta Party,157590,122372,77.7 %,13651,11.2%
