AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Jhabua,216,ST,Pave Singh Pargi,Bharatiya Janta Party,183444,89341,48.7 %,18375,20.6%
Petlawad,217,ST,Nirmala Bhuria,Bharatiya Janta Party,173342,109903,63.4 %,18668,17.0%
Thandla,218,ST,Kal Singh,Bharatiya Janta Party,152014,95789,63.0 %,9548,10.0%
Ratlam Town,219,GEN,Himmat Kothari,Bharatiya Janta Party,153396,105007,68.5 %,1951,1.9%
Ratlam Rural,220,GEN,Dhul Ji Choudhari,Bharatiya Janta Party,143590,109493,76.3 %,9410,8.6%
Sailana,221,ST,Prabhu Dayal Gehlot,Indian National Congress,159652,115575,72.4 %,10900,9.4%
Jaora,222,GEN,Dr. Rajendra Pandey,Bharatiya Janta Party,145464,115053,79.1 %,6707,5.8%
Alot,223,SC,Premchand Guddu,Indian National Congress,138084,108577,78.6 %,2971,2.7%
Manasa,224,GEN,Kailash Chawala,Bharatiya Janta Party,150888,113911,75.5 %,25357,22.3%
Garoth,225,GEN,Rajesh Yadav,Bharatiya Janta Party,170782,125705,73.6 %,15131,12.0%
Suwasara,226,SC,Jagdish Deora,Bharatiya Janta Party,165293,120378,72.8 %,35636,29.6%
Sitamau,227,GEN,Nanalal Patidar,Bharatiya Janta Party,163064,125249,76.8 %,28680,22.9%
Mandsaur,228,GEN,Om Prakash Purohit ( Advocate ),Bharatiya Janta Party,186692,137295,73.5 %,22912,16.7%
Neemuch,229,GEN,Dilip Singh Parihar,Bharatiya Janta Party,192131,145774,75.9 %,24194,16.6%
Jawad,230,GEN,Omprakash Virendra Kumar Sakhalecha,Bharatiya Janta Party,183166,143986,78.6 %,26625,18.5%
