#,AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
250,Jammalamadugu,250,GEN,Ysr,Adi Narayana Reddy Chidipiralla,Indian National Congress,206569,174365,84.4 %,7384,4.2%
251,Proddatur,251,GEN,Ysr,Lingaa Reddy Mallela,Telugu Desam,204221,157239,77.0 %,16156,10.3%
252,Mydukur,252,GEN,Ysr,Duggireddy Lakshmi Reddy Ravindrareddy,Indian National Congress,177694,142143,80.0 %,4361,3.1%
253,Allagadda,253,GEN,Kurnool,Bhuma Shobha Nagi Reddy,Praja Rajyam Party,200691,153925,76.7 %,1958,1.3%
254,Srisailam,254,GEN,Kurnool,Erasu Pratap Reddy,Indian National Congress,148226,115785,78.1 %,4307,3.7%
255,Nandikotkur,255,SC,Kurnool,Labbi Venkata Swamy,Indian National Congress,183750,141295,76.9 %,5773,4.1%
256,Kurnool,256,GEN,Kurnool,T.G.Venkatesh,Indian National Congress,211511,111970,52.9 %,44067,39.4%
257,Panyam,257,GEN,Kurnool,Katasani Rambhupal Reddy,Indian National Congress,227867,155727,68.3 %,8914,5.7%
258,Nandyal,258,GEN,Kurnool,Silpa Mohan Reddy,Indian National Congress,208389,145702,69.9 %,31889,21.9%
259,Banaganapalle,259,GEN,Kurnool,Katasani Rami Reddy,Praja Rajyam Party,191902,144542,75.3 %,13686,9.5%
260,Dhone,260,GEN,Kurnool,Kambalapadu Ediga Krihsna Murthy,Telugu Desam,197886,139578,70.5 %,4651,3.3%
261,Pattikonda,261,GEN,Kurnool,Kambalapadu Ediga Prabhakar,Telugu Desam,176695,137214,77.7 %,9972,7.3%
262,Kodumur,262,SC,Kurnool,Parigela Muralikrishna,Indian National Congress,171633,125328,73.0 %,5325,4.2%
263,Yemmiganur,263,GEN,Kurnool,K. Chennakesava Reddy,Indian National Congress,189278,128816,68.1 %,2323,1.8%
264,Mantralayam,264,GEN,Kurnool,Y. Balanagi Reddy,Telugu Desam,160039,111968,70.0 %,10697,9.6%
265,Adoni,265,GEN,Kurnool,K. Meenakshi Naidu,Telugu Desam,201571,116720,57.9 %,256,0.2%
266,Alur,266,GEN,Kurnool,Patil Neeraj Reddy,Indian National Congress,196585,139869,71.1 %,5645,4.0%
267,Rayadurg,267,GEN,Anantapur,Kapu Ramachandra Reddy,Indian National Congress,198167,155855,78.6 %,14091,9.0%
