#,AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
47,Chenga,47,GEN,Barpeta,Sukur Ali Ahmed,Indian National Congress,122519,109138,89.1 %,23357,21.4%
48,Boko Sc,48,SC,Kamrup,Nandita Das,Indian National Congress,197963,174634,88.2 %,17594,10.1%
49,Chaygaon,49,GEN,Kamrup,Rekibuddin Ahmed,Indian National Congress,160183,143810,89.8 %,7821,5.4%
50,Palasbari,50,GEN,Kamrup,Sri Pranab Kalita,Bharatiya Janta Party,138002,119871,86.9 %,48742,40.7%
51,Jalukbari,51,GEN,Kamrup Metropolitan,Himanta Biswa Sarma,Bharatiya Janta Party,181215,153432,84.7 %,85935,56.0%
52,Dispur,52,GEN,Kamrup Metropolitan,Atul Bora,Bharatiya Janta Party,355580,276269,77.7 %,130197,47.1%
53,Gauhati East,53,GEN,Kamrup Metropolitan,Siddhartha Bhattacharya,Bharatiya Janta Party,215102,161291,75.0 %,96637,59.9%
54,Gauhati West,54,GEN,Kamrup Metropolitan,Ramendra Narayan Kalita,Asom Gana Parisad,253557,204040,80.5 %,89910,44.1%
55,Hajo,55,GEN,Kamrup,Suman Haripriya,Bharatiya Janta Party,154394,134005,86.8 %,8908,6.6%
56,Kamalpur,56,GEN,Kamrup,Satyabrat Kalita,Asom Gana Parisad,157921,134531,85.2 %,36909,27.4%
57,Rangia,57,GEN,Kamrup,Bhabesh Kalita,Bharatiya Janta Party,169500,142395,84.0 %,32067,22.5%
58,Tamulpur,58,GEN,Nalbari,Emmanuel Mosahary,Bodaland Peoples Front,177500,144365,81.3 %,19947,13.8%
59,Nalbari,59,GEN,Nalbari,Ashok Sarma,Bharatiya Janta Party,180991,155959,86.2 %,53044,34.0%
60,Barkhetry,60,GEN,Nalbari,Narayan Deka,Bharatiya Janta Party,165065,146021,88.5 %,8613,5.9%
61,Dharmapur,61,GEN,Nalbari,Chandra Mohan Patowary,Bharatiya Janta Party,129940,109956,84.6 %,33943,30.9%
62,Barama,62,ST,Nalbari,Maneswar Brahma,Bodaland Peoples Front,145311,117509,80.9 %,9796,8.3%
63,Chapaguri,63,ST,Nalbari,Thaneswar Basumatary,Bodaland Peoples Front,137267,112361,81.9 %,1481,1.3%
64,Panery,64,GEN,Udalguri,Kamali Basumatari,Bodaland Peoples Front,132231,105186,79.5 %,15802,15.0%
65,Kalaigaon,65,GEN,Darrang,Maheswar Baro,Bodaland Peoples Front,154170,131617,85.4 %,17621,13.4%
66,Sipajhar,66,GEN,Darrang,Binanda Kumar Saikia,Bharatiya Janta Party,158293,135802,85.8 %,12175,9.0%
67,Mangaldoi,67,SC,Darrang,Gurujyoti Das,Bharatiya Janta Party,200056,176352,88.2 %,22045,12.5%
68,Dalgaon,68,GEN,Darrang,Ilias Ali,Indian National Congress,196994,179157,90.9 %,2320,1.3%
69,Udalguri,69,ST,Udalguri,Rihon Daimari,Bodaland Peoples Front,133923,107539,80.3 %,24374,22.7%
70,Majbat,70,GEN,Udalguri,Charan Boro,Bodaland Peoples Front,132619,110058,83.0 %,26218,23.8%
71,Dhekiajuli,71,GEN,Sonitpur,Ashok Singhal,Bharatiya Janta Party,175210,141712,80.9 %,34995,24.7%
72,Barchalla,72,GEN,Sonitpur,Ganesh Kumar Limbu,Bharatiya Janta Party,143583,118026,82.2 %,23682,20.1%
73,Tezpur,73,GEN,Sonitpur,Brindaban Goswami,Asom Gana Parisad,164365,133896,81.5 %,34663,25.9%
74,Rangapara,74,GEN,Sonitpur,Pallab Lochan Das,Bharatiya Janta Party,136654,115164,84.3 %,22991,20.0%
75,Sootea,75,GEN,Sonitpur,Padma Hazarika,Bharatiya Janta Party,158765,129761,81.7 %,1818,1.4%
76,Biswanath,76,GEN,Sonitpur,Promod Borthakur,Bharatiya Janta Party,141134,120386,85.3 %,10120,8.4%
77,Behali,77,GEN,Sonitpur,Ranjit Dutta,Bharatiya Janta Party,107643,90301,83.9 %,23601,26.1%
78,Gohpur,78,GEN,Sonitpur,Utpal Borah,Bharatiya Janta Party,171196,144997,84.7 %,28935,20.0%
79,Jagiroad,79,SC,Marigaon,Shri Pijush Hazarika,Bharatiya Janta Party,201287,170823,84.9 %,28326,16.6%
80,Marigaon,80,GEN,Marigaon,Rama Kanta Dewri,Bharatiya Janta Party,165874,140422,84.7 %,29623,21.1%
81,Laharighat,81,GEN,Marigaon,Dr. Nazrul Islam,Indian National Congress,160596,138940,86.5 %,5806,4.2%
82,Raha,82,SC,Nagaon,Dimbeswar Das,Bharatiya Janta Party,188650,159575,84.6 %,33074,20.7%
83,Dhing,83,GEN,Nagaon,Aminul Islam,All India United Democratic Front,188167,171901,91.4 %,24553,14.3%
84,Batadroba,84,GEN,Nagaon,Angoorlata Deka,Bharatiya Janta Party,139793,122434,87.6 %,5885,4.8%
85,Rupohihat,85,GEN,Nagaon,Nurul Huda,Indian National Congress,167578,152092,90.8 %,21844,14.4%
86,Nowgong,86,GEN,Nagaon,Rupak Sarmah,Bharatiya Janta Party,166508,139873,84.0 %,13264,9.5%
87,Barhampur,87,GEN,Nagaon,Sri Prafulla Kumar Mahanta,Asom Gana Parisad,161592,134611,83.3 %,5169,3.8%
88,Samaguri,88,GEN,Nagaon,Rakibul Hussain,Indian National Congress,142126,126783,89.2 %,14515,11.4%
89,Kaliabor,89,GEN,Nagaon,Keshab Mahanta,Asom Gana Parisad,121292,102781,84.7 %,37990,37.0%
90,Jamunamukh,90,GEN,Nagaon,Abdur Rahim Ajmal,All India United Democratic Front,182822,152959,83.7 %,13205,8.6%
91,Hojai,91,GEN,Nagaon,Shiladitya Dev,Bharatiya Janta Party,225461,192805,85.5 %,55859,29.0%
92,Lumding,92,GEN,Nagaon,Sibu Misra,Bharatiya Janta Party,182205,155292,85.2 %,30400,19.6%
93,Bokakhat,93,GEN,Golaghat,Atul Bora,Asom Gana Parisad,123027,103273,83.9 %,40193,38.9%
94,Sarupathar,94,GEN,Golaghat,Roselina Tirkey,Indian National Congress,226080,183051,81.0 %,2927,1.6%
95,Golaghat,95,GEN,Golaghat,Ajanta Neog,Indian National Congress,175129,145508,83.1 %,5213,3.6%
96,Khumtai,96,GEN,Golaghat,Mrinal Saikia,Bharatiya Janta Party,120283,102981,85.6 %,16874,16.4%
97,Dergaon,97,SC,Jorhat,Bhabendra Nath Bharali,Asom Gana Parisad,146486,118561,80.9 %,16272,13.7%
98,Jorhat,98,GEN,Jorhat,Hitendra Nath Goswami,Bharatiya Janta Party,163602,129625,79.2 %,13638,10.5%
99,Majuli,99,ST,Jorhat,Sarbananda Sonowal,Bharatiya Janta Party,114516,96774,84.5 %,18923,19.6%
100,Titabar,100,GEN,Jorhat,Tarun Gogoi,Indian National Congress,136033,111778,82.2 %,17495,15.7%
101,Mariani,101,GEN,Jorhat,Rupjyoti Kurmi,Indian National Congress,106473,88935,83.5 %,1793,2.0%
102,Teok,102,GEN,Jorhat,Renupoma Rajkhowa,Asom Gana Parisad,118374,93876,79.3 %,5049,5.4%
103,Amguri,103,GEN,Sibsagar,Prodip Hazarika,Asom Gana Parisad,111717,94615,84.7 %,1620,1.7%
104,Nazira,104,GEN,Sibsagar,Debabrata Saikia,Indian National Congress,118794,96891,81.6 %,14855,15.3%
105,Mahmara,105,GEN,Sibsagar,Jogen Mohan,Bharatiya Janta Party,120107,101433,84.5 %,14325,14.1%
106,Sonari,106,GEN,Sibsagar,Topon Kumar Gogoi,Bharatiya Janta Party,151669,128202,84.5 %,24117,18.8%
107,Thowra,107,GEN,Sibsagar,Kushal Dowari,Bharatiya Janta Party,99755,83960,84.2 %,1226,1.5%
108,Sibsagar,108,GEN,Sibsagar,Pranab Kumar Gogoi,Indian National Congress,138225,112438,81.3 %,542,0.5%
109,Bihpuria,109,GEN,Lakhimpur,Debananda Hazarika,Bharatiya Janta Party,131267,108860,82.9 %,26187,24.1%
110,Naoboicha,110,GEN,Lakhimpur,Mamun Imdadul Haque Chawdhury,All India United Democratic Front,184078,161060,87.5 %,1233,0.8%
111,Lakhimpur,111,GEN,Lakhimpur,Utpal Dutta,Asom Gana Parisad,159992,134630,84.1 %,4155,3.1%
112,Dhakuakhana,112,ST,Lakhimpur,Naba Kumar Doley,Bharatiya Janta Party,174228,145961,83.8 %,24542,16.8%
113,Dhemaji,113,ST,Dhemaji,Pradan Baruah,Bharatiya Janta Party,210865,168743,80.0 %,19121,11.3%
114,Jonai,114,ST,Dhemaji,Bhubon Pegu,Independent,251792,204366,81.2 %,49293,24.1%
115,Moran,115,GEN,Dibrugarh,Chakradhar Gogoi,Bharatiya Janta Party,120415,99138,82.3 %,16231,16.4%
116,Dibrugarh,116,GEN,Dibrugarh,Prasanta Phukan,Bharatiya Janta Party,129053,103745,80.4 %,27374,26.4%
117,Lahowal,117,GEN,Dibrugarh,Rituparna Baruah,Bharatiya Janta Party,127443,106538,83.6 %,19599,18.4%
118,Duliajan,118,GEN,Dibrugarh,Terash Gowalla,Bharatiya Janta Party,138356,111552,80.6 %,17086,15.3%
119,Tingkhong,119,GEN,Dibrugarh,Bimal Borah,Bharatiya Janta Party,122295,102425,83.8 %,18338,17.9%
120,Naharkatia,120,GEN,Dibrugarh,Naren Sonowal (BOTALI),Asom Gana Parisad,117682,96785,82.2 %,3531,3.6%
121,Chabua,121,GEN,Dibrugarh,Binod Hazarika,Bharatiya Janta Party,135705,113031,83.3 %,30754,27.2%
122,Tinsukia,122,GEN,Tinsukia,Sanjoy Kishan,Bharatiya Janta Party,144163,113857,79.0 %,35069,30.8%
123,Digboi,123,GEN,Tinsukia,Suren Phukan,Bharatiya Janta Party,115517,93279,80.7 %,14293,15.3%
124,Margherita,124,GEN,Tinsukia,Bhaskar Sharma,Bharatiya Janta Party,162775,134603,82.7 %,22744,16.9%
125,Doom Dooma,125,GEN,Tinsukia,Durga Bhumij,Indian National Congress,123696,100075,80.9 %,782,0.8%
126,Sadiya,126,GEN,Tinsukia,Bolin Chetia,Bharatiya Janta Party,156238,118804,76.0 %,6566,5.5%
