AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Khekra,384,GEN,Madan Bhaiya,Independent,431036,181402,42.1 %,12556,6.9%
Baghpat,385,GEN,Kawkab Hameed Khan,Rashtriya Lok Dal,245603,118634,48.3 %,14778,12.5%
Barnawa,386,GEN,Samar Pal Singh,Rashtriya Lok Dal,220908,120865,54.7 %,26596,22.0%
Chaprauli,387,GEN,Ajay Kumar,Rashtriya Lok Dal,224889,129218,57.5 %,63686,49.3%
Kandhla,388,GEN,Virendra Singh,Rashtriya Lok Dal,221378,128113,57.9 %,33880,26.4%
Khatauli,389,GEN,Rajpal Singh Baliyan,Rashtriya Lok Dal,226624,136309,60.1 %,28171,20.7%
Jansath,390,SC,Yashwant,Rashtriya Lok Dal,204470,110141,53.9 %,9318,8.5%
Morna,391,GEN,Rajpal Singh Saini,Bahujan Samaj Party,184951,115272,62.3 %,6773,5.9%
Muzaffarnagar,392,GEN,Chitranjan Swarup,Samajwadi Party,326074,153272,47.0 %,9123,6.0%
Charthawal,393,SC,Uma,Bahujan Samaj Party,220498,119463,54.2 %,1245,1.0%
Baghra,394,GEN,Anuradha Chaudhari,Rashtriya Lok Dal,199024,118574,59.6 %,17829,15.0%
Kairana,395,GEN,Hukum Singh,Bharatiya Janta Party,233019,141390,60.7 %,10483,7.4%
Thana Bhawan,396,GEN,Kiran Pal,Samajwadi Party,221299,133195,60.2 %,9702,7.3%
Nakur,397,GEN,Dr. Sushil Chaudhary,Indian National Congress,247675,160575,64.8 %,4184,2.6%
Sarsawa,398,GEN,Dharam Singh,Bahujan Samaj Party,236670,161264,68.1 %,9554,5.9%
Nagal,399,SC,Ilam Singh,Bahujan Samaj Party,218496,128855,59.0 %,16484,12.8%
Deoband,400,GEN,Rajendra Singh Rana,Bahujan Samaj Party,239217,133690,55.9 %,8059,6.0%
Harora,401,SC,Mayawati,Bahujan Samaj Party,244147,148238,60.7 %,28901,19.5%
Saharanpur,402,GEN,Sanjay Garg,Jharkhand Party,346653,132766,38.3 %,28004,21.1%
Muzaffarabad,403,GEN,Jagdish Singh Rana,Samajwadi Party,201400,132839,66.0 %,8533,6.4%
