AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Oddanchatram,130,GEN,P. Kaliappan,Dravida Munetra Kazhagam,147504,109360,74.1 %,5841,5.3%
Periyakulam,131,GEN,L.Mookaiah,Dravida Munetra Kazhagam,151319,105072,69.4 %,5593,5.3%
Theni,132,GEN,"Ponnu Pillai, G.",Dravida Munetra Kazhagam,156724,118591,75.7 %,780,0.7%
Bodinayakkanur,133,GEN,J Jayalalitha,All India Anna Dravida Munnetra Kazhagam(JAYALALITA GROUP),150663,107373,71.3 %,28731,26.8%
Cumbum,134,GEN,Eramakrishnan,Dravida Munetra Kazhagam,153077,114982,75.1 %,15385,13.4%
Andipatti,135,GEN,"Asayan, P.",Dravida Munetra Kazhagam,152247,107953,70.9 %,4221,3.9%
Sedapatti,136,GEN,"Athiyaman, A.",Dravida Munetra Kazhagam,134643,94957,70.5 %,6536,6.9%
Thirumangalam,137,GEN,"Saminathan, R.",Dravida Munetra Kazhagam,143792,97862,68.1 %,4055,4.1%
Usilampatti,138,GEN,"Vallarasu, P.N.",Dravida Munetra Kazhagam,138949,88057,63.4 %,13591,15.4%
Nilakottai,139,SC,"Ponnammal, A.S.",Indian National Congress,143421,100641,70.2 %,692,0.7%
Sholavandan,140,GEN,"Radhakrishnan, D.",Dravida Munetra Kazhagam,132766,100398,75.6 %,5259,5.2%
Tirupparankundram,141,GEN,C. Ramachandran,Dravida Munetra Kazhagam,217285,150572,69.3 %,29976,19.9%
Madurai West,142,GEN,Ponmuthuramalingam,Dravida Munetra Kazhagam,156215,104313,66.8 %,19492,18.7%
Madurai Central,143,GEN,"Paulraj, S.",Dravida Munetra Kazhagam,126260,85351,67.6 %,11146,13.1%
Madurai East,144,GEN,"Eradha, S.R.",All India Anna Dravida Munnetra Kazhagam,126225,83973,66.5 %,13323,15.9%
Samayanallur,145,SC,N. Soundarapandian,Dravida Munetra Kazhagam,212675,143340,67.4 %,15950,11.1%
Melur,146,GEN,"Ranamanickam, K.V.V.",Indian National Congress,159210,115420,72.5 %,8650,7.5%
Natham,147,GEN,"Andi Ambalam, M.",Indian National Congress,136669,102008,74.6 %,5452,5.3%
Dindigul,148,GEN,S.A. Thangarajan,Communist Party Of India (MARXIST),184923,125979,68.1 %,17802,14.1%
Athoor,149,GEN,"Periasamy., I.",Dravida Munetra Kazhagam,168597,119041,70.6 %,3736,3.1%
Vedasandur,150,GEN,P. Muthusamy,All India Anna Dravida Munnetra Kazhagam(JANAKI RAMACHANDRAN),180162,130533,72.5 %,890,0.7%
Aravakurichi,151,GEN,Ramasamy Monjanor,Dravida Munetra Kazhagam,157264,115976,73.7 %,18154,15.7%
Karur,152,GEN,"Ramasamy, K.V.",Dravida Munetra Kazhagam,187737,143388,76.4 %,4502,3.1%
Krishnarayapuram,153,SC,"Arivalagan, A.",All India Anna Dravida Munnetra Kazhagam(JAYALALITA GROUP),149407,109645,73.4 %,10684,9.7%
Marungapuri,154,GEN,Ponnusamy K.,All India Anna Dravida Munnetra Kazhagam,143268,112657,78.6 %,11023,9.8%
Kulithalai,155,GEN,A. Papa Sundaram,All India Anna Dravida Munnetra Kazhagam(JAYALALITA GROUP),147731,116619,78.9 %,11810,10.1%
Thottiam,156,GEN,Kannaiyan K.,Dravida Munetra Kazhagam,144492,109918,76.1 %,1137,1.0%
Uppiliapuram,157,ST,R. Mookkan,All India Anna Dravida Munnetra Kazhagam(JAYALALITA GROUP),149200,111209,74.5 %,4560,4.1%
Musiri,158,GEN,"Thangavel, M.",All India Anna Dravida Munnetra Kazhagam(JAYALALITA GROUP),163070,129112,79.2 %,1449,1.1%
Lalgudi,159,GEN,Nehru K. N.,Dravida Munetra Kazhagam,149269,120325,80.6 %,23188,19.3%
Perambalur,160,SC,R. Pitchaimuthu,Communist Party Of India,151357,103729,68.5 %,431,0.4%
Varahur,161,SC,"Annadurai, K.",Dravida Munetra Kazhagam,137998,86161,62.4 %,7324,8.5%
Ariyalur,162,GEN,Arumugam T.,Dravida Munetra Kazhagam,136145,110886,81.4 %,18111,16.3%
Andimadam,163,GEN,Sivasubramanian S.,Dravida Munetra Kazhagam,118892,60655,51.0 %,13831,22.8%
Jayankondam,164,GEN,Ganesan K. C.,Dravida Munetra Kazhagam,136399,75041,55.0 %,4867,6.5%
Srirangam,165,GEN,Venkateswara Dikshidar Y.,Janta Party,167690,124294,74.1 %,8008,6.4%
Tiruchirapalli-I,166,GEN,Malaramannan A.,Dravida Munetra Kazhagam,113240,80847,71.4 %,5744,7.1%
Tiruchirapalli-Ii,167,GEN,Anbil Poyyamozhi,Dravida Munetra Kazhagam,154172,102824,66.7 %,9793,9.5%
Thiruverambur,168,GEN,Pappa Umanath,Communist Party Of India (MARXIST),184333,127769,69.3 %,22209,17.4%
Sirkali,169,SC,Panneerselvam M.,Dravida Munetra Kazhagam,134525,91336,67.9 %,22775,24.9%
Poompuhar,170,GEN,M. Mohamed Siddik,Dravida Munetra Kazhagam,130542,87605,67.1 %,23818,27.2%
Mayuram,171,GEN,Senguttuvan A.,Dravida Munetra Kazhagam,131627,87241,66.3 %,12759,14.6%
Kuttalam,172,GEN,R. Rajamanickam,Dravida Munetra Kazhagam,135941,101974,75.0 %,24950,24.5%
Nannilam,173,SC,Manimaran M.,Dravida Munetra Kazhagam,138255,109700,79.3 %,19855,18.1%
Tiruvarur,174,SC,Thambusamy V.,Communist Party Of India (MARXIST),144125,111805,77.6 %,26020,23.3%
Nagapattinam,175,GEN,G. Veeraiyan,Communist Party Of India (MARXIST),132478,101632,76.7 %,13797,13.6%
Vedaranyam,176,GEN,P. V. Rajendiran,Indian National Congress,127781,101801,79.7 %,5224,5.1%
Tiruthuraipundi,177,SC,Palanisamy G.,Communist Party Of India,147593,117236,79.4 %,8278,7.1%
Mannargudi,178,GEN,K. Ramachandran,Dravida Munetra Kazhagam,144950,114935,79.3 %,2725,2.4%
Pattukkottai,179,GEN,Annadurai K.,Dravida Munetra Kazhagam,145353,112701,77.5 %,14681,13.0%
Peravurani,180,GEN,Singaram R.,Indian National Congress,136856,114985,84.0 %,751,0.7%
Orathanad,181,GEN,"Ganesan, L.",Dravida Munetra Kazhagam,140873,116604,82.8 %,21978,18.8%
Thiruvonam,182,GEN,M. Ramachandran,Dravida Munetra Kazhagam,142748,116166,81.4 %,12749,11.0%
Thanjavur,183,GEN,Ubayadullah S.N.M,Dravida Munetra Kazhagam,159359,113784,71.4 %,34853,30.6%
Tiruvaiyaru,184,GEN,Chandraseharan Durai,Dravida Munetra Kazhagam,127844,98427,77.0 %,10643,10.8%
Papanasam,185,GEN,G. Karuppiah Moopanar,Indian National Congress,128105,94914,74.1 %,1092,1.2%
Valangiman,186,SC,Yasotha Chellappa,Dravida Munetra Kazhagam,119805,96050,80.2 %,9898,10.3%
Kumbakonam,187,GEN,Mani K.S.,Dravida Munetra Kazhagam,141644,106580,75.2 %,7692,7.2%
Thiruvidamarudur,188,GEN,"Ramalingam, S.",Dravida Munetra Kazhagam,139862,103039,73.7 %,20057,19.5%
Thirumayam,189,GEN,V. Sobiah,Dravida Munetra Kazhagam,151912,108906,71.7 %,5744,5.3%
Kolathur,190,SC,Raju V.,All India Anna Dravida Munnetra Kazhagam(JAYALALITA GROUP),155855,121751,78.1 %,12205,10.0%
