AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Kota South,190,GEN,Kota,Om Birla,Bharatiya Janta Party,220999,161055,72.9 %,49439,30.7%
Ladpura,191,GEN,Kota,Bhawani Singh Rajawat,Bharatiya Janta Party,207895,162021,77.9 %,16206,10.0%
Ramganj Mandi,192,SC,Kota,Chandrakanta Meghwal,Bharatiya Janta Party,182784,133857,73.2 %,36919,27.6%
Anta,193,GEN,Baran,Prabhu Lal Saini,Bharatiya Janta Party,178856,141266,79.0 %,3399,2.4%
Kishanganj,194,ST,Baran,Lalit Kumar,Bharatiya Janta Party,178199,136445,76.6 %,12982,9.5%
Baran-Atru,195,SC,Baran,Rampal,Bharatiya Janta Party,194240,143355,73.8 %,20600,14.4%
Chhabra,196,GEN,Baran,Pratap Singh,Bharatiya Janta Party,191317,152532,79.7 %,61385,40.2%
Dag,197,SC,Jhalawar,Ramchandra,Bharatiya Janta Party,210394,166417,79.1 %,50397,30.3%
Jhalrapatan,198,GEN,Jhalawar,Vasundhra Raje,Bharatiya Janta Party,228894,177428,77.5 %,60896,34.3%
Khanpur,199,GEN,Jhalawar,Narendra Nagar,Bharatiya Janta Party,199444,158761,79.6 %,30956,19.5%
Manohar Thana,200,GEN,Jhalawar,Kanwar Lal,Bharatiya Janta Party,205739,168376,81.8 %,34666,20.6%
