AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Secunderabad,70,GEN,Hyderabad,Padma Rao. T,Bharat Rashtra Samithi,525092,139630,26.6 %,45240,32.4%
Secunderabad Cantt.,71,SC,Hyderabad,Lasya Nanditha Sayanna,Bharat Rashtra Samithi,501625,123297,24.6 %,17169,13.9%
Kodangal,72,GEN,Mahbubnagar,Anumula Revanth Reddy,Indian National Congress,473555,193161,40.8 %,32532,16.8%
Narayanpet,73,GEN,Mahbubnagar,Chittem Parnika Reddy,Indian National Congress,464127,181382,39.1 %,7951,4.4%
Mahbubnagar,74,GEN,Mahbubnagar,Yennam Srinivas Reddy,Indian National Congress,505366,180415,35.7 %,18738,10.4%
Jadcherla,75,GEN,Mahbubnagar,Anirudh Reddy Janampalli,Indian National Congress,441007,178985,40.6 %,15171,8.5%
Devarkadra,76,GEN,Mahbubnagar,Gavinolla Madhusudan Reddy (GMR),Indian National Congress,470711,193717,41.2 %,1392,0.7%
Makthal,77,GEN,Mahbubnagar,Vakiti Srihari,Indian National Congress,484630,185938,38.4 %,17525,9.4%
Wanaparthy,78,GEN,Mahbubnagar,Megha Reddy Tudi,Indian National Congress,542741,211226,38.9 %,25320,12.0%
Gadwal,79,GEN,Mahbubnagar,Bandla Krishna Mohan Reddy,Bharat Rashtra Samithi,513266,214097,41.7 %,7036,3.3%
Alampur,80,SC,Mahbubnagar,Vijayudu,Bharat Rashtra Samithi,475983,194784,40.9 %,30573,15.7%
Nagarkurnool,81,GEN,Mahbubnagar,Dr. Kuchkulla Rajesh Reddy,Indian National Congress,466025,183494,39.4 %,5248,2.9%
Achampet,82,SC,Mahbubnagar,Chikkudu Vamshi Krishna,Indian National Congress,484598,192787,39.8 %,49326,25.6%
Kalwakurthy,83,GEN,Mahbubnagar,Narayan Reddy Kasireddy,Indian National Congress,483781,202091,41.8 %,5410,2.7%
Shadnagar,84,GEN,Mahbubnagar,K Shankaraiah,Indian National Congress,472754,194166,41.1 %,7128,3.7%
Kollapur,85,GEN,Mahbubnagar,Jupally Krishna Rao,Indian National Congress,468700,191191,40.8 %,29931,15.7%
Devarakonda,86,ST,Nalgonda,Balu Naik Nenavath,Indian National Congress,503394,212268,42.2 %,30021,14.1%
Nagarjuna Sagar,87,GEN,Nalgonda,Kunduru Jayaveer,Indian National Congress,466998,201032,43.0 %,55849,27.8%
Miryalaguda,88,GEN,Nalgonda,Bathula Laxma Reddy,Indian National Congress,462964,193214,41.7 %,48782,25.2%
Huzurnagar,89,GEN,Nalgonda,Uttam Kumar Reddy Nalamada,Indian National Congress,495412,214455,43.3 %,44888,20.9%
Kodad,90,GEN,Nalgonda,Nalamada Padmavathi Reddy,Indian National Congress,483342,208105,43.1 %,58172,28.0%
Suryapet,91,GEN,Nalgonda,Guntakandla Jagadish Reddy,Bharat Rashtra Samithi,483788,205895,42.6 %,4606,2.2%
Nalgonda,92,GEN,Nalgonda,Komati Reddy Venkat Reddy,Indian National Congress,489021,203126,41.5 %,54332,26.7%
Munugode,93,GEN,Nalgonda,Komatireddy Raj Gopal Reddy,Indian National Congress,505400,232759,46.1 %,40590,17.4%
Bhongir,94,GEN,Nalgonda,Kumbam Anil Kumar Reddy,Indian National Congress,433990,195195,45.0 %,26201,13.4%
Nakrekal,95,SC,Nalgonda,Vemula Veeresham,Indian National Congress,501301,218064,43.5 %,68839,31.6%
Thungathurthi,96,SC,Nalgonda,Mandula Samel,Indian National Congress,510318,223815,43.9 %,51094,22.8%
Alair,97,GEN,Nalgonda,Ilaiah Beerla,Indian National Congress,466696,212102,45.4 %,49636,23.4%
Jangoan,98,GEN,Warangal,Palla Rajeshwar Reddy,Bharat Rashtra Samithi,474473,202133,42.6 %,15783,7.8%
Ghanpur (Station),99,SC,Warangal,Kadiyam Srihari,Bharat Rashtra Samithi,498648,214602,43.0 %,7779,3.6%
Palakurthi,100,GEN,Warangal,Yashaswini Mamidala,Indian National Congress,503246,217413,43.2 %,47634,21.9%
Dornakal,101,ST,Warangal,Jatoth Ram Chander Naik,Indian National Congress,438841,191231,43.6 %,53131,27.8%
Mahabubabad,102,ST,Warangal,Dr. Murali Naik Bhukya,Indian National Congress,506988,208396,41.1 %,50171,24.1%
Narsampet,103,GEN,Warangal,Donthi Madhava Reddy,Indian National Congress,465032,204648,44.0 %,18889,9.2%
Parkal,104,GEN,Warangal,Revuri Prakash Reddy,Indian National Congress,443179,187715,42.4 %,7941,4.2%
Warangal West,105,GEN,Warangal,Naini Rajender Reddy,Indian National Congress,573579,164599,28.7 %,15331,9.3%
