#,AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
44,Lathi,44,GEN,Bhadani Becharbhai Virjibhai,Bharatiya Janta Party,99909,66876,66.9 %,10004,15.0%
45,Amreli,45,GEN,Rupala Parshotambhai Khodabhai,Bharatiya Janta Party,117749,71538,60.8 %,8081,11.3%
46,Dhari,46,GEN,Balubhai Tanti,Bharatiya Janta Party,120457,73976,61.4 %,13752,18.6%
47,Kodinar,47,GEN,Solanki Dinubhai Boghabhai,Bharatiya Janta Party,123840,84750,68.4 %,19449,22.9%
48,Rajula,48,GEN,Solanki Hirabhai Odhavajibhai,Bharatiya Janta Party,116862,74143,63.4 %,12089,16.3%
49,Botad,49,GEN,Saurabh Patel,Bharatiya Janta Party,140961,93207,66.1 %,8992,9.6%
50,Gadhada,50,SC,Atmaram Makanbhai Parmar,Bharatiya Janta Party,143956,81309,56.5 %,13660,16.8%
51,Palitana,51,GEN,Goti Kurjibhai Ramjibhai,Bharatiya Janta Party,122952,76345,62.1 %,13255,17.4%
52,Sihor,52,GEN,Keshubhai Hirjibhai Nakarani,Bharatiya Janta Party,133576,86589,64.8 %,6847,7.9%
53,Kundla,53,GEN,Virani Kalubhai Virjibhai,Bharatiya Janta Party,129097,67218,52.1 %,17407,25.9%
54,Mahuva,54,GEN,Dr.Kanubhai Kalasaria,Bharatiya Janta Party,127692,70493,55.2 %,18578,26.4%
55,Talaja,55,GEN,Gohil Sheevabhai Jerambhai (SHEEVABHAI GOHIL),Bharatiya Janta Party,124319,64017,51.5 %,19113,29.9%
56,Ghogho,56,GEN,Parshotambhai Odhavjibhai Solanki,Bharatiya Janta Party,138637,91845,66.2 %,16101,17.5%
57,Bhavnagar North,57,GEN,Mahendra Trivedi,Bharatiya Janta Party,156951,86125,54.9 %,13259,15.4%
58,Bhavnagar South,58,GEN,Oza Sunil Balkrishnabhai (SUNIL OZA),Bharatiya Janta Party,169533,95251,56.2 %,9858,10.3%
59,Dhandhuka,59,GEN,Bharat Pandya,Bharatiya Janta Party,143872,80383,55.9 %,15307,19.0%
60,Dholka,60,GEN,Kanjibhai Rayabhai Talpada,Indian National Congress,145924,90546,62.1 %,22295,24.6%
61,Bavla,61,SC,Makwana Gunvantbhai N.,Indian National Congress,155587,92642,59.5 %,6476,7.0%
62,Mandal,62,GEN,Patel Anandiben Mafatbhai,Bharatiya Janta Party,120741,78399,64.9 %,4735,6.0%
63,Viramgam,63,GEN,Premjibhai Vadlani,Indian National Congress,133050,91435,68.7 %,6003,6.6%
64,Sarkhej,64,GEN,Shah Amit Anilchandra (AMIT SHAH),Bharatiya Janta Party,609349,284554,46.7 %,132477,46.6%
65,Daskroi,65,GEN,Patel Vijaybhai Harishchandra,Bharatiya Janta Party,233470,135854,58.2 %,4692,3.5%
66,Dehgam,66,GEN,Gabhaji Mangaji Thakor,Bharatiya Janta Party,149395,97102,65.0 %,6051,6.2%
67,Sabarmati,67,GEN,Oza Yatinbhai Narendrakumar,Bharatiya Janta Party,291544,158862,54.5 %,21017,13.2%
68,Ellis Bridge,68,GEN,Haren Pandya,Bharatiya Janta Party,227157,110888,48.8 %,64520,58.2%
69,Dariapur-Kazipur,69,GEN,Barot Bharatkumar Chimanlal,Bharatiya Janta Party,128505,65480,51.0 %,8290,12.7%
70,Shahpur,70,GEN,Kaushikkumar Jamnadas Patel (KAUSHIK PATEL),Bharatiya Janta Party,93964,54075,57.5 %,9218,17.0%
71,Kalupur,71,GEN,Shaikhmohmmad Faruk H. (FARUK SHAIKH),Indian National Congress,86750,53976,62.2 %,898,1.7%
72,Asarwa,72,GEN,Patel Amrishkumar Govindlal,Bharatiya Janta Party,221403,117959,53.3 %,958,0.8%
73,Rakhial,73,GEN,Jhadfiya Gordhanbhai P.,Bharatiya Janta Party,170260,94105,55.3 %,16637,17.7%
74,Shaher Kotda,74,SC,Manubhai Parmar,Indian National Congress,119205,62657,52.6 %,3915,6.2%
75,Khadia,75,GEN,Ashok Bhatt,Bharatiya Janta Party,90741,47731,52.6 %,20465,42.9%
76,Jamalpur,76,GEN,Devdiwala Usmangani I.,Independent,139759,78379,56.1 %,10766,13.7%
77,Maninagar,77,GEN,Kamlesh Patel,Bharatiya Janta Party,325209,139553,42.9 %,39050,28.0%
78,Naroda,78,GEN,Kodnani Mayaben Surendrabhai,Bharatiya Janta Party,360573,176026,48.8 %,74854,42.5%
79,Gandhinagar,79,GEN,Patel Vadibhai Bhaischanddas,Bharatiya Janta Party,211260,137358,65.0 %,12434,9.1%
80,Kalol,80,GEN,Patel Sureshkumar Chaturdas,Indian National Congress,157486,104171,66.1 %,1499,1.4%
81,Kadi,81,GEN,Nitin Ratilal Patel,Bharatiya Janta Party,148753,109082,73.3 %,10682,9.8%
82,Jotana,82,SC,Ishvarbhai Dhanabhai Makwana,Bharatiya Janta Party,143400,95489,66.6 %,19895,20.8%
83,Mehsana,83,GEN,Khodabhai N.Patel,Bharatiya Janta Party,167573,110823,66.1 %,3097,2.8%
84,Mansa,84,GEN,Patel Mangaldas Madhavlal,Bharatiya Janta Party,151293,116570,77.0 %,8324,7.1%
85,Vijapur,85,GEN,Raval Nareshkumar Gangaram,Indian National Congress,155935,115145,73.8 %,10156,8.8%
86,Visnagar,86,GEN,Patel Prahaladbhai Mohanlal (GOSA),Bharatiya Janta Party,156429,121475,77.7 %,3536,2.9%
87,Kheralu,87,GEN,Thakor Shree Shankarji Okhaji,Indian National Congress,138352,101348,73.3 %,2023,2.0%
88,Unjha,88,GEN,Patel Narayanbhai Lalludas,Bharatiya Janta Party,151484,102235,67.5 %,31768,31.1%
89,Sidhpur,89,GEN,Jay Narayan Vyas,Bharatiya Janta Party,138117,94792,68.6 %,5257,5.5%
90,Vagdod,90,GEN,Desai Ranchhod Mahijibhai,Bharatiya Janta Party,155881,97803,62.7 %,1961,2.0%
91,Patan,91,GEN,Patel Mohanbhai Hirabhai,Bharatiya Janta Party,149308,87455,58.6 %,11412,13.0%
92,Chanasma,92,GEN,Arvind T. Patel,Bharatiya Janta Party,114425,86912,76.0 %,6302,7.3%
