#,AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
165,Mahuva,165,ST,Ishawarbhai Narsinhbhai Vahia,Indian National Congress,168355,114154,67.8 %,1918,1.7%
166,Bardoli,166,ST,Halpati Kuvarjibhai Narsinhbhai,Indian National Congress,182603,121152,66.3 %,4791,4.0%
167,Kamrej,167,ST,Rathod Bhartiben Amrutbhai,Bharatiya Janta Party,176306,119994,68.1 %,12676,10.6%
168,Olpad,168,GEN,Patel Kiritbhai Gangarambhai,Bharatiya Janta Party,512521,267340,52.2 %,88161,33.0%
169,Surat City North,169,GEN,Vanani Nanubhai Bhagvanbhai,Bharatiya Janta Party,204937,124050,60.5 %,22337,18.0%
170,Surat City East,170,GEN,Gilitwala Ranjitbhai Mangubhai,Bharatiya Janta Party,140845,83731,59.4 %,1699,2.0%
171,Surat City West,171,GEN,Kishor Vankawala,Bharatiya Janta Party,323323,185682,57.4 %,57173,30.8%
172,Chorasi,172,GEN,Narottambhai Patel,Bharatiya Janta Party,1593907,851402,53.4 %,346940,40.7%
173,Jalalpore,173,GEN,R. C. Patel,Bharatiya Janta Party,191612,119243,62.2 %,33131,27.8%
174,Navsari,174,ST,Patel Mangubhai Chhaganbhai,Bharatiya Janta Party,191270,123343,64.5 %,12083,9.8%
175,Gandevi,175,GEN,Patel Laxmanbhai Parsottambhai,Bharatiya Janta Party,173242,109319,63.1 %,13220,12.1%
176,Chikhli,176,ST,Patel Nareshbhai Maganbhai,Bharatiya Janta Party,179671,123877,68.9 %,2267,1.8%
177,Dangs-Bansda,177,ST,Patel Vijaybhai Rameshbhai,Bharatiya Janta Party,199804,117632,58.9 %,7883,6.7%
178,Bulsar,178,GEN,Desai Dolatrai Nathubhai,Bharatiya Janta Party,212556,126775,59.6 %,14356,11.3%
179,Dharampur,179,ST,Chaudhari Chhanabhai Kolubhai,Indian National Congress,184560,123642,67.0 %,16831,13.6%
180,Mota Pondha,180,ST,Chaudhary Jitubhai Hirjibhai,Indian National Congress,206049,145608,70.7 %,17739,12.2%
181,Pardi,181,ST,Patel Ushaben Girishkumar,Bharatiya Janta Party,192572,118898,61.7 %,10665,9.0%
182,Umbergaon,182,ST,Ramanlal Nanubhai Patkar,Bharatiya Janta Party,280982,150771,53.7 %,51611,34.2%
