#,AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
151,Vagra,151,GEN,Bharuch,Arunsinh Ajitsinh Rana,Bharatiya Janta Party,171099,133903,78.3 %,14318,10.7%
152,Jhagadia,152,ST,Bharuch,Vasava Chhotubhai Amarsinh,Janata Dal (United),207974,170110,81.8 %,13304,7.8%
153,Bharuch,153,GEN,Bharuch,Dushyantbhai Rajnikant Patel,Bharatiya Janta Party,212895,154995,72.8 %,37190,24.0%
154,Ankleshwar,154,GEN,Bharuch,Ishwarsinh Thakorbhai Patel,Bharatiya Janta Party,188970,143256,75.8 %,31443,21.9%
155,Olpad,155,GEN,Surat,Patel Mukeshbhai Zinabhai,Bharatiya Janta Party,267481,192100,71.8 %,37058,19.3%
156,Mangrol,156,ST,Surat,Vasava Ganpatsinh Vestabhai,Bharatiya Janta Party,174025,140327,80.6 %,31106,22.2%
157,Mandvi,157,ST,Surat,Vasava Parbhubhai Nagarbhai,Indian National Congress,208947,167248,80.0 %,24394,14.6%
158,Kamrej,158,GEN,Surat,Pansheriya Prafulbhai Chhaganbhai,Bharatiya Janta Party,302200,219877,72.8 %,61371,27.9%
159,Surat East,159,GEN,Surat,Gilitwala Ranjitbhai Mangubhai,Bharatiya Janta Party,193242,136079,70.4 %,15789,11.6%
160,Surat North,160,GEN,Surat,Choksi Ajaykumar Jashvantlal,Bharatiya Janta Party,152021,103329,68.0 %,22034,21.3%
161,Varachha Road,161,GEN,Surat,Kanani Kishorbhai Shivabhai (KUMAR),Bharatiya Janta Party,180803,127385,70.5 %,20359,16.0%
162,Karanj,162,GEN,Surat,Kachhadiya Janakbhai Manjibhai,Bharatiya Janta Party,145029,93169,64.2 %,49439,53.1%
163,Limbayat,163,GEN,Surat,Patil Sangitaben Rajendrabhai,Bharatiya Janta Party,218004,150268,68.9 %,30321,20.2%
164,Udhna,164,GEN,Surat,Narottambhai Patel,Bharatiya Janta Party,206678,129445,62.6 %,32754,25.3%
