AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %,Father/Husband Name,Gender,Age
Umreth,111,GEN,Anand,Govindbhai Raijibhai Parmar,Bharatiya Janta Party,271081,182484,67.30%,26717,14.60%,Raijibhai Jalabhai Parmar,male,69
Anand,112,GEN,Anand,Yogesh R. Patel (BAPJI),Bharatiya Janta Party,314769,191767,60.90%,41623,21.70%,RAVJIBHAI NARANBHAI PATEL,male,57
Petlad,113,GEN,Anand,Kamleshbhai Rameshbhai Patel (Master),Bharatiya Janta Party,239373,168041,70.20%,17954,10.70%,Rameshbhai Patel,male,53
Sojitra,114,GEN,Anand,Patel Vipulkumar Vinubhai,Bharatiya Janta Party,220782,151838,68.80%,29519,19.40%,VINUBHAI SHIVABHAI PATEL,male,53
Matar,115,GEN,Kheda,Kalpeshbhai Ashabhai Parmar,Bharatiya Janta Party,252260,174870,69.30%,15851,9.10%,Ashabhai Parmar,male,53
Nadiad,116,GEN,Kheda,Desai Pankajbhai Vinubhai (GOTIYO),Bharatiya Janta Party,274015,161896,59.10%,53871,33.30%,DESAI VINUBHAI NARANBHAI,male,61
Mehmedabad,117,GEN,Kheda,Arjunsinh Udesinh Chauhan,Bharatiya Janta Party,250592,178765,71.30%,45604,25.50%,Udesinh Takhatsinh Chauhan,male,46
Mahudha,118,GEN,Kheda,Sanjaysinh Vijaysinh Mahida,Bharatiya Janta Party,252220,172881,68.50%,25689,14.90%,VIJAYSINH,male,42
Thasra,119,GEN,Kheda,Yogendrasinh Parmar (BAKABHAI),Bharatiya Janta Party,273169,193783,70.90%,61919,32.00%,Ramsinh Parmar,male,50
Kapadvanj,120,GEN,Kheda,Zala Rajeshkumar Maganbhai,Bharatiya Janta Party,299484,204355,68.20%,31878,15.60%,Zala Maganbhai,male,35
Balasinor,121,GEN,Kheda,Mansinh Kohyabhai Chauhan,Bharatiya Janta Party,288251,179519,62.30%,51422,28.60%,Kohyabhai Chauhan,male,72
Lunawada,122,GEN,Panch Mahals,Gulabsinh Somsinh Chauhan,Indian National Congress,288177,180672,62.70%,26620,14.70%,SOMSINH CHAUHAN,male,61
Santrampur,123,ST,Panch Mahals,Dr. Kuberbhai Mansukhbhai Dindor,Bharatiya Janta Party,238493,139769,58.60%,15577,11.10%,Mansukhbhai,male,51
Shehra,124,GEN,Panch Mahals,Ahir(Bharvad) Jethabhai Ghelabhai,Bharatiya Janta Party,260675,176565,67.70%,47281,26.80%,Ghelabhai,male,72
Morva Hadaf,125,ST,Panch Mahals,Suthar Nimishaben Manharsinh,Bharatiya Janta Party,228379,138912,60.80%,48877,35.20%,MANHARSINH,female,39
Godhra,126,GEN,Panch Mahals,C.K.Raulji,Bharatiya Janta Party,279523,182755,65.40%,35198,19.30%,RAULJI KANAKSINH,male,68
Kalol,127,GEN,Panch Mahals,Fatesinh Vakhatsinh Chauhan,Bharatiya Janta Party,258494,184851,71.50%,115679,62.60%,VAKHATSINH CHAUHAN,male,59
Halol,128,GEN,Panch Mahals,Jaydrathsinhji Parmar,Bharatiya Janta Party,272951,195249,71.50%,42705,21.90%,CHANDRASINHJI PARMAR,male,58
Fatepura,129,ST,Dohad,Katara Rameshbhai Bhurabhai,Bharatiya Janta Party,254977,134940,52.90%,19531,14.50%,BHURABHAI,male,44
Jhalod,130,ST,Dohad,Maheshbhai Somjibhai Bhuriya,Bharatiya Janta Party,271789,156307,57.50%,35222,22.50%,SOMJIBHAI BHURIYA,male,52
Limkheda,131,ST,Dohad,Bhabhor Shaileshbhai Sumanbhai,Bharatiya Janta Party,222933,148131,66.40%,3663,2.50%,Sumanbhai,male,42
Dahod,132,ST,Dohad,Kanaiyalal Bachubhai Kishori,Bharatiya Janta Party,278663,163848,58.80%,29350,17.90%,Bachubhai Kishori,male,40
Garbada,133,ST,Dohad,Bhabhor Mahendrabhai Rameshbhai,Bharatiya Janta Party,290463,142557,49.10%,27825,19.50%,BHABHOR RAMESHBHAI,male,47
Devgadhbaria,134,GEN,Dohad,Khabad Bachubhai Maganbhai,Bharatiya Janta Party,266162,190018,71.40%,44201,23.30%,Maganbhai,male,67
Savli,135,GEN,Vadodara,Inamdar Ketanbhai Mahendrabhai,Bharatiya Janta Party,230664,173059,75.00%,36926,21.30%,MAHENDRABHAI,male,43
Vaghodia,136,GEN,Vadodara,Dharmendrasinh Ranubha Vaghela (BAPU),Independent,246572,180037,73.00%,14006,7.80%,RANUBHA VAGHELA,male,54
Chhota Udaipur,137,ST,Vadodara,Rajendrasinh Mohansinh Rathva,Bharatiya Janta Party,271494,168707,62.10%,29450,17.50%,MOHANSINH CHHOTUBHAI RATHAVA,male,51
Jetpur,138,ST,Vadodara,Rathwa Jayantibhai Savjibhai,Bharatiya Janta Party,271058,176410,65.10%,37779,21.40%,RATHWA SAVJIBHAI NAYAKDABHAI,male,47
Sankheda,139,ST,Vadodara,Abhesinh Motibhai Tadvi,Bharatiya Janta Party,276327,190601,69.00%,30674,16.10%,Motibhai Raijibhai Tadvi,male,66
Dabhoi,140,GEN,Vadodara,Shaileshbhai Kanaiyalal Mehta (Shailesh Sotta),Bharatiya Janta Party,232645,168166,72.30%,20476,12.20%,Kanaiyalal Mehta,male,62
Vadodara City,141,SC,Vadodara,Manisha Vakil,Bharatiya Janta Party,306734,181189,59.10%,98597,54.40%,RAJIVBHAI VAKIL,female,47
Sayajigunj,142,GEN,Vadodara,Keyur Narayandas Rokadia,Bharatiya Janta Party,300928,174904,58.10%,84013,48.00%,NARAYANDAS ROKADIA,male,43
Akota,143,GEN,Vadodara,Chaitanya Makarandbhai Desai,Bharatiya Janta Party,275848,161955,58.70%,77753,48.00%,,,
Raopura,144,GEN,Vadodara,Balkrushna Khanderao Shukla (BALU SHUKLA),Bharatiya Janta Party,297899,169816,57.00%,81035,47.70%,KHANDERAO SHUKLA,male,59
Manjalpur,145,GEN,Vadodara,Yogeshbhai Narandas Patel,Bharatiya Janta Party,263464,155141,58.90%,100754,64.90%,NARANDAS PATEL,male,76
Padra,146,GEN,Vadodara,Chaitanyasinh Pratapsinh Zala,Bharatiya Janta Party,238164,181450,76.20%,6178,3.40%,PRATAPSINH ZALA,male,44
Karjan,147,GEN,Vadodara,Akshaykumar Ishvarbhai Patel,Bharatiya Janta Party,213329,150866,70.70%,26306,17.40%,ISHVARBHAI PATEL,male,53
Nandod,148,ST,Narmada,Dr. Darshna Chandubhai Deshmukh(VASAVA),Bharatiya Janta Party,235177,174413,74.20%,28202,16.20%,CHANDUBHAI DESHMUKH,female,54
Dediapada,149,ST,Narmada,Chaitarbhai Damjibhai Vasava,Aam Aadmi Party,222701,182162,81.80%,40282,22.10%,Damjibhai Vasava,male,34
Jambusar,150,GEN,Bharuch,Devkishordasji Bhaktisvarupdasji Swami,Bharatiya Janta Party,241814,161934,67.00%,27380,16.90%,,,
Vagra,151,GEN,Bharuch,Arunsinh Ajitsinh Rana,Bharatiya Janta Party,222613,157759,70.90%,13452,8.50%,AJITSINH,male,64
Jhagadia,152,ST,Bharuch,Riteshkumar Ramanbhai Vasava (KALABHAI),Bharatiya Janta Party,258895,194444,75.10%,23500,12.10%,RAMANBHAI VASAVA,male,46
Bharuch,153,GEN,Bharuch,Rameshbhai Narandas Mistry,Bharatiya Janta Party,293453,169097,57.60%,64473,38.10%,NARANDAS MISTRY,male,60
Ankleshwar,154,GEN,Bharuch,Ishwarsinh Thakorbhai Patel,Bharatiya Janta Party,250724,158361,63.20%,40441,25.50%,Thakorbhai Patel,male,57
Olpad,155,GEN,Surat,Mukeshbhai Zinabhai Patel,Bharatiya Janta Party,455536,292155,64.10%,115136,39.40%,ZINABHAI ICHCHHUBHAI PATEL,male,52
Mangrol,156,ST,Surat,Ganpatsinh Vestabhai Vasava,Bharatiya Janta Party,225699,165076,73.10%,51423,31.20%,VESTABHAI NAVSABHAI VASAVA,male,51
Mandvi,157,ST,Surat,Kunvarjibhai Narsinhbhai Halpati,Bharatiya Janta Party,246865,186700,75.60%,18109,9.70%,Narsinhbhai Halpati,male,55
Kamrej,158,GEN,Surat,Praful Pansheriya,Bharatiya Janta Party,547619,328680,60.00%,74697,22.70%,CHHAGANBHAI,male,51
Surat East,159,GEN,Surat,Arvind Shantilal Rana,Bharatiya Janta Party,214988,137966,64.20%,14017,10.20%,SHANTILAL RANA,male,61
