ac name,ac no,type,district,winning candidate,party,total electors,total votes,poll%,margin,margin %,father/husband name,gender,age,UID
Sheopur,1,GEN,Sheopur,Babu Jandel,Indian National Congress,517954,210108,40.60%,11130,5.30%,RAMCHAND,male,58.0,MP2023AC01
Vijaypur,2,GEN,Sheopur,Ramniwas Rawat,Indian National Congress,506538,205207,40.50%,18059,8.80%,SHRI GANESH,male,63.0,MP2023AC02
Sabalagadh,3,GEN,Morena,Smt. Sarla Vijendra Rawat,Bharatiya Janta Party,467894,179563,38.40%,9805,5.50%,VIJENDRA SINGH RAWAT,female,40.0,MP2023AC03
Jaura,4,GEN,Morena,Pankaj Upadhyay,Indian National Congress,526614,190227,36.10%,30281,15.90%,HARIOM UPADHYAY,male,42.0,MP2023AC04
Sumawali,5,GEN,Morena,Aidal Singh Kansana,Bharatiya Janta Party,513910,185577,36.10%,16008,8.60%,HOTAM SINGH,male,63.0,MP2023AC05
Morena,6,GEN,Morena,Dinesh Gurjar,Indian National Congress,525756,170216,32.40%,19871,11.70%,AMAR SINGH,male,54.0,MP2023AC06
Dimani,7,GEN,Morena,Narendra Singh Tomar,Bharatiya Janta Party,463618,160936,34.70%,24461,15.20%,Late. Shri Munshi Singh Tomar,male,66.0,MP2023AC07
Ambah,8,SC,Morena,Devendra Ramnarayan Sakhwar,Indian National Congress,482988,144249,29.90%,22627,15.70%,RAMNARAYAN,male,47.0,MP2023AC08
Ater,9,GEN,Bhind,Hemant Satyadev Katare,Indian National Congress,482126,152647,31.70%,20228,13.30%,SATYADEV KATARE,male,37.0,MP2023AC09
Bhind,10,GEN,Bhind,Narendra Singh Kushwah,Bharatiya Janta Party,550100,161727,29.40%,14146,8.70%,MAHARAJ SINGH,male,63.0,MP2023AC10
Lahar,11,GEN,Bhind,"Ambrish Sharma ""guddu""",Bharatiya Janta Party,520092,174191,33.50%,12397,7.10%,RAMESHCHANDRA,male,48.0,MP2023AC11
Mehgaon,12,GEN,Bhind,Rakesh Shukla,Bharatiya Janta Party,559552,180626,32.30%,22010,12.20%,SHIV KUMAR SHUKLA,male,57.0,MP2023AC12
Gohad,13,SC,Bhind,Keshav Desai,Indian National Congress,479462,147006,30.70%,607,0.40%,Rambharose Lal,male,57.0,MP2023AC13
Gwalior Rural,14,GEN,Gwalior,Sahab Singh Gurjar,Indian National Congress,505268,188249,37.30%,3282,1.70%,Lajjaram Singh Gurjar,male,52.0,MP2023AC14
Gwalior,15,GEN,Gwalior,Pradhuman Singh Tomar,Bharatiya Janta Party,601980,197068,32.70%,19140,9.70%,Lt. Shri Hakim Singh,male,53.0,MP2023AC15
Gwalior East,16,GEN,Gwalior,Dr Satish Sikarwar,Indian National Congress,663240,192206,29.00%,15353,8.00%,,,,MP2023AC16
Gwalior South,17,GEN,Gwalior,Narayan Singh Kushwah,Bharatiya Janta Party,516602,165507,32.00%,2536,1.50%,PARMANAND KUSHWAH,male,67.0,MP2023AC17
Bhitarwar,18,GEN,Gwalior,Mohan Singh Rathore,Bharatiya Janta Party,485926,181820,37.40%,22354,12.30%,ULFAT SINGH RATHORE,male,68.0,MP2023AC18
Dabra,19,SC,Gwalior,Suresh Raje,Indian National Congress,484726,174636,36.00%,2267,1.30%,LATE SHRI DAYARAM,male,63.0,MP2023AC19
Sewda,20,GEN,Datia,Pradeep Agrawal,Bharatiya Janta Party,383930,140475,36.60%,2558,1.80%,SHRI GULAB CHANDRA,male,54.0,MP2023AC20
Bhander,21,SC,Datia,Phool Singh Baraiya,Indian National Congress,379852,138653,36.50%,29438,21.20%,LATE SHRI JAGANNATH SINGH,male,61.0,MP2023AC21
Datia,22,GEN,Datia,Bharti Rajendra,Indian National Congress,440788,175307,39.80%,7742,4.40%,SHAYAM SUNDAR,male,64.0,MP2023AC22
Karera,23,SC,Shivpuri,Khatik Ramesh Prasad,Bharatiya Janta Party,530574,200515,37.80%,3103,1.50%,BABULAL,male,65.0,MP2023AC23
Pohari,24,GEN,Shivpuri,Kailash Kushwah,Indian National Congress,487374,191852,39.40%,49481,25.80%,BALMUKAND,male,44.0,MP2023AC24
