ac name,ac no,type,district,winning candidate,party,total electors,total votes,poll%,margin,margin %,father/husband name,gender,age,UID
Kapilvastu,303,SC,Siddharthnagar,Shyamdhani Rahi,Bharatiya Janta Party,455516,250077,54.90%,30939,12.40%,RAMNATH,male,69.0,UP2022AC303
Bansi,304,GEN,Siddharthnagar,Jai Pratap Singh,Bharatiya Janta Party,381475,187156,49.10%,20340,10.90%,Rudra Pratap Singh,male,68.0,UP2022AC304
Itwa,305,GEN,Siddharthnagar,Mata Prasad Pandey,Samajwadi Party,337654,165565,49.00%,1662,1.00%,GOMATI PRASAD PANDEY,male,80.0,UP2022AC305
Domariyaganj,306,GEN,Siddharthnagar,Saiyada Khatoon,Samajwadi Party,411936,205462,49.90%,771,0.40%,TAUFIQ AHMAD,female,48.0,UP2022AC306
Harraiya,307,GEN,Basti,Ajay Singh,Bharatiya Janta Party,390980,219630,56.20%,18329,8.30%,NARENDRA BAHADUR,male,50.0,UP2022AC307
Kaptanganj,308,GEN,Basti,Kavindra Chaudhary,Samajwadi Party,367907,214704,58.40%,24179,11.30%,RAM PRASAD CHAUDHARY,male,29.0,UP2022AC308
Rudhauli,309,GEN,Basti,Rajendra Prasad Chaudhary,Samajwadi Party,433754,233391,53.80%,15226,6.50%,Santram Chaudhary,male,61.0,UP2022AC309
Basti Sadar,310,GEN,Basti,Mahendra Nath Yadav,Samajwadi Party,374771,214773,57.30%,1779,0.80%,Shyam Chandra Yadav,male,45.0,UP2022AC310
Mahadewa,311,SC,Basti,Dudhram,Suheldev Bharatiya Samaj Party,363051,209605,57.70%,5495,2.60%,Badri,male,61.0,UP2022AC311
Menhdawal,312,GEN,S. Kabir Nagar,Anil Kumar Tripathi,Nirbal Indian Shoshit Hamara Aam Dal,459290,240172,52.30%,5223,2.20%,,,,UP2022AC312
Khalilabad,313,GEN,S. Kabir Nagar,Ankur Tiwari,Bharatiya Janta Party,460119,249368,54.20%,12622,5.10%,UDAY RAJ TIWARI,male,31.0,UP2022AC313
Dhanghata,314,SC,S. Kabir Nagar,Ganesh Chandra,Bharatiya Janta Party,385903,214307,55.50%,10553,4.90%,SURESH CHANDRA,male,35.0,UP2022AC314
Pharenda,315,GEN,Maharajganj,Virendra Chaudhary,Indian National Congress,352072,210006,59.60%,1246,0.60%,Parma Devi,male,47.0,UP2022AC315
Nautanwa,316,GEN,Maharajganj,Rishi,Nirbal Indian Shoshit Hamara Aam Dal,368102,223402,60.70%,15331,6.90%,SUNIL DATT,male,38.0,UP2022AC316
Siswa,317,GEN,Maharajganj,Premsagar Patel,Bharatiya Janta Party,389612,253130,65.00%,62731,24.80%,Gajar,male,59.0,UP2022AC317
Maharajganj,318,SC,Maharajganj,Jay Mangal,Bharatiya Janta Party,414570,259824,62.70%,76903,29.60%,GABBU PRASAD,male,48.0,UP2022AC318
Paniyra,319,GEN,Maharajganj,Gyanendra Singh,Bharatiya Janta Party,424030,258373,60.90%,61428,23.80%,CHANDRIKA,male,64.0,UP2022AC319
Caimpiyarganj,320,GEN,Gorakhpur,Fateh Bahadur,Bharatiya Janta Party,385091,223238,58.00%,42656,19.10%,,,,UP2022AC320
Pipraich,321,GEN,Gorakhpur,Mahendra Pal Singh,Bharatiya Janta Party,407444,257129,63.10%,65357,25.40%,RAMBRICKSH SINGH,male,58.0,UP2022AC321
Gorakhpur Urban,322,GEN,Gorakhpur,Adityanath,Bharatiya Janta Party,469168,248873,53.00%,103390,41.50%,LATE AVEDYANATH,male,49.0,UP2022AC322
Gorakhpur Rural,323,GEN,Gorakhpur,Bipin Singh,Bharatiya Janta Party,421473,253812,60.20%,24070,9.50%,AMBIKA,male,56.0,UP2022AC323
Sahajanwa,324,GEN,Gorakhpur,Pradeep Shukla,Bharatiya Janta Party,380038,222885,58.60%,43406,19.50%,LATE SATYADEV,male,40.0,UP2022AC324
Khajani,325,SC,Gorakhpur,Shriram Chauhan,Bharatiya Janta Party,381259,197375,51.80%,37101,18.80%,RAMNARESH,male,64.0,UP2022AC325
Chauri-Chaura,326,GEN,Gorakhpur,Sarvan Kumar Nishad,Bharatiya Janta Party,355334,204738,57.60%,41127,20.10%,SANJAY KUMAR NISHAD,male,31.0,UP2022AC326
Bansgaon,327,SC,Gorakhpur,Dr. Vimlesh Paswan,Bharatiya Janta Party,382748,187082,48.90%,32309,17.30%,LATE OMPRAKASH,male,41.0,UP2022AC327
Chillupar,328,GEN,Gorakhpur,Rajesh Tripathi,Bharatiya Janta Party,431490,225831,52.30%,21645,9.60%,SHIVAKANT TRIPATHI,male,57.0,UP2022AC328
Khadda,329,GEN,Kushinagar,Viveka Nand Pandey,Nirbal Indian Shoshit Hamara Aam Dal,339955,201986,59.40%,41451,20.50%,RAJESHWAR,male,41.0,UP2022AC329
Padrauna,330,GEN,Kushinagar,Manish Kumar Urf Mantu,Bharatiya Janta Party,384395,228513,59.40%,42008,18.40%,RAMNARAYAN,male,44.0,UP2022AC330
Tamkuhi Raj,331,GEN,Kushinagar,Asim Kumar,Bharatiya Janta Party,401170,224096,55.90%,66472,29.70%,Kriti Narayan Chaudhari,male,60.0,UP2022AC331
