AC Name,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll %,Margin,Margin %,Father/Husband Name,Gender,Age
Patanagarh,,Balangir district,Kanak Vardhan Singh Deo,	Bharatiya Janata Party,,"93,823",41.64,,,Late Raj Raj Singh Deo,male,67.0
Bolangir,,Balangir district,Kalikesh Narayan Singh Deo,Biju Janata Dal,,"85,265",45.69,,,ANANGA UDAY SINGH DEO,male,49.0
Titilagarh,,Balangir district,Nabin Kumar Jain,	Bharatiya Janata Party,,"97,854",48.3,,,RADHESHYAM JAIN,male,57.0
Kantabanji,,Balangir district,Laxman Bag,	Bharatiya Janata Party,,"90,876",44.57,,,Late Shankar Bag,male,48.0
Nuapada,,Nuapada district,Rajendra Dholakia,Biju Janata Dal,,"61,822",33.65,,,Late Rasiklal Dholakia,male,68.0
Khariar,,Nuapada district,Adhiraj Mohan Panigrahi,Biju Janata Dal,,"93,246",46.89,,,LATE DINESH CHANDRA PANIGRAHI,male,46.0
Umerkote,ST,Nabarangpur district,Nityananda Gond,	Bharatiya Janata Party,,"70,170",43.35,,,LATE SAMARU GOND,male,46.0
Jharigam,ST,Nabarangpur district,Narsing Bhatra,	Bharatiya Janata Party,,"76,748",42.33,,,Paramananda Bhatra,male,46.0
Nabarangpur,ST,Nabarangpur district,Gouri Shankar Majhi,	Bharatiya Janata Party,,"90,895",45.35,,,LATE URDHAB MAJHI,male,46.0
Dabugam,ST,Nabarangpur district,Manohar Randhari,Biju Janata Dal,,"77,511",44.95,,,LATE DAMBARUDHAR RANDHARI,male,49.0
Lanjigarh,ST,Kalahandi district,Pradip Kumar Dishari,Biju Janata Dal,,"60,254",34.09,,,Late Padmanabh Dishari,male,49.0
Junagarh,,Kalahandi district,Dibya Shankar Mishra,Biju Janata Dal,,"77,037",38.64,,,LATE BIBHUTI BHUSAN MISHRA,male,55.0
Dharmagarh,,Kalahandi district,Sudhira Ranjan Pattajosi,	Bharatiya Janata Party,,"87,890",41.84,,,,,
