ac name,ac no,type,district,winning candidate,party,total electors,total votes,poll%,margin,margin %,father/husband name,gender,age,UID
Begun,168,GEN,Chittaurgarh,Dr. Suresh Dhakar,Bharatiya Janta Party,559146,233588,41.80%,50661,21.70%,BHERULAL,male,45.0,RJ2023AC168
Chittorgarh,169,GEN,Chittaurgarh,Chandrabhan Singh Chouhan,Independent,540486,215552,39.90%,6823,3.20%,Ram Singh,male,47.0,RJ2023AC169
Nimbahera,170,GEN,Chittaurgarh,Shrichand Kriplani,Bharatiya Janta Party,552309,235065,42.60%,3845,1.60%,CHETU MAL,male,64.0,RJ2023AC170
Bari Sadri,171,GEN,Chittaurgarh,Gautam Kumar,Bharatiya Janta Party,549974,215064,39.10%,11832,5.50%,KANAK MAL,male,45.0,RJ2023AC171
Pratapgarh,172,ST,Chittaurgarh,Hemant Meena,Bharatiya Janta Party,518138,216794,41.80%,25109,11.60%,NANDLAL,male,43.0,RJ2023AC172
Bhim,173,GEN,Rajsamand,Harisingh Rawat S/o Panna Singh,Bharatiya Janta Party,462364,161880,35.00%,31768,19.60%,Panna Singh,male,68.0,RJ2023AC173
Kumbhalgarh,174,GEN,Rajsamand,Surendra Singh Rathore,Bharatiya Janta Party,452920,154001,34.00%,22060,14.30%,Late Bhagwat Singh Rathore,male,60.0,RJ2023AC174
Rajsamand,175,GEN,Rajsamand,Deepti Kiran Maheshwari,Bharatiya Janta Party,464368,174556,37.60%,31962,18.30%,DR. SATYANARAYAN MAHESHWARI,female,36.0,RJ2023AC175
Nathdwara,176,GEN,Rajsamand,Vishvaraj Singh Mewar,Bharatiya Janta Party,477154,186840,39.20%,7504,4.00%,MAHENDRA SINGH MEWAR,male,54.0,RJ2023AC176
Asind,177,GEN,Bhilwara,Jabbar Singh Sankhala,Bharatiya Janta Party,593828,219985,37.00%,1526,0.70%,Sambhu Singh Sankhala,male,55.0,RJ2023AC177
Mandal,178,GEN,Bhilwara,Udai Lal Bhadana,Bharatiya Janta Party,542266,219974,40.60%,35878,16.30%,NARU,male,45.0,RJ2023AC178
Sahara,179,GEN,Bhilwara,Ladu Lal Pitliya,Bharatiya Janta Party,508526,188180,37.00%,62519,33.20%,DHARMCHAND PITLIYA,male,52.0,RJ2023AC179
Bhilwara,180,GEN,Bhilwara,Ashok Kumar Kothari,Independent,559787,189830,33.90%,10778,5.70%,Mohan Lal,male,62.0,RJ2023AC180
Shahpura,181,SC,Bhilwara,Lalaram Bairwa,Bharatiya Janta Party,505732,182155,36.00%,59298,32.60%,RAMNATH DEVTWAL(BAIRWA),male,51.0,RJ2023AC181
Jahazpur,182,GEN,Bhilwara,Gopichand Meena,Bharatiya Janta Party,495782,197943,39.90%,580,0.30%,JAYKISHAN,male,48.0,RJ2023AC182
Mandalgarh,183,GEN,Bhilwara,Gopal Lal Sharma,Bharatiya Janta Party,497468,196529,39.50%,8194,4.20%,PRABHU LAL SHARMA,male,63.0,RJ2023AC183
Hindoli,184,GEN,Bundi,Ashok,Indian National Congress,547162,222130,40.60%,45004,20.30%,LATE SHRI LAXMANSINGH,male,72.0,RJ2023AC184
Keshoraipatan,185,SC,Bundi,Chunnilal C.L. Premi Bairwa,Indian National Congress,555720,203078,36.50%,17087,8.40%,PANCHU LAL,male,69.0,RJ2023AC185
