#,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,ACs
#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,ACs
481,Siddipet,32,SC,Andhra Pradesh,Sarvey Sathyanarayana,Indian National Congress,1727118,1118829,64.8 %,138972,12.4%,AC View
482,Sidhi,10,GEN,Madhya Pradesh [2000 Onwards],Chandrapratap Singh,Bharatiya Janta Party,1083701,457029,42.2 %,49565,10.8%,AC View
483,Sikar,5,GEN,Rajasthan,Subhash Meharia,Bharatiya Janta Party,1476344,777953,52.7 %,54683,7.0%,AC View
484,Sikkim,1,GEN,Sikkim,Nakul Das Rai,Sikkim Democratic Front,281937,215294,76.4 %,93151,43.3%,AC View
485,Silchar,2,GEN,Assam,Sontosh Mohan Dev,Indian National Congress,879243,607884,69.1 %,21320,3.5%,AC View
486,Simla,1,GEN,Himachal Pradesh,Dhani Ram Shandil,Indian National Congress,1018988,525998,51.6 %,108180,20.6%,AC View
487,Singhbhum,10,ST,Jharkhand,Bagun Sumbrai,Indian National Congress,919728,520155,56.6 %,59196,11.4%,AC View
488,Sirsa,10,GEN,Haryana,Atma Singh Gill,Indian National Congress,1219935,841638,69.0 %,71475,8.5%,AC View
489,Sitamarhi,11,GEN,Bihar [2000 Onwards],Sitaram Yadav,Rashtriya Janata Dal,1265132,690791,54.6 %,98005,14.2%,AC View
490,Sitapur,13,GEN,Uttar Pradesh [2000 Onwards],Rajesh Verma,Bahujan Samaj Party,1292685,596568,46.2 %,5234,0.9%,AC View
491,Sivaganga,33,GEN,Tamil Nadu,"Chidambaram, P.",Indian National Congress,1083542,664594,61.3 %,162725,24.5%,AC View
492,Sivakasi,35,GEN,Tamil Nadu,"Ravichandran, A",Marumalarchi Dravida Munnetra Kazhagam,1313594,828082,63.0 %,164517,19.9%,AC View
493,Siwan,5,GEN,Bihar [2000 Onwards],Mohammad Shahabuddin,Rashtriya Janata Dal,1054441,637544,60.5 %,103578,16.2%,AC View
494,Sonepat,4,GEN,Haryana,Kishan Singh Sangwan,Bharatiya Janta Party,1138771,736510,64.7 %,7569,1.0%,AC View
495,South Delhi,2,GEN,Delhi [1977 Onwards],Vijay Kumar Malhotra,Bharatiya Janta Party,1018862,478871,47.0 %,16005,3.3%,AC View
496,Srikakulam,1,GEN,Andhra Pradesh,Yerrannaidu Kinjarapu,Telugu Desam,958626,723013,75.4 %,31879,4.4%,AC View
497,Srinagar,2,GEN,Jammu & Kashmir,Omar Abdullah,Jammu & Kashmir National Conference,1053734,195645,18.6 %,23159,11.8%,AC View
498,Sriperumbudur,4,GEN,Tamil Nadu,Krishnaswamy. A,Dravida Munetra Kazhagam,1423561,842045,59.2 %,235346,27.9%,AC View
499,Sultanpur,22,GEN,Uttar Pradesh [2000 Onwards],Mohd. Tahir,Bahujan Samaj Party,1465273,721002,49.2 %,101810,14.1%,AC View
500,Sundargarh,20,GEN,Orissa,Jual Oram,Bharatiya Janta Party,1209123,732302,60.6 %,39676,5.4%,AC View
