#,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,ACs
#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,ACs
214,Hathras,71,GEN,Uttar Pradesh [2000 Onwards],Kishan Lal Diler,Bharatiya Janta Party,1212983,492076,40.6 %,22837,4.6%,AC View
215,Hazaribagh,14,GEN,Jharkhand,Bhubneshwar Prasad Mehta,Communist Party Of India,1180058,705438,59.8 %,105328,14.9%,AC View
216,Hindupur,24,GEN,Andhra Pradesh,Nizamoddin,Indian National Congress,1179211,865406,73.4 %,1840,0.2%,AC View
217,Hingoli,29,GEN,Maharashtra,Suryakanta Patil,Nationalist Congress Party,1189303,727547,61.2 %,12545,1.7%,AC View
218,Hissar,9,GEN,Haryana,Jai Parkash,Indian National Congress,1136762,769679,67.7 %,182768,23.7%,AC View
219,Hooghly,27,GEN,West Bengal,Rupchand Pal,Communist Party Of India (MARXIST),1161683,919683,79.2 %,166966,18.2%,AC View
220,Hoshangabad,18,GEN,Madhya Pradesh [2000 Onwards],Sartaj Singh,Bharatiya Janta Party,1287203,633736,49.2 %,136409,21.5%,AC View
221,Hoshiarpur,6,GEN,Punjab,Avinash Rai Khanna,Bharatiya Janta Party,1137423,655662,57.6 %,104371,15.9%,AC View
222,Howrah,24,GEN,West Bengal,Swadesh Chakrabortty,Communist Party Of India (MARXIST),1240427,909246,73.3 %,246937,27.2%,AC View
223,Hyderabad,30,GEN,Andhra Pradesh,Asaduddin Owaisi,All India Majlis-E-Ittehadul Muslimoon,1770725,986387,55.7 %,100145,10.2%,AC View
224,Ichalkaranji,47,GEN,Maharashtra,Mane Nivedita Sambhajirao,Nationalist Congress Party,1215059,790264,65.0 %,101049,12.8%,AC View
225,Idukki,14,GEN,Kerala,K. Francis George,Kerala Congress,1034338,727964,70.4 %,69384,9.5%,AC View
226,Indore,26,GEN,Madhya Pradesh [2000 Onwards],Sumitra Mahajan (TAI),Bharatiya Janta Party,1678030,854240,50.9 %,193936,22.7%,AC View
227,Inner Manipur,1,GEN,Manipur,Dr. Thokchom Meinya,Indian National Congress,740718,416376,56.2 %,49333,11.8%,AC View
228,Jabalpur,14,ST,Madhya Pradesh [2000 Onwards],Rakesh Singh,Bharatiya Janta Party,1347885,572548,42.5 %,99531,17.4%,AC View
229,Jadavpur,18,GEN,West Bengal,Sujan Chakraborty,Communist Party Of India (MARXIST),1354946,1019775,75.3 %,89668,8.8%,AC View
230,Jagatsinghpur,7,SC,Orissa,Brahmananda Panda,Biju Janata Dal,1301496,928017,71.3 %,57262,6.2%,AC View
231,Jahanabad,38,SC,Bihar [2000 Onwards],Ganesh Prasad Singh,Rashtriya Janata Dal,1246756,863788,69.3 %,46438,5.4%,AC View
232,Jaipur,6,GEN,Rajasthan,Girdhari Lal Bhargava,Bharatiya Janta Party,1896856,880276,46.4 %,107186,12.2%,AC View
233,Jajpur,4,ST,Orissa,Mohan Jena,Biju Janata Dal,1278758,876068,68.5 %,51466,5.9%,AC View
234,Jalaun,58,GEN,Uttar Pradesh [2000 Onwards],Bhanu Pratap Singh Verma,Bharatiya Janta Party,1310156,579748,44.3 %,26791,4.6%,AC View
235,Jalesar,66,GEN,Uttar Pradesh [2000 Onwards],Pro. S.P Singh Baghel,Samajwadi Party,1240919,650313,52.4 %,106068,16.3%,AC View
236,Jalgaon,17,GEN,Maharashtra,Y. G. Mahajan (SIR),Bharatiya Janta Party,1239241,616072,49.7 %,20646,3.4%,AC View
237,Jalna,32,GEN,Maharashtra,Danve Raosaheb Dadarao Patil,Bharatiya Janta Party,1242929,755991,60.8 %,61332,8.1%,AC View
238,Jalore,22,GEN,Rajasthan,B. Susheela,Bharatiya Janta Party,1428584,654757,45.8 %,39192,6.0%,AC View
239,Jalpaiguri,3,SC,West Bengal,Minati Sen,Communist Party Of India (MARXIST),1104784,884971,80.1 %,180605,20.4%,AC View
240,Jammu,6,GEN,Jammu & Kashmir,Madan Lal Sharma,Indian National Congress,1849989,820595,44.4 %,17568,2.1%,AC View
241,Jamnagar,3,GEN,Gujarat,Ahir Vikrambhai Arjanbhai Madam,Indian National Congress,1072175,433392,40.4 %,5593,1.3%,AC View
242,Jamshedpur,9,GEN,Jharkhand,Sunil Kumar Mahato,Jharkhand Mukti Morcha,1372125,776508,56.6 %,105633,13.6%,AC View
243,Jangipur,8,GEN,West Bengal,Pranab Mukherjee,Indian National Congress,1082151,881248,81.4 %,36860,4.2%,AC View
244,Janjgir,3,SC,Chhattisgarh,Karuna Shukla,Bharatiya Janta Party,1374418,717350,52.2 %,11329,1.6%,AC View
245,Jaunpur,44,GEN,Uttar Pradesh [2000 Onwards],Parasnath Yadava,Samajwadi Party,1515676,714077,47.1 %,27125,3.8%,AC View
246,Jhabua,28,GEN,Madhya Pradesh [2000 Onwards],Kantilal Bhuria,Indian National Congress,1290101,628135,48.7 %,80282,12.8%,AC View
247,Jhalawar,15,GEN,Rajasthan,Dushyant Singh,Bharatiya Janta Party,1188576,567172,47.7 %,81579,14.4%,AC View
248,Jhanjharpur,14,GEN,Bihar [2000 Onwards],Devendra Prasad Yadav,Rashtriya Janata Dal,1163817,704243,60.5 %,12835,1.8%,AC View
249,Jhansi,57,GEN,Uttar Pradesh [2000 Onwards],Chandrapal Singh Yadav,Samajwadi Party,1526320,819636,53.7 %,26299,3.2%,AC View
250,Jhargram,33,ST,West Bengal,Rupchand Murmu,Communist Party Of India (MARXIST),1029496,793099,77.0 %,351343,44.3%,AC View
251,Jhunjhunu,4,GEN,Rajasthan,Shish Ram Ola,Indian National Congress,1370602,679614,49.6 %,23355,3.4%,AC View
252,Jodhpur,24,GEN,Rajasthan,Jaswant Singh Bishnoi,Bharatiya Janta Party,1572050,863578,54.9 %,42495,4.9%,AC View
253,Jorhat,12,GEN,Assam,Bijoy Krishna Handique,Indian National Congress,1078149,667973,62.0 %,51292,7.7%,AC View
254,Joynagar,15,GEN,West Bengal,Sanat Kumar Mandal,Revolutionary Socialist Party,1136859,806749,71.0 %,230521,28.6%,AC View
255,Jullundur,4,SC,Punjab,Rana Gurjeet Singh,Indian National Congress,1221443,742475,60.8 %,33463,4.5%,AC View
256,Junagadh,6,GEN,Gujarat,Barad Jasubhai Dhanabhai,Indian National Congress,1239398,658280,53.1 %,40921,6.2%,AC View
257,Kaira,19,ST,Gujarat,Dinsha Patel,Indian National Congress,1146245,450808,39.3 %,56749,12.6%,AC View
258,Kairana,79,GEN,Uttar Pradesh [2000 Onwards],Anuradha Choudhary,Rashtriya Lok Dal,1220829,816700,66.9 %,342414,41.9%,AC View
259,Kaiserganj,26,GEN,Uttar Pradesh [2000 Onwards],Beni Prasad Verma,Samajwadi Party,1272807,569938,44.8 %,12660,2.2%,AC View
260,Kakinada,7,GEN,Andhra Pradesh,Mallipudi Mangapati Pallam Raju,Indian National Congress,1164984,832052,71.4 %,57252,6.9%,AC View
261,Kalahandi,14,GEN,Orissa,Bikram Keshari Deo,Bharatiya Janta Party,1132680,753897,66.6 %,34122,4.5%,AC View
262,Kaliabor,11,GEN,Assam,Dip Gogoi,Indian National Congress,1153483,763617,66.2 %,67198,8.8%,AC View
263,Kanakapura,11,GEN,Karnataka,Tejashwini See Ramesh,Indian National Congress,2695484,1551189,57.6 %,116663,7.5%,AC View
264,Kanara,22,SC,Karnataka,Ananthkumar Hegde,Bharatiya Janta Party,1207373,832123,68.9 %,172226,20.7%,AC View
265,Kangra,3,GEN,Himachal Pradesh,Chander Kumar,Indian National Congress,1033686,640345,62.0 %,17791,2.8%,AC View
266,Kanker,8,GEN,Chhattisgarh,Sohan Potai,Bharatiya Janta Party,1152128,553195,48.0 %,73626,13.3%,AC View
267,Kannauj,63,GEN,Uttar Pradesh [2000 Onwards],Akhilesh Yadav,Samajwadi Party,1346673,759336,56.4 %,307373,40.5%,AC View
268,Kanpur,61,GEN,Uttar Pradesh [2000 Onwards],Shriprakash Jaiswal,Indian National Congress,1427231,618698,43.4 %,5638,0.9%,AC View
269,Kapadvanj,16,GEN,Gujarat,Vaghela Shankersinh Laxmansinh,Indian National Congress,1265350,595296,47.1 %,79435,13.3%,AC View
270,Karad,45,GEN,Maharashtra,Patil Shriniwas Dadasaheb,Nationalist Congress Party,1181744,713822,60.4 %,196730,27.6%,AC View
271,Karimganj,1,SC,Assam,Lalit Mohan Suklabaidya,Indian National Congress,979105,671065,68.5 %,91948,13.7%,AC View
272,Karimnagar,37,GEN,Andhra Pradesh,K. Chandra Shakher Rao,Telangana Rashtra Samithi,1344786,874367,65.0 %,131168,15.0%,AC View
273,Karnal,3,SC,Haryana,Arvind Kumar Sharma,Indian National Congress,1240344,818605,66.0 %,164762,20.1%,AC View
274,Karol Bagh,7,GEN,Delhi [1977 Onwards],Krishna Tirath,Indian National Congress,505236,249184,49.3 %,37629,15.1%,AC View
275,Karur,26,GEN,Tamil Nadu,"Palanisamy, K. C.",Dravida Munetra Kazhagam,1069359,742800,69.5 %,190876,25.7%,AC View
276,Kasaragod,1,GEN,Kerala,P. Karunakaran,Communist Party Of India (MARXIST),1160134,898746,77.5 %,108256,12.0%,AC View
277,Katihar,25,GEN,Bihar [2000 Onwards],Nikhil Kumar Choudhary,Bharatiya Janta Party,1158042,704422,60.8 %,2565,0.4%,AC View
278,Katwa,40,GEN,West Bengal,Mahboob Zahedi,Communist Party Of India (MARXIST),1169525,963689,82.4 %,143349,14.9%,AC View
279,Kendrapara,5,ST,Orissa,Archana Nayak,Biju Janata Dal,1186834,836194,70.5 %,86843,10.4%,AC View
280,Keonjhar,21,ST,Orissa,Ananta Nayak,Bharatiya Janta Party,1183472,814619,68.8 %,49209,6.0%,AC View
281,Khagaria,28,GEN,Bihar [2000 Onwards],Rabindra Ku. Rana,Rashtriya Janata Dal,1196971,675969,56.5 %,67123,9.9%,AC View
282,Khajuraho,6,SC,Madhya Pradesh [2000 Onwards],"Dr. Ramkrishna Kushmariya "" Baba Jee """,Bharatiya Janta Party,1552876,771830,49.7 %,111781,14.5%,AC View
283,Khalilabad,32,SC,Uttar Pradesh [2000 Onwards],Bhalchandra Yadava,Bahujan Samaj Party,1397045,700982,50.2 %,27023,3.9%,AC View
284,Khammam,40,GEN,Andhra Pradesh,Renuka Chowdhury,Indian National Congress,1298614,1020523,78.6 %,108888,10.7%,AC View
285,Khandwa,23,GEN,Madhya Pradesh [2000 Onwards],Nand Kumar Singh Chauhan ( NANDU BHAIYA),Bharatiya Janta Party,1217726,605099,49.7 %,102737,17.0%,AC View
286,Khargone,24,ST,Madhya Pradesh [2000 Onwards],Krishna Murari Moghe,Bharatiya Janta Party,1287299,651747,50.6 %,58617,9.0%,AC View
287,Khed,41,SC,Maharashtra,Adhalarao Patil Shivajirao,Shiv Sena,1319319,731759,55.5 %,20810,2.8%,AC View
288,Kheri,11,GEN,Uttar Pradesh [2000 Onwards],Ravi Prakash Verma,Samajwadi Party,1437563,706706,49.2 %,11760,1.7%,AC View
289,Khunti,11,ST,Jharkhand,Sushila Kerketta,Indian National Congress,904846,490772,54.2 %,51226,10.4%,AC View
290,Khurja,73,GEN,Uttar Pradesh [2000 Onwards],Ashok Kumar Pradhan,Bharatiya Janta Party,1457828,601160,41.2 %,41150,6.8%,AC View
291,Kishanganj,23,SC,Bihar [2000 Onwards],Taslimuddin,Rashtriya Janata Dal,1278476,813315,63.6 %,160497,19.7%,AC View
292,Kodarma,5,GEN,Jharkhand,Babulal Marandi,Bharatiya Janta Party,1325734,825697,62.3 %,154944,18.8%,AC View
293,Kokrajhar,5,ST,Assam,Sansuma Khunggur Bwiswmuthiary,Independent,1216553,966915,79.5 %,484129,50.1%,AC View
294,Kolaba,3,GEN,Maharashtra,Barrister A. R. Antulay,Indian National Congress,1250272,791940,63.3 %,31870,4.0%,AC View
295,Kolar,10,GEN,Karnataka,K.H. Muniyappa,Indian National Congress,1262765,907296,71.9 %,11635,1.3%,AC View
296,Kolhapur,48,GEN,Maharashtra,Mandlik Sadashivrao Dadoba,Nationalist Congress Party,1162212,811534,69.8 %,14753,1.8%,AC View
297,Kopargaon,40,GEN,Maharashtra,E. V. Alias Balasaheb Vikhe Patil,Indian National Congress,1077519,666950,61.9 %,87331,13.1%,AC View
298,Koppal,4,SC,Karnataka,K. Virupaxappa,Indian National Congress,1413496,892586,63.2 %,43623,4.9%,AC View
299,Koraput,12,ST,Orissa,Giridhar Gamang,Indian National Congress,1139590,735544,64.5 %,43267,5.9%,AC View
300,Kota,14,GEN,Rajasthan,Raghuveer Singh Koshal,Bharatiya Janta Party,1327073,578740,43.6 %,71778,12.4%,AC View
301,Kottayam,13,GEN,Kerala,K. Suresh Kurup,Communist Party Of India (MARXIST),963886,703486,73.0 %,42914,6.1%,AC View
302,Krishnagar,11,GEN,West Bengal,Jyotirmoyee Sikdar,Communist Party Of India (MARXIST),1117441,924304,82.7 %,20387,2.2%,AC View
