#,AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
42,Junagadh,42,GEN,Patel Godhanbhai Gokal Bhai,Indian National Congress,106869,46203,43.2 %,14280,30.9%
43,Babra,43,GEN,Khokhariya Valjibhai Nanjibhai,Indian National Congress,90111,46349,51.4 %,9135,19.7%
44,Lathi,44,GEN,Khodidas Thakkar,Indian National Congress,83888,48051,57.3 %,16043,33.4%
45,Amreli,45,GEN,Dillipbhai Nanubhai Sanghani,Bharatiya Janta Party,94657,58469,61.8 %,20253,34.6%
46,Dhari,46,GEN,Manubhai Kotadia,Janta Party,96930,66496,68.6 %,2101,3.2%
47,Kodinar,47,GEN,Kamalia Arshibhai Kanabhai,Indian National Congress,92915,56093,60.4 %,3350,6.0%
48,Rajula,48,GEN,Nakum Khodabhai Rajabhai,Indian National Congress,100322,45242,45.1 %,4615,10.2%
49,Botad,49,GEN,Khachar Hathibhai Chhelbhai,Indian National Congress,103346,55248,53.5 %,11655,21.1%
50,Gadhada,50,SC,Kantibhai Valjibhai Gohil,Indian National Congress,104562,50259,48.1 %,28091,55.9%
51,Palitana,51,GEN,Sama Majidbhai Dadabhai,Indian National Congress,98145,54796,55.8 %,10023,18.3%
52,Sihor,52,GEN,Amarshibhai Patel,Indian National Congress,99074,56427,57.0 %,1084,1.9%
53,Kundla,53,GEN,Patel Dhirubhai Thakarshibhai (Dhirubhai Dudhwala),Indian National Congress,104171,55810,53.6 %,3857,6.9%
54,Mahuva,54,GEN,Vajubhai Jani,Indian National Congress,96065,50758,52.8 %,1187,2.3%
55,Talaja,55,GEN,Vaja Bhadrasinh Jamsinh,Indian National Congress,99801,48163,48.3 %,3739,7.8%
56,Ghogho,56,GEN,Gohil Dilipsing Ajitsinh,Indian National Congress,98810,49914,50.5 %,13297,26.6%
57,Bhavnagar North,57,GEN,Oza Digantbhai Dilipkumar,Indian National Congress,108812,41935,38.5 %,9843,23.5%
58,Bhavnagar South,58,GEN,Jamod Shashibhai Mavjibhai,Indian National Congress,110640,43806,39.6 %,4767,10.9%
59,Dhandhuka,59,GEN,Shah Natwarlal Chandulal,Indian National Congress,97738,44193,45.2 %,15053,34.1%
60,Dholka,60,GEN,Parsotambhai Ravjibhai Makwana,Indian National Congress,100450,57037,56.8 %,15921,27.9%
61,Bavla,61,SC,Motilal Mavjibhai Chavda,Indian National Congress,108257,57404,53.0 %,130,0.2%
62,Mandal,62,GEN,Ghanshyam Thakkar,Indian National Congress,87257,49617,56.9 %,11530,23.2%
63,Viramgam,63,GEN,Koli Patel Somababhai Gandabhai,Bharatiya Janta Party,98362,60582,61.6 %,2446,4.0%
64,Sarkhej,64,GEN,Nalin K. Patel,Indian National Congress,245514,110046,44.8 %,35504,32.3%
65,Daskroi,65,GEN,Sodha Fatehsinh,Indian National Congress,131895,71761,54.4 %,25571,35.6%
66,Dehgam,66,GEN,Gabhaji Mangaji Thakor,Bharatiya Janta Party,107384,70689,65.8 %,13279,18.8%
67,Sabarmati,67,GEN,Bharat Gadhavi,Indian National Congress,162955,73536,45.1 %,1336,1.8%
68,Ellis Bridge,68,GEN,Babubhai Vasanwala,Janta Party,135279,68287,50.5 %,4791,7.0%
69,Dariapur-Kazipur,69,GEN,Rajput Surendrakumar Netrapal Sinh (Surendrarajput),Indian National Congress,96672,44329,45.9 %,23154,52.2%
70,Shahpur,70,GEN,Shah Jitendrakumar Chinubhai (Jitushah),Indian National Congress,81608,39232,48.1 %,12870,32.8%
71,Kalupur,71,GEN,Tamizben Koreishi,Indian National Congress,75104,32137,42.8 %,7179,22.3%
