AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Barwani (S.T.),190,ST,Barwani,Premsingh Patel,Bharatiya Janta Party,232783,178493,76.7 %,38787,21.7%
Alirajpur,191,ST,Jhabua,Mukesh Rawat (PATEL),Indian National Congress,219278,151093,68.9 %,21962,14.5%
Jobat,192,ST,Jhabua,Kalawati Bhuriya,Indian National Congress,255382,132234,51.8 %,2056,1.6%
Jhabua,193,ST,Jhabua,Gumansingh Damor,Bharatiya Janta Party,263230,169963,64.6 %,10437,6.1%
Thandla,194,ST,Jhabua,Bhuriya Veersingh,Indian National Congress,226254,196484,86.8 %,31151,15.9%
Petlawad,195,ST,Jhabua,Maida Valsingh,Indian National Congress,237867,194056,81.6 %,5000,2.6%
Sardarpur,196,ST,Dhar,Pratap Grewal,Indian National Congress,201528,161203,80.0 %,36205,22.5%
Gandhwani,197,ST,Dhar,Umang Singhar,Indian National Congress,218421,163305,74.8 %,38831,23.8%
Kukshi,198,ST,Dhar,Surendra Singh Honey Baghel,Indian National Congress,220215,162143,73.6 %,62930,38.8%
Manawar,199,ST,Dhar,Dr. Hiralal Alawa,Indian National Congress,211815,171428,80.9 %,39501,23.0%
Dharampuri,200,ST,Dhar,Panchilal Meda,Indian National Congress,193353,151153,78.2 %,13972,9.2%
Dhar,201,GEN,Dhar,Neena Vikram Verma,Bharatiya Janta Party,254908,186742,73.3 %,5718,3.1%
Badnawar,202,GEN,Dhar,Rajvardhan Singh - Premsingh Dattigaw,Indian National Congress,193298,164989,85.4 %,41506,25.2%
Depalpur,203,GEN,Indore,Vishal Jagdish Patel,Indian National Congress,221636,186262,84.0 %,9044,4.9%
Indore-1,204,GEN,Indore,Sanjay Shukla,Indian National Congress,349102,225604,64.6 %,8163,3.6%
Indore-2,205,GEN,Indore,Ramesh Mendola,Bharatiya Janta Party,333271,214117,64.2 %,71011,33.2%
Indore-3,206,GEN,Indore,Akash Kailash Vijayvargiya,Bharatiya Janta Party,207976,130178,62.6 %,5751,4.4%
Indore-4,207,GEN,Indore,Malini Lakshman Singh Gaur,Bharatiya Janta Party,263644,165895,62.9 %,43090,26.0%
Indore-5,208,GEN,Indore,Mahendra Hardia,Bharatiya Janta Party,374032,241162,64.5 %,1133,0.5%
Dr.ambedkar Nagar -Mhow,209,GEN,Indore,Usha Thakur,Bharatiya Janta Party,248822,192494,77.4 %,7157,3.7%
Rau,210,GEN,Indore,Jitu Patwari,Indian National Congress,284186,213212,75.0 %,5703,2.7%
Sanwer,211,SC,Indore,Tulsiram Silawat,Indian National Congress,238650,196955,82.5 %,2945,1.5%
Nagada - Khacharod,212,GEN,Ujjain,Dilip Gurjar,Indian National Congress,203037,166692,82.1 %,5117,3.1%
Mahidpur,213,GEN,Ujjain,Bahadursingh Chouhan,Bharatiya Janta Party,188012,155548,82.7 %,15220,9.8%
Tarana,214,SC,Ujjain,Mahesh Parmar,Indian National Congress,169061,138141,81.7 %,2209,1.6%
Ghatiya,215,SC,Ujjain,Ramlal Malviya,Indian National Congress,197387,162040,82.1 %,4628,2.9%
Ujjain North,216,GEN,Ujjain,Paras Jain,Bharatiya Janta Party,217652,145761,67.0 %,25724,17.6%
Ujjain South,217,GEN,Ujjain,Dr. Mohan Yadav,Bharatiya Janta Party,236781,165339,69.8 %,18960,11.5%
Badnagar,218,GEN,Ujjain,Murli Morwal,Indian National Congress,181712,154047,84.8 %,5381,3.5%
Ratlam Rural,219,ST,Ratlam,Dilip Kumar Makwana,Bharatiya Janta Party,185981,159573,85.8 %,5605,3.5%
Ratlam City,220,GEN,Ratlam,Chetanya Kasyap,Bharatiya Janta Party,203700,142958,70.2 %,43435,30.4%
Sailana,221,ST,Ratlam,"Harsh Vijay Gehlot ""guddu""",Indian National Congress,182324,161043,88.3 %,28498,17.7%
Jaora,222,GEN,Ratlam,"Rajendra Pandey ""raju Bhaiya""",Bharatiya Janta Party,204378,175268,85.8 %,511,0.3%
Alote,223,SC,Ratlam,Manoj Chawla,Indian National Congress,193985,161105,83.1 %,5448,3.4%
Mandsour,224,GEN,Mandsaur,Yashpal Singh Sisodiya,Bharatiya Janta Party,238180,193600,81.3 %,18370,9.5%
Malhargarh,225,SC,Mandsaur,Jagdish Dewda,Bharatiya Janta Party,217835,193804,89.0 %,11872,6.1%
Suwasra,226,GEN,Mandsaur,Dang Hardeepsingh,Indian National Congress,241708,203919,84.4 %,350,0.2%
Garoth,227,GEN,Mandsaur,Devilal Dhakad (ADVOCATE),Bharatiya Janta Party,221893,178673,80.5 %,2108,1.2%
Manasa,228,GEN,Neemuch,Anirudha (MADHAV) MAROO,Bharatiya Janta Party,177729,151500,85.2 %,25954,17.1%
Neemuch,229,GEN,Neemuch,Dilip Singh Parihar,Bharatiya Janta Party,205628,165755,80.6 %,14857,9.0%
Jawad,230,GEN,Neemuch,Om Prakash Sakhlecha,Bharatiya Janta Party,162267,137948,85.0 %,4271,3.1%
